context: It's time for the ever-popular segment... response:	Let's start with the first postcard.
context: Yeah!\This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they! response:	They're like some happy-go-lucky couple!
context: This combination brings back the memories...\Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple! response:	2 of the 7 Kin of Purgatory...
context: Yeah! Makes you remember the time we met.\I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory... response:	I'm all fired up!
context: I'm all fired up!\Let's do this, Lucy!\Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up! response:	Ultear-san, these people aren't worth your time to fight!
context: Let's do this, Lucy!\Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight! response:	I can beat them both myself!
context: Let's go, Natsu!\I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself! response:	Just me, and I can handle them!
context: I'm here, too!\They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them! response:	That's not right!
context: They're like some happy couple! How dare they!\They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them!\That's not right! response:	Then it won't be 2 on 2!
context: They're like some happy-go-lucky couple!\2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2! response:	Personally, I'd rather it be 2 on 1...
context: 2 of the 7 Kin of Purgatory...\I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1... response:	Everyone's completely forgetting about me...
context: I'm all fired up!\Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me... response:	Then I'll leave them to you.
context: Ultear-san, these people aren't worth your time to fight!\I can beat them both myself!\Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you. response:	I have to take Zeref to Master Hades, after all.
context: I can beat them both myself!\Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all. response:	Oh? You've already discovered him?
context: Just me, and I can handle them!\That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him? response:	But...
context: That's not right!\Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But... response:	Natsu, this is bad!
context: Then it won't be 2 on 2!\Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But...\Natsu, this is bad! response:	We can't let them have Zeref!
context: Personally, I'd rather it be 2 on 1...\Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But...\Natsu, this is bad!\We can't let them have Zeref! response:	There's this World of Great Magic thing or whatever...
context: Everyone's completely forgetting about me...\Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But...\Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever... response:	Anyway, it'll be bad!
context: Then I'll leave them to you.\I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But...\Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad! response:	And I still have to pay him back for my scarf.
context: I have to take Zeref to Master Hades, after all.\Oh? You've already discovered him?\But...\Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf. response:	I can't let them have'im'til I punch his face in!
context: Oh? You've already discovered him?\But...\Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in! response:	Natsu!
context: But...\Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu! response:	Got it? Don't hold back.
context: Natsu, this is bad!\We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back. response:	If you feel like showing them just how powerful the 7 Kin of Purgatory are,
context: We can't let them have Zeref!\There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are, response:	no one can stand up to you.
context: There's this World of Great Magic thing or whatever...\Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you. response:	I won't betray your trust, Ultear-san!
context: Anyway, it'll be bad!\And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san! response:	I can do it when it counts!
context: And I still have to pay him back for my scarf.\I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts! response:	Damn it... Guess I'll beat this guy first!
context: I can't let them have'im'til I punch his face in!\Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first! response:	Then I'll go after her...
context: Natsu!\Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her... response:	What are you doing, Lucy?
context: Got it? Don't hold back.\If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy? response:	I can't move my body!
context: If you feel like showing them just how powerful the 7 Kin of Purgatory are,\no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy?\I can't move my body! response:	I plucked a hair when you were running away.
context: no one can stand up to you.\I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away. response:	O-Oh, no!
context: I won't betray your trust, Ultear-san!\I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away.\O-Oh, no! response:	With that hair, you and Mr. Cursey are now one!
context: I can do it when it counts!\Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one! response:	You're now completely under my control!
context: Damn it... Guess I'll beat this guy first!\Then I'll go after her...\What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control! response:	This is for before!
context: Then I'll go after her...\What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before! response:	No!
context: What are you doing, Lucy?\I can't move my body!\I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before!\No! response:	What the heck is going on?
context: I can't move my body!\I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before!\No!\What the heck is going on? response:	Looks like those two get along.
context: I plucked a hair when you were running away.\O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before!\No!\What the heck is going on?\Looks like those two get along. response:	More than friends, but less than lovers.
context: O-Oh, no!\With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before!\No!\What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers. response:	None of the above!
context: With that hair, you and Mr. Cursey are now one!\You're now completely under my control!\This is for before!\No!\What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers.\None of the above! response:	Three embarrassing pin-up poses in a row!
context: You're now completely under my control!\This is for before!\No!\What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row! response:	You're enjoying this, aren't you?
context: This is for before!\No!\What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you? response:	I am so not!
context: No!\What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not! response:	I've got it!
context: What the heck is going on?\Looks like those two get along.\More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not!\I've got it! response:	Lucy is made to move exactly like that doll!
context: Looks like those two get along.\More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not!\I've got it!\Lucy is made to move exactly like that doll! response:	R-Right...
context: More than friends, but less than lovers.\None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not!\I've got it!\Lucy is made to move exactly like that doll!\R-Right... response:	Curse Magic...
context: None of the above!\Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not!\I've got it!\Lucy is made to move exactly like that doll!\R-Right...\Curse Magic... response:	Just like it says, it's a Lost Magic where you curse your opponent and attack them.
context: Three embarrassing pin-up poses in a row!\You're enjoying this, aren't you?\I am so not!\I've got it!\Lucy is made to move exactly like that doll!\R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them. response:	The Lullaby Flute that Natsu and the others once fought is another example.
context: You're enjoying this, aren't you?\I am so not!\I've got it!\Lucy is made to move exactly like that doll!\R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example. response:	Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!
context: I am so not!\I've got it!\Lucy is made to move exactly like that doll!\R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world! response:	It is truly a fearsome magic, probably!
context: I've got it!\Lucy is made to move exactly like that doll!\R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably! response:	You heard the man!
context: Lucy is made to move exactly like that doll!\R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man! response:	What'll we do, Natsu?
context: R-Right...\Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu? response:	Do the bunny!
context: Curse Magic...\Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu?\Do the bunny! response:	Stop him!
context: Just like it says, it's a Lost Magic where you curse your opponent and attack them.\The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu?\Do the bunny!\Stop him! response:	That looks like fun!
context: The Lullaby Flute that Natsu and the others once fought is another example.\Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu?\Do the bunny!\Stop him!\That looks like fun! response:	It's not fun for me!
context: Depending on how it's used, Kain Hikaru's Mr. Cursey could well spell doom for the world!\It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu?\Do the bunny!\Stop him!\That looks like fun!\It's not fun for me! response:	How about you beat up your pal?
context: It is truly a fearsome magic, probably!\You heard the man!\What'll we do, Natsu?\Do the bunny!\Stop him!\That looks like fun!\It's not fun for me!\How about you beat up your pal? response:	Natsu, dodge!
context: You heard the man!\What'll we do, Natsu?\Do the bunny!\Stop him!\That looks like fun!\It's not fun for me!\How about you beat up your pal?\Natsu, dodge! response:	Roar of the...
context: What'll we do, Natsu?\Do the bunny!\Stop him!\That looks like fun!\It's not fun for me!\How about you beat up your pal?\Natsu, dodge!\Roar of the... response:	Don't touch my ass!
context: Do the bunny!\Stop him!\That looks like fun!\It's not fun for me!\How about you beat up your pal?\Natsu, dodge!\Roar of the...\Don't touch my ass! response:	Natsu's getting beaten up by Lucy...
context: Stop him!\That looks like fun!\It's not fun for me!\How about you beat up your pal?\Natsu, dodge!\Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy... response:	And we're not even in Edolas...
context: That looks like fun!\It's not fun for me!\How about you beat up your pal?\Natsu, dodge!\Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas... response:	What the hell was that for, Lucy?
context: It's not fun for me!\How about you beat up your pal?\Natsu, dodge!\Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy? response:	It's not me doing it!
context: How about you beat up your pal?\Natsu, dodge!\Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it! response:	Why, you...
context: Natsu, dodge!\Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it!\Why, you... response:	I'm sorry, I'm sorry!
context: Roar of the...\Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it!\Why, you...\I'm sorry, I'm sorry! response:	This is more annoying than I thought.
context: Don't touch my ass!\Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it!\Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought. response:	Don't move!
context: Natsu's getting beaten up by Lucy...\And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it!\Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move! response:	What power!
context: And we're not even in Edolas...\What the hell was that for, Lucy?\It's not me doing it!\Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move!\What power! response:	Do you get more powerful when you're under that thing's control?
context: What the hell was that for, Lucy?\It's not me doing it!\Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move!\What power!\Do you get more powerful when you're under that thing's control? response:	What the hell are you doing with her?
context: It's not me doing it!\Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move!\What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her? response:	No lovey-dovey on my watch!
context: Why, you...\I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move!\What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch! response:	We aren't lovey-dovey!
context: I'm sorry, I'm sorry!\This is more annoying than I thought.\Don't move!\What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey! response:	They lllike each other...
context: This is more annoying than I thought.\Don't move!\What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other... response:	Let go!
context: Don't move!\What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other...\Let go! response:	If you wanna do funny business with me watching, do it like this!
context: What power!\Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this! response:	Hug him until his bones break!
context: Do you get more powerful when you're under that thing's control?\What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break! response:	Hold him to the bone so he can never get away!
context: What the hell are you doing with her?\No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away! response:	Pump him so full of your feelings he flies into the sky!
context: No lovey-dovey on my watch!\We aren't lovey-dovey!\They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky! response:	The power of Visit at the Ox Hour is far more than this.
context: We aren't lovey-dovey!\They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this. response:	Next, tragedy will befall the two...
context: They lllike each other...\Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two... response:	H-Huh?
context: Let go!\If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh? response:	Mr. Cursey, where did you go?
context: If you wanna do funny business with me watching, do it like this!\Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go? response:	Natsu, Lucy, I stole his doll!
context: Hug him until his bones break!\Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll! response:	You thieving cat!
context: Hold him to the bone so he can never get away!\Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat! response:	Nice going, Happy!
context: Pump him so full of your feelings he flies into the sky!\The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy! response:	All right!
context: The power of Visit at the Ox Hour is far more than this.\Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy!\All right! response:	Don't play around!
context: Next, tragedy will befall the two...\H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy!\All right!\Don't play around! response:	Give it back!
context: H-Huh?\Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy!\All right!\Don't play around!\Give it back! response:	Gotcha!
context: Mr. Cursey, where did you go?\Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy!\All right!\Don't play around!\Give it back!\Gotcha! response:	Talons of the Fire Dragon!
context: Natsu, Lucy, I stole his doll!\You thieving cat!\Nice going, Happy!\All right!\Don't play around!\Give it back!\Gotcha!\Talons of the Fire Dragon! response:	Damn it!
context: You thieving cat!\Nice going, Happy!\All right!\Don't play around!\Give it back!\Gotcha!\Talons of the Fire Dragon!\Damn it! response:	What the hell is this guy?
context: Nice going, Happy!\All right!\Don't play around!\Give it back!\Gotcha!\Talons of the Fire Dragon!\Damn it!\What the hell is this guy? response:	He's the opposite of how he looks!
context: All right!\Don't play around!\Give it back!\Gotcha!\Talons of the Fire Dragon!\Damn it!\What the hell is this guy?\He's the opposite of how he looks! response:	He's fast and limber!
context: Don't play around!\Give it back!\Gotcha!\Talons of the Fire Dragon!\Damn it!\What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber! response:	You think an official guild can actually beat Grimoire Heart?!
context: Give it back!\Gotcha!\Talons of the Fire Dragon!\Damn it!\What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?! response:	Natsu!
context: Gotcha!\Talons of the Fire Dragon!\Damn it!\What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu! response:	Crap!
context: Talons of the Fire Dragon!\Damn it!\What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap! response:	I-I can't get free!
context: Damn it!\What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap!\I-I can't get free! response:	Stay put! I'll get Virgo to free you!
context: What the hell is this guy?\He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you! response:	No...
context: He's the opposite of how he looks!\He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you!\No... response:	I've run out of magic power now?
context: He's fast and limber!\You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now? response:	Lucy, behind you!
context: You think an official guild can actually beat Grimoire Heart?!\Natsu!\Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now?\Lucy, behind you! response:	Watch out!
context: Natsu!\Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now?\Lucy, behind you!\Watch out! response:	Lucy!
context: Crap!\I-I can't get free!\Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now?\Lucy, behind you!\Watch out!\Lucy! response:	Damn it!
context: I-I can't get free!\Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now?\Lucy, behind you!\Watch out!\Lucy!\Damn it! response:	I can't get out!
context: Stay put! I'll get Virgo to free you!\No...\I've run out of magic power now?\Lucy, behind you!\Watch out!\Lucy!\Damn it!\I can't get out! response:	Now watch as I finish her off.
context: No...\I've run out of magic power now?\Lucy, behind you!\Watch out!\Lucy!\Damn it!\I can't get out!\Now watch as I finish her off. response:	You bastard!
context: I've run out of magic power now?\Lucy, behind you!\Watch out!\Lucy!\Damn it!\I can't get out!\Now watch as I finish her off.\You bastard! response:	Not if I can help it!
context: Lucy, behind you!\Watch out!\Lucy!\Damn it!\I can't get out!\Now watch as I finish her off.\You bastard!\Not if I can help it! response:	Take this, and that, and this, and that!
context: Watch out!\Lucy!\Damn it!\I can't get out!\Now watch as I finish her off.\You bastard!\Not if I can help it!\Take this, and that, and this, and that! response:	Enough playing around.
context: Lucy!\Damn it!\I can't get out!\Now watch as I finish her off.\You bastard!\Not if I can help it!\Take this, and that, and this, and that!\Enough playing around. response:	I'm sorry Natsu, Lucy...
context: Damn it!\I can't get out!\Now watch as I finish her off.\You bastard!\Not if I can help it!\Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy... response:	Happy...
context: I can't get out!\Now watch as I finish her off.\You bastard!\Not if I can help it!\Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy...\Happy... response:	Run, Lucy!
context: Now watch as I finish her off.\You bastard!\Not if I can help it!\Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy...\Happy...\Run, Lucy! response:	He's a lot stronger than he looks!
context: You bastard!\Not if I can help it!\Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy...\Happy...\Run, Lucy!\He's a lot stronger than he looks! response:	I'll handle him somehow, so run!
context: Not if I can help it!\Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy...\Happy...\Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run! response:	No.
context: Take this, and that, and this, and that!\Enough playing around.\I'm sorry Natsu, Lucy...\Happy...\Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run!\No. response:	Running away by myself? No way.
context: Enough playing around.\I'm sorry Natsu, Lucy...\Happy...\Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run!\No.\Running away by myself? No way. response:	It's always more fun when we're together!
context: I'm sorry Natsu, Lucy...\Happy...\Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run!\No.\Running away by myself? No way.\It's always more fun when we're together! response:	I'm cold-hearted.
context: Happy...\Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run!\No.\Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted. response:	I'll crush that cute little face of yours flat.
context: Run, Lucy!\He's a lot stronger than he looks!\I'll handle him somehow, so run!\No.\Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat. response:	Lucy!
context: He's a lot stronger than he looks!\I'll handle him somehow, so run!\No.\Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy! response:	I'm awkward, you see.
context: I'll handle him somehow, so run!\No.\Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see. response:	I'll do this right at once.
context: No.\Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see.\I'll do this right at once. response:	M-My body's moving on its own!
