context: Onii-chan! response:	Come on, how long are you going to stay in bed?
context: Where did you get that kind of money?!\Royalties, obviously.\What?\You're a model?\Yeah.\I had no idea...\Isn't this a major magazine?\Are you like, amazing or something? response:	It's not a big deal.
context: Royalties, obviously.\What?\You're a model?\Yeah.\I had no idea...\Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal. response:	Really.
context: What?\You're a model?\Yeah.\I had no idea...\Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal.\Really. response:	And so?
context: You're a model?\Yeah.\I had no idea...\Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal.\Really.\And so? response:	What do you mean, so?
context: Yeah.\I had no idea...\Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal.\Really.\And so?\What do you mean, so? response:	What do you think?
context: I had no idea...\Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal.\Really.\And so?\What do you mean, so?\What do you think? response:	About my hobby.
context: Isn't this a major magazine?\Are you like, amazing or something?\It's not a big deal.\Really.\And so?\What do you mean, so?\What do you think?\About my hobby. response:	Surprising.
context: Are you like, amazing or something?\It's not a big deal.\Really.\And so?\What do you mean, so?\What do you think?\About my hobby.\Surprising. response:	Anything else?
context: It's not a big deal.\Really.\And so?\What do you mean, so?\What do you think?\About my hobby.\Surprising.\Anything else? response:	What else can I say?
context: Really.\And so?\What do you mean, so?\What do you think?\About my hobby.\Surprising.\Anything else?\What else can I say? response:	Is it weird for me to have things like this?
context: And so?\What do you mean, so?\What do you think?\About my hobby.\Surprising.\Anything else?\What else can I say?\Is it weird for me to have things like this? response:	No, I mean,
context: What do you mean, so?\What do you think?\About my hobby.\Surprising.\Anything else?\What else can I say?\Is it weird for me to have things like this?\No, I mean, response:	it's unexpected, but you're buying it with your own money.
context: What do you think?\About my hobby.\Surprising.\Anything else?\What else can I say?\Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money. response:	What you buy is your choice.
context: About my hobby.\Surprising.\Anything else?\What else can I say?\Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice. response:	You think so?
context: Surprising.\Anything else?\What else can I say?\Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so? response:	Really?
context: Anything else?\What else can I say?\Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so?\Really? response:	Yeah.
context: What else can I say?\Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so?\Really?\Yeah. response:	You don't have to care about what people think.
context: Is it weird for me to have things like this?\No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so?\Really?\Yeah.\You don't have to care about what people think. response:	I'm just surprised.
context: No, I mean,\it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so?\Really?\Yeah.\You don't have to care about what people think.\I'm just surprised. response:	I'm not making fun of you or anything.
context: it's unexpected, but you're buying it with your own money.\What you buy is your choice.\You think so?\Really?\Yeah.\You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything. response:	I see. You're right.
context: What you buy is your choice.\You think so?\Really?\Yeah.\You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything.\I see. You're right. response:	You say good stuff sometimes!
context: You think so?\Really?\Yeah.\You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes! response:	Come to think of it...
context: Really?\Yeah.\You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes!\Come to think of it... response:	Why are all these eroge the little sister love type?
context: Yeah.\You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type? response:	Why do you think?
context: You don't have to care about what people think.\I'm just surprised.\I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type?\Why do you think? response:	No clue...
context: I'm just surprised.\I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type?\Why do you think?\No clue... response:	Why are you backing away?
context: I'm not making fun of you or anything.\I see. You're right.\You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type?\Why do you think?\No clue...\Why are you backing away? response:	Well, you...
context: I see. You're right.\You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type?\Why do you think?\No clue...\Why are you backing away?\Well, you... response:	When you look at this package, don't you think it might be good?
context: You say good stuff sometimes!\Come to think of it...\Why are all these eroge the little sister love type?\Why do you think?\No clue...\Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good? response:	What do you mean?
context: Come to think of it...\Why are all these eroge the little sister love type?\Why do you think?\No clue...\Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good?\What do you mean? response:	Look at it! Isn't it really cute?!
context: Why are all these eroge the little sister love type?\Why do you think?\No clue...\Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?! response:	In other words, you have all those games...
context: Why do you think?\No clue...\Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games... response:	Yeah!
context: No clue...\Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah! response:	Little sisters are just so cute!
context: Why are you backing away?\Well, you...\When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah!\Little sisters are just so cute! response:	Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!
context: Well, you...\When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama! response:	They all love me and have their own names for me!
context: When you look at this package, don't you think it might be good?\What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me! response:	It just makes me go crazy!
context: What do you mean?\Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy! response:	I-I see. That's nice...
context: Look at it! Isn't it really cute?!\In other words, you have all those games...\Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice... response:	Well, I've never been called anything like that,
context: In other words, you have all those games...\Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that, response:	and rather than going crazy, I'd get irritated...
context: Yeah!\Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated... response:	In this one, I love this girl!
context: Little sisters are just so cute!\Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl! response:	Younger sisters have to have black hair and twintails!
context: Like in these galge, they call you Onii-chan or Aniki or Nii-nii or Nii-chama!\They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails! response:	They look so pure, you just want to protect them, or hold them tight!
context: They all love me and have their own names for me!\It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight! response:	Your hair is brown.
context: It just makes me go crazy!\I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown. response:	You're pointing out your own problems yourself!
context: I-I see. That's nice...\Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself! response:	They're so lovely!
context: Well, I've never been called anything like that,\and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely! response:	She's hopeless.
context: and rather than going crazy, I'd get irritated...\In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely!\She's hopeless. response:	But why?
context: In this one, I love this girl!\Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely!\She's hopeless.\But why? response:	It's normally guys that buy things like that.
context: Younger sisters have to have black hair and twintails!\They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely!\She's hopeless.\But why?\It's normally guys that buy things like that. response:	Why would
context: They look so pure, you just want to protect them, or hold them tight!\Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely!\She's hopeless.\But why?\It's normally guys that buy things like that.\Why would response:	Why do you like them?
context: Your hair is brown.\You're pointing out your own problems yourself!\They're so lovely!\She's hopeless.\But why?\It's normally guys that buy things like that.\Why would\Why do you like them? response:	I don't know.
context: You're pointing out your own problems yourself!\They're so lovely!\She's hopeless.\But why?\It's normally guys that buy things like that.\Why would\Why do you like them?\I don't know. response:	You don't know?
context: They're so lovely!\She's hopeless.\But why?\It's normally guys that buy things like that.\Why would\Why do you like them?\I don't know.\You don't know? response:	I really don't know why!
context: She's hopeless.\But why?\It's normally guys that buy things like that.\Why would\Why do you like them?\I don't know.\You don't know?\I really don't know why! response:	I can't help it.
context: But why?\It's normally guys that buy things like that.\Why would\Why do you like them?\I don't know.\You don't know?\I really don't know why!\I can't help it. response:	I fell in love with them before I knew it.
context: It's normally guys that buy things like that.\Why would\Why do you like them?\I don't know.\You don't know?\I really don't know why!\I can't help it.\I fell in love with them before I knew it. response:	Even I know that this isn't a hobby normal girls have.
context: Why would\Why do you like them?\I don't know.\You don't know?\I really don't know why!\I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have. response:	That's why I've been hiding it all this time!
context: Why do you like them?\I don't know.\You don't know?\I really don't know why!\I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time! response:	But I really love them.
context: I don't know.\You don't know?\I really don't know why!\I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them. response:	I Google them and try out the demos and before I know it I just have to buy them!
context: You don't know?\I really don't know why!\I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them! response:	No matter how many times I try to stop, this cuteness just drives me crazy again!
context: I really don't know why!\I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again! response:	Every news site keeps announcing new information every day and makes me want to buy them.
context: I can't help it.\I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them. response:	It's all KarzuSP and AkibaBlog's fault!
context: I fell in love with them before I knew it.\Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault! response:	I don't really get it, but you could just stop reading them.
context: Even I know that this isn't a hobby normal girls have.\That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them. response:	I wouldn't have any problems if I could.
context: That's why I've been hiding it all this time!\But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could. response:	Hey, what do you think I should do?
context: But I really love them.\I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do? response:	What you should do?
context: I Google them and try out the demos and before I know it I just have to buy them!\No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do? response:	Maybe I should tell Mom and Dad
context: No matter how many times I try to stop, this cuteness just drives me crazy again!\Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad response:	Don't do that!
context: Every news site keeps announcing new information every day and makes me want to buy them.\It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad\Don't do that! response:	You wouldn't be worried if you could.
context: It's all KarzuSP and AkibaBlog's fault!\I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could. response:	There will be big trouble if Dad ever finds out.
context: I don't really get it, but you could just stop reading them.\I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out. response:	I don't even want to think about what would happen.
context: I wouldn't have any problems if I could.\Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen. response:	I see.
context: Hey, what do you think I should do?\What you should do?\Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see. response:	I get it. I'll help you out.
context: What you should do?\Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see.\I get it. I'll help you out. response:	I'll make sure no one finds out about your hobby.
context: Maybe I should tell Mom and Dad\Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby. response:	I don't know what I can do, though.
context: Don't do that!\You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though. response:	You will?
context: You wouldn't be worried if you could.\There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will? response:	Sure.
context: There will be big trouble if Dad ever finds out.\I don't even want to think about what would happen.\I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will?\Sure. response:	If you need anything, just ask.
context: I don't even want to think about what would happen.\I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will?\Sure.\If you need anything, just ask. response:	Anything that I can do, anyway.
context: I see.\I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will?\Sure.\If you need anything, just ask.\Anything that I can do, anyway. response:	R-Really?
context: I get it. I'll help you out.\I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will?\Sure.\If you need anything, just ask.\Anything that I can do, anyway.\R-Really? response:	Then I guess I will...
context: I'll make sure no one finds out about your hobby.\I don't know what I can do, though.\You will?\Sure.\If you need anything, just ask.\Anything that I can do, anyway.\R-Really?\Then I guess I will... response:	It might be a real help if you did.
context: I don't know what I can do, though.\You will?\Sure.\If you need anything, just ask.\Anything that I can do, anyway.\R-Really?\Then I guess I will...\It might be a real help if you did. response:	I just want to confirm one thing though...
context: You will?\Sure.\If you need anything, just ask.\Anything that I can do, anyway.\R-Really?\Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though... response:	You play these little sister eroge because you love little sisters, right?
context: Sure.\If you need anything, just ask.\Anything that I can do, anyway.\R-Really?\Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right? response:	Huh? I said that, didn't I?
context: If you need anything, just ask.\Anything that I can do, anyway.\R-Really?\Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I? response:	You don't have any ulterior motives?
context: Anything that I can do, anyway.\R-Really?\Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives? response:	Gross!
context: R-Really?\Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross! response:	No way I would!
context: Then I guess I will...\It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross!\No way I would! response:	Get away from me!
context: It might be a real help if you did.\I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross!\No way I would!\Get away from me! response:	This year's grossest!
context: I just want to confirm one thing though...\You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross!\No way I would!\Get away from me!\This year's grossest! response:	Look here... in your games, the younger sister loves her brother, right?
context: You play these little sister eroge because you love little sisters, right?\Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross!\No way I would!\Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right? response:	Are you stupid?
context: Huh? I said that, didn't I?\You don't have any ulterior motives?\Gross!\No way I would!\Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid? response:	Don't mix 2D and 3D!
context: You don't have any ulterior motives?\Gross!\No way I would!\Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D! response:	No way any sister would love her brother in real life!
context: Gross!\No way I would!\Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life! response:	That's more like her.
context: No way I would!\Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her. response:	We're done here, so get out now.
context: Get away from me!\This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now. response:	Yeah, yeah.
context: This year's grossest!\Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now.\Yeah, yeah. response:	I guess I'll sleep.
context: Look here... in your games, the younger sister loves her brother, right?\Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep. response:	Not cute at all.
context: Are you stupid?\Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep.\Not cute at all. response:	What!
context: Don't mix 2D and 3D!\No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep.\Not cute at all.\What! response:	More life counseling.
context: No way any sister would love her brother in real life!\That's more like her.\We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep.\Not cute at all.\What!\More life counseling. response:	What the hell are you doing?!
context: That's more like her.\We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep.\Not cute at all.\What!\More life counseling.\What the hell are you doing?! response:	Same to you! What are you making me do?!
context: We're done here, so get out now.\Yeah, yeah.\I guess I'll sleep.\Not cute at all.\What!\More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?! response:	You're unbelievable!
context: Yeah, yeah.\I guess I'll sleep.\Not cute at all.\What!\More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable! response:	How can you just kick your cute sister out of your bed like that?!
context: I guess I'll sleep.\Not cute at all.\What!\More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?! response:	Is she seriously saying that to me,
context: Not cute at all.\What!\More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me, response:	after slapping me awake in the middle of the night?!
context: What!\More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?! response:	I'm not in the wrong here!
context: More life counseling.\What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here! response:	This is definitely her fault!
context: What the hell are you doing?!\Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault! response:	Where in this world is there a brother who would play a game about loving a little sister with his little sister?!
context: Same to you! What are you making me do?!\You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?! response:	I-I'm sorry! I'm sorry Onii-chan!
context: You're unbelievable!\How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan! response:	See? Don't you feel sorry for Shiori-chan?
context: How can you just kick your cute sister out of your bed like that?!\Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan? response:	What do you have to say for yourself?
context: Is she seriously saying that to me,\after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself? response:	Little sisters should treat their brothers with more respect
context: after slapping me awake in the middle of the night?!\I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect response:	Huh? What was that?
context: I'm not in the wrong here!\This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that? response:	Nothing.
context: This is definitely her fault!\Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing. response:	Now hurry up and carry on!
context: Where in this world is there a brother who would play a game about loving a little sister with his little sister?!\I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing.\Now hurry up and carry on! response:	When I said I'd help you, I wasn't referring to this...
context: I-I'm sorry! I'm sorry Onii-chan!\See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this... response:	Huh?
context: See? Don't you feel sorry for Shiori-chan?\What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh? response:	You said to ask you if there's anything I need help with!
context: What do you have to say for yourself?\Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with! response:	I was talking about keeping this a secret from Dad!
context: Little sisters should treat their brothers with more respect\Huh? What was that?\Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad! response:	Why do you need me to play through an eroge with you?
context: Huh? What was that?\Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you? response:	Y-You just need to!
context: Nothing.\Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to! response:	I want someone to give me an objective viewpoint of this game!
context: Now hurry up and carry on!\When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game! response:	I want an actual opinion.
context: When I said I'd help you, I wasn't referring to this...\Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion. response:	How can I be objective about this?!
context: Huh?\You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?! response:	Come on, look at it from my perspective.
