context: Weve fought under gravity several times now, remember? response:	You judge a man by his looks”!
context: well become shooting stars and get burned to a crisp!\Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby. response:	Help direct the units and coordinate their formations.
context: Red 5 and Blue 1,\use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations. response:	Roger. I will begin calculating their speed of descent and angle of incidence.
context: use Rose 3 as a shield and descend to Earth.\Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence. response:	Were off and away!
context: Will that actually work?\Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away! response:	Im sending you my orbital calculations.
context: Rose 3 is capable of entering the earths atmosphere in its basic form.\If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations. response:	Rose 3 is faster than their fighters,
context: If you cling to the back of Rose 3 while its shield is up,\Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters, response:	so youll just barely beat them there.
context: Blue 1 and Red 5 should be able to handle the entry.\Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there. response:	But if you stray from this course even a little,
context: Purple 2, stay there on standby.\Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little, response:	youll wind up at a totally different location. Be careful!
context: Help direct the units and coordinate their formations.\Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful! response:	Got it! Im heading on out!
context: Roger. I will begin calculating their speed of descent and angle of incidence.\Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out! response:	Were falling!
context: Were off and away!\Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling! response:	My units surface temperature is rapidly increasing!
context: Im sending you my orbital calculations.\Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing! response:	Were still in the green!
context: Rose 3 is faster than their fighters,\so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing!\Were still in the green! response:	Tamaki, up the speed!
context: so youll just barely beat them there.\But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed! response:	Rose 3, you can do it!
context: But if you stray from this course even a little,\youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it! response:	We made it!
context: youll wind up at a totally different location. Be careful!\Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it!\We made it! response:	Whoa!
context: Got it! Im heading on out!\Were falling!\My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it!\We made it!\Whoa! response:	Did your unit get damaged?
context: Were falling!\My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it!\We made it!\Whoa!\Did your unit get damaged? response:	Its just heavier than I was expecting.
context: My units surface temperature is rapidly increasing!\Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it!\We made it!\Whoa!\Did your unit get damaged?\Its just heavier than I was expecting. response:	Relax!
context: Were still in the green!\Tamaki, up the speed!\Rose 3, you can do it!\We made it!\Whoa!\Did your unit get damaged?\Its just heavier than I was expecting.\Relax! response:	As long as you keep your cool, you can handle this!
context: Tamaki, up the speed!\Rose 3, you can do it!\We made it!\Whoa!\Did your unit get damaged?\Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this! response:	Got it! Keep my cool... Keep my cool...
context: Rose 3, you can do it!\We made it!\Whoa!\Did your unit get damaged?\Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool... response:	I cant believe were running away when the enemy is right there!
context: We made it!\Whoa!\Did your unit get damaged?\Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there! response:	It cant be helped...
context: Whoa!\Did your unit get damaged?\Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped... response:	Whats going on up there?
context: Did your unit get damaged?\Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there? response:	Its the Fail Five!
context: Its just heavier than I was expecting.\Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there?\Its the Fail Five! response:	The Fail Five?
context: Relax!\As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there?\Its the Fail Five!\The Fail Five? response:	Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!
context: As long as you keep your cool, you can handle this!\Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there?\Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting! response:	You mean Izuru, Asagi and Tamaki?
context: Got it! Keep my cool... Keep my cool...\I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there?\Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki? response:	Hang in there! Fight!
context: I cant believe were running away when the enemy is right there!\It cant be helped...\Whats going on up there?\Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight! response:	One fighter down!
context: It cant be helped...\Whats going on up there?\Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down! response:	I can see our school from here!
context: Whats going on up there?\Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down!\I can see our school from here! response:	Its going to take a while before Gold 4 is ready.
context: Its the Fail Five!\The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready. response:	Please buy some time!
context: The Fail Five?\Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time! response:	There are a bunch of enemy fighters!
context: Yeah! Blue 1, Rose 3 and Red 5 are up there fighting!\You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters! response:	Tell us what to do, Kei.
context: You mean Izuru, Asagi and Tamaki?\Hang in there! Fight!\One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei. response:	Klein is their primary fighter.
context: Hang in there! Fight!\One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter. response:	Someone mark him while the other two deal with the remaining fighters.
context: One fighter down!\I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters. response:	Izuru, you should defeat Klein.
context: I can see our school from here!\Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein. response:	Tamaki and I will handle the others.
context: Its going to take a while before Gold 4 is ready.\Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others. response:	Huh? But...
context: Please buy some time!\There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But... response:	Red 5 is superior in combat.
context: There are a bunch of enemy fighters!\Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat. response:	Leave the others to us.
context: Tell us what to do, Kei.\Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat.\Leave the others to us. response:	You do your job as the ace!
context: Klein is their primary fighter.\Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace! response:	All right. Im leaving the rest to you.
context: Someone mark him while the other two deal with the remaining fighters.\Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you. response:	Izuru was Team Rabbits ace pilot?!
context: Izuru, you should defeat Klein.\Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?! response:	I hate to admit it, but hes a better pilot than either of us.
context: Tamaki and I will handle the others.\Huh? But...\Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us. response:	So we should focus on doing what we can.
context: Huh? But...\Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can. response:	Dang! And here I thought I was our ace pilot!
context: Red 5 is superior in combat.\Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot! response:	Great!
context: Leave the others to us.\You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great! response:	All three of them have high Harmonic Levels, especially Blue 1.
context: You do your job as the ace!\All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1. response:	This may be his highest level yet.
context: All right. Im leaving the rest to you.\Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet. response:	The primitive creature I fought last time?
context: Izuru was Team Rabbits ace pilot?!\I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time? response:	Excellent!
context: I hate to admit it, but hes a better pilot than either of us.\So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time?\Excellent! response:	Lets have a return match!
context: So we should focus on doing what we can.\Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time?\Excellent!\Lets have a return match! response:	My weapons dont work on him...
context: Dang! And here I thought I was our ace pilot!\Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time?\Excellent!\Lets have a return match!\My weapons dont work on him... response:	What should I do?
context: Great!\All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time?\Excellent!\Lets have a return match!\My weapons dont work on him...\What should I do? response:	Thanks for waitin!
context: All three of them have high Harmonic Levels, especially Blue 1.\This may be his highest level yet.\The primitive creature I fought last time?\Excellent!\Lets have a return match!\My weapons dont work on him...\What should I do?\Thanks for waitin! response:	Gold 4 is now on the scene!
context: This may be his highest level yet.\The primitive creature I fought last time?\Excellent!\Lets have a return match!\My weapons dont work on him...\What should I do?\Thanks for waitin!\Gold 4 is now on the scene! response:	Izuru and the others have already made contact with the enemy.
context: The primitive creature I fought last time?\Excellent!\Lets have a return match!\My weapons dont work on him...\What should I do?\Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy. response:	Please prepare to fire immediately.
context: Excellent!\Lets have a return match!\My weapons dont work on him...\What should I do?\Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately. response:	Dont be in such a rush!
context: Lets have a return match!\My weapons dont work on him...\What should I do?\Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush! response:	Optical weapons take a delicate touch.
context: My weapons dont work on him...\What should I do?\Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch. response:	They pierce through the enemy at the speed of light,
context: What should I do?\Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light, response:	so as long as your aim is good, there is zero chance of them dodging!
context: Thanks for waitin!\Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging! response:	In exchange, they require pin-point accuracy.
context: Gold 4 is now on the scene!\Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy. response:	And there is a crazy huge distance between me and my target!
context: Izuru and the others have already made contact with the enemy.\Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target! response:	Ive gotta account for the earths rotation, vibrations in the atmosphere
context: Please prepare to fire immediately.\Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere response:	and even gravitational interference!
context: Dont be in such a rush!\Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference! response:	Hey, at least I dont have to worry about the Coriolis Effect
context: Optical weapons take a delicate touch.\They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect response:	like I do when sniping on Earth.
context: They pierce through the enemy at the speed of light,\so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth. response:	To top it off, Ive gotta fire at max power.
context: so as long as your aim is good, there is zero chance of them dodging!\In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power. response:	So once I let her rip, itll take a while before I can fire again.
context: In exchange, they require pin-point accuracy.\And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again. response:	Even on Earth, Im probably the only person
context: And there is a crazy huge distance between me and my target!\Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person response:	capable of pulling this mission off!
context: Ive gotta account for the earths rotation, vibrations in the atmosphere\and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off! response:	Well help adjust the lasers sight.
context: and even gravitational interference!\Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight. response:	But since the enemy is moving,
context: Hey, at least I dont have to worry about the Coriolis Effect\like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving, response:	everything ultimately rests on the skill of the gunner.
context: like I do when sniping on Earth.\To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner. response:	Be careful.
context: To top it off, Ive gotta fire at max power.\So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful. response:	I know, I know! You can count on me!
context: So once I let her rip, itll take a while before I can fire again.\Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me! response:	I want something if I pull this off.
context: Even on Earth, Im probably the only person\capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me!\I want something if I pull this off. response:	Like one of the GDFs G-11, Steyr-ACE or IWS-2000!
context: capable of pulling this mission off!\Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000! response:	All right. Ill take it into consideration.
context: Well help adjust the lasers sight.\But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration. response:	Fer real?!
context: But since the enemy is moving,\everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?! response:	You may pull the trigger when youre ready,
context: everything ultimately rests on the skill of the gunner.\Be careful.\I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready, response:	but dont take too long.
context: Be careful.\I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready,\but dont take too long. response:	I know you can do it.
context: I know, I know! You can count on me!\I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready,\but dont take too long.\I know you can do it. response:	Youre really pilin on the pressure by actin all nice...
context: I want something if I pull this off.\Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready,\but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice... response:	Gold 4 is ready to snipe.
context: Like one of the GDFs G-11, Steyr-ACE or IWS-2000!\All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready,\but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe. response:	Do something to restrict the enemys movements.
context: All right. Ill take it into consideration.\Fer real?!\You may pull the trigger when youre ready,\but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements. response:	In that case-!
context: Fer real?!\You may pull the trigger when youre ready,\but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-! response:	Now youve done it, primitive creature!
context: You may pull the trigger when youre ready,\but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-!\Now youve done it, primitive creature! response:	How dare you make me lick your planets dirt!
context: but dont take too long.\I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-!\Now youve done it, primitive creature!\How dare you make me lick your planets dirt! response:	Hurry, while the enemy is still dazed!
context: I know you can do it.\Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-!\Now youve done it, primitive creature!\How dare you make me lick your planets dirt!\Hurry, while the enemy is still dazed! response:	Dont push me!
context: Youre really pilin on the pressure by actin all nice...\Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-!\Now youve done it, primitive creature!\How dare you make me lick your planets dirt!\Hurry, while the enemy is still dazed!\Dont push me! response:	If Im not careful, Izuru might get caught in the blast!
context: Gold 4 is ready to snipe.\Do something to restrict the enemys movements.\In that case-!\Now youve done it, primitive creature!\How dare you make me lick your planets dirt!\Hurry, while the enemy is still dazed!\Dont push me!\If Im not careful, Izuru might get caught in the blast! response:	Defensive Battle at Cosmopolitan Academy (Second Part)”
