context: We're goin' fishin'! response:	I'm not happy with this, Handa-kun.
context: Well, we caught a bunch of horse mackerel, so that's fine.\We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble. response:	Right now,
context: We'll fry them at my place.\They're good pickled, too.\Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\Right now, response:	I feel the same way.
context: They're good pickled, too.\Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\Right now,\I feel the same way. response:	These are the ones Sensei caught.
context: Let's go, Sensei.\For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\Right now,\I feel the same way.\These are the ones Sensei caught. response:	So...
context: For some reason...\Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\Right now,\I feel the same way.\These are the ones Sensei caught.\So... response:	Today, to celebrate our visit to this island...
context: Since I came to this island, there are times when I really want to write calligraphy.\I feel something well up,\and my hands tremble.\Right now,\I feel the same way.\These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island... response:	Good work, everyone!
context: I feel something well up,\and my hands tremble.\Right now,\I feel the same way.\These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island...\Good work, everyone! response:	Don't ignore me!
context: and my hands tremble.\Right now,\I feel the same way.\These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me! response:	Let's dig in!
context: Right now,\I feel the same way.\These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me!\Let's dig in! response:	These fish have ink on them...
context: I feel the same way.\These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me!\Let's dig in!\These fish have ink on them... response:	That's wreckage from breaking new ground.
context: These are the ones Sensei caught.\So...\Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me!\Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground. response:	I would rather eat snapper, but oh well.
context: So...\Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me!\Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well. response:	You guys work hard and grow,
context: Today, to celebrate our visit to this island...\Good work, everyone!\Don't ignore me!\Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow, response:	and make me wealthy.
context: Good work, everyone!\Don't ignore me!\Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy. response:	You always did have that side to you.
context: Don't ignore me!\Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy.\You always did have that side to you. response:	To Kawafuji-san, I'm just a commodity.
context: Let's dig in!\These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity. response:	Do you know what he meant by breakin' new ground?
context: These fish have ink on them...\That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground? response:	Beats me.
context: That's wreckage from breaking new ground.\I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me. response:	Look in the room.
context: I would rather eat snapper, but oh well.\You guys work hard and grow,\and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me.\Look in the room. response:	Peeking without asking again...
context: You guys work hard and grow,\and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me.\Look in the room.\Peeking without asking again... response:	Me next.
context: and make me wealthy.\You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me.\Look in the room.\Peeking without asking again...\Me next. response:	Pretty good!
context: You always did have that side to you.\To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me.\Look in the room.\Peeking without asking again...\Me next.\Pretty good! response:	I always did like yer calligraphy, Sensei,
context: To Kawafuji-san, I'm just a commodity.\Do you know what he meant by breakin' new ground?\Beats me.\Look in the room.\Peeking without asking again...\Me next.\Pretty good!\I always did like yer calligraphy, Sensei, response:	but this one's the best!
context: Do you know what he meant by breakin' new ground?\Beats me.\Look in the room.\Peeking without asking again...\Me next.\Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best! response:	SNAPPER
context: Beats me.\Look in the room.\Peeking without asking again...\Me next.\Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER response:	Fukue Airport
context: Look in the room.\Peeking without asking again...\Me next.\Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER\Fukue Airport response:	Flight 635 to Fukuoka will begin boarding at 10:20.
context: Peeking without asking again...\Me next.\Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20. response:	Sheesh.
context: Me next.\Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh. response:	You didn't need to come see us off.
context: Pretty good!\I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off. response:	Passengers, please proceed to the boarding gate.
context: I always did like yer calligraphy, Sensei,\but this one's the best!\SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate. response:	It's only about three hours to Tokyo.
context: but this one's the best!\SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo. response:	Well, I can understand the reluctance to part,
context: SNAPPER\Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part, response:	What's this?
context: Fukue Airport\Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this? response:	Kankoro mochi.
context: Flight 635 to Fukuoka will begin boarding at 10:20.\Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this?\Kankoro mochi. response:	but you didn't need to make this much fuss...
context: Sheesh.\You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this?\Kankoro mochi.\but you didn't need to make this much fuss... response:	It tastes great if ya heat it in a toaster oven.
context: You didn't need to come see us off.\Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this?\Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven. response:	Look, Kawafuji!
context: Passengers, please proceed to the boarding gate.\It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this?\Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji! response:	It's written Happiki Kaminari (Eight Lightning Beasts) ,
context: It's only about three hours to Tokyo.\Well, I can understand the reluctance to part,\What's this?\Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) , response:	but pronounced Hacchi-Kankan.
context: Well, I can understand the reluctance to part,\What's this?\Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan. response:	These TV rocks are a rock revolution!
context: What's this?\Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution! response:	What did you really come here for?
context: Kankoro mochi.\but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for? response:	Oh, what's that?
context: but you didn't need to make this much fuss...\It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that? response:	Why are the locals here so hyper?
context: It tastes great if ya heat it in a toaster oven.\Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that?\Why are the locals here so hyper? response:	There's time before your departure,
context: Look, Kawafuji!\It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that?\Why are the locals here so hyper?\There's time before your departure, response:	so you should buy some souvenirs, Kawafuji-kun.
context: It's written Happiki Kaminari (Eight Lightning Beasts) ,\but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that?\Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun. response:	Yeah...
context: but pronounced Hacchi-Kankan.\These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that?\Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah... response:	I appreciate all you did for me.
context: These TV rocks are a rock revolution!\What did you really come here for?\Oh, what's that?\Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me. response:	Don't mention it.
context: What did you really come here for?\Oh, what's that?\Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me.\Don't mention it. response:	The village children normally only interact with local people,
context: Oh, what's that?\Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people, response:	so they enjoyed playing with people from the city.
context: Why are the locals here so hyper?\There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city. response:	Look, ain't this amazin'?
context: There's time before your departure,\so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'? response:	There's somethin' over here!
context: so you should buy some souvenirs, Kawafuji-kun.\Yeah...\I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here! response:	There's a bunch of toys.
context: Yeah...\I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys. response:	The airport's amazin'!
context: I appreciate all you did for me.\Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys.\The airport's amazin'! response:	It's like Santa Claus's house.
context: Don't mention it.\The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house. response:	Wanna take one with you?
context: The village children normally only interact with local people,\so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you? response:	Nah, I'll pass.
context: so they enjoyed playing with people from the city.\Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass. response:	Say, which product is this island known for?
context: Look, ain't this amazin'?\There's somethin' over here!\There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for? response:	Well, let's see...
context: There's somethin' over here!\There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for?\Well, let's see... response:	Kankoro mochi,
context: There's a bunch of toys.\The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for?\Well, let's see...\Kankoro mochi, response:	Camellia candy,
context: The airport's amazin'!\It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for?\Well, let's see...\Kankoro mochi,\Camellia candy, response:	oval squid, sea urchin,
context: It's like Santa Claus's house.\Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for?\Well, let's see...\Kankoro mochi,\Camellia candy,\oval squid, sea urchin, response:	Gotou udon,
context: Wanna take one with you?\Nah, I'll pass.\Say, which product is this island known for?\Well, let's see...\Kankoro mochi,\Camellia candy,\oval squid, sea urchin,\Gotou udon, response:	Gotou beef...
context: Nah, I'll pass.\Say, which product is this island known for?\Well, let's see...\Kankoro mochi,\Camellia candy,\oval squid, sea urchin,\Gotou udon,\Gotou beef... response:	I can't take that much home.
context: Say, which product is this island known for?\Well, let's see...\Kankoro mochi,\Camellia candy,\oval squid, sea urchin,\Gotou udon,\Gotou beef...\I can't take that much home. response:	Is there anything besides food?
context: Well, let's see...\Kankoro mochi,\Camellia candy,\oval squid, sea urchin,\Gotou udon,\Gotou beef...\I can't take that much home.\Is there anything besides food? response:	How about a cell phone strap?
context: Kankoro mochi,\Camellia candy,\oval squid, sea urchin,\Gotou udon,\Gotou beef...\I can't take that much home.\Is there anything besides food?\How about a cell phone strap? response:	They're pretty standard.
context: Camellia candy,\oval squid, sea urchin,\Gotou udon,\Gotou beef...\I can't take that much home.\Is there anything besides food?\How about a cell phone strap?\They're pretty standard. response:	Gotou Exclusive
context: oval squid, sea urchin,\Gotou udon,\Gotou beef...\I can't take that much home.\Is there anything besides food?\How about a cell phone strap?\They're pretty standard.\Gotou Exclusive response:	Baramon-kun
context: Gotou udon,\Gotou beef...\I can't take that much home.\Is there anything besides food?\How about a cell phone strap?\They're pretty standard.\Gotou Exclusive\Baramon-kun response:	That's totally not cute!
context: Gotou beef...\I can't take that much home.\Is there anything besides food?\How about a cell phone strap?\They're pretty standard.\Gotou Exclusive\Baramon-kun\That's totally not cute! response:	Take back a bunch of Baramon-kun for your friends in Tokyo.
context: I can't take that much home.\Is there anything besides food?\How about a cell phone strap?\They're pretty standard.\Gotou Exclusive\Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo. response:	I don't have any friends, so I'll just buy one for me.
context: Is there anything besides food?\How about a cell phone strap?\They're pretty standard.\Gotou Exclusive\Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me. response:	I'm...
context: How about a cell phone strap?\They're pretty standard.\Gotou Exclusive\Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm... response:	sorry.
context: They're pretty standard.\Gotou Exclusive\Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm...\sorry. response:	For what?
context: Gotou Exclusive\Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm...\sorry.\For what? response:	I'll buy one, too.
context: Baramon-kun\That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm...\sorry.\For what?\I'll buy one, too. response:	I'm gonna buy this!
context: That's totally not cute!\Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm...\sorry.\For what?\I'll buy one, too.\I'm gonna buy this! response:	Buy it?
context: Take back a bunch of Baramon-kun for your friends in Tokyo.\I don't have any friends, so I'll just buy one for me.\I'm...\sorry.\For what?\I'll buy one, too.\I'm gonna buy this!\Buy it? response:	Don't you mean, make me buy it?
context: I don't have any friends, so I'll just buy one for me.\I'm...\sorry.\For what?\I'll buy one, too.\I'm gonna buy this!\Buy it?\Don't you mean, make me buy it? response:	I'm beggin' you, Sensei!
context: I'm...\sorry.\For what?\I'll buy one, too.\I'm gonna buy this!\Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei! response:	It's my dyin' request...
context: sorry.\For what?\I'll buy one, too.\I'm gonna buy this!\Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request... response:	Don't invoke the next world at your age.
context: For what?\I'll buy one, too.\I'm gonna buy this!\Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age. response:	But I really wanna give this to Kawafuji!
context: I'll buy one, too.\I'm gonna buy this!\Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji! response:	Honestly, you...
context: I'm gonna buy this!\Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you... response:	sure know what he really likes!
context: Buy it?\Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes! response:	I don't like those!
context: Don't you mean, make me buy it?\I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes!\I don't like those! response:	You bought a lot of souvenirs.
context: I'm beggin' you, Sensei!\It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes!\I don't like those!\You bought a lot of souvenirs. response:	I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.
context: It's my dyin' request...\Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes!\I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances. response:	Flight 635 to Fukuoka will now begin boarding.
context: Don't invoke the next world at your age.\But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes!\I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding. response:	It's time.
context: But I really wanna give this to Kawafuji!\Honestly, you...\sure know what he really likes!\I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time. response:	Sorry I couldn't provide you any hospitality at all.
context: Honestly, you...\sure know what he really likes!\I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all. response:	Please board at gate number one.
context: sure know what he really likes!\I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one. response:	I already know you're insensitive.
context: I don't like those!\You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive. response:	Well, I was just glad to see you doing well.
context: You bought a lot of souvenirs.\I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well. response:	I can give a good report to Handa-sensei.
context: I bragged to my coworkers about coming to Gotou, so I had to keep up appearances.\Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei. response:	You see my dad?
context: Flight 635 to Fukuoka will now begin boarding.\It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad? response:	Occasionally, in connection with work.
context: It's time.\Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work. response:	Although he sent you away, he was still worried.
context: Sorry I couldn't provide you any hospitality at all.\Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried. response:	I see...
context: Please board at gate number one.\I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see... response:	What's wrong?
context: I already know you're insensitive.\Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see...\What's wrong? response:	Why so surprised?
context: Well, I was just glad to see you doing well.\I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see...\What's wrong?\Why so surprised? response:	It's just... knowing you,
context: I can give a good report to Handa-sensei.\You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see...\What's wrong?\Why so surprised?\It's just... knowing you, response:	I thought you'd keep playing the rebel and say something like, As if he'd worry.
context: You see my dad?\Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see...\What's wrong?\Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry. response:	Lately I've been thinking,
context: Occasionally, in connection with work.\Although he sent you away, he was still worried.\I see...\What's wrong?\Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking, response:	maybe Dad doesn't hate me after all.
context: Although he sent you away, he was still worried.\I see...\What's wrong?\Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all. response:	You're only just realizing that now?
context: I see...\What's wrong?\Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now? response:	Strict isn't the same as hateful.
context: What's wrong?\Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful. response:	From the outside, I'd say he's pretty doting.
context: Why so surprised?\It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting. response:	What?! He is not!
context: It's just... knowing you,\I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not! response:	Call once in a while.
context: I thought you'd keep playing the rebel and say something like, As if he'd worry.\Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while. response:	Kawafuji...
context: Lately I've been thinking,\maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while.\Kawafuji... response:	Has Kawa-san started boarding already?!
context: maybe Dad doesn't hate me after all.\You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?! response:	No, not yet.
context: You're only just realizing that now?\Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?!\No, not yet. response:	But soon.
context: Strict isn't the same as hateful.\From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?!\No, not yet.\But soon. response:	His glasses!
context: From the outside, I'd say he's pretty doting.\What?! He is not!\Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?!\No, not yet.\But soon.\His glasses! response:	His glasses got him!
context: What?! He is not!\Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?!\No, not yet.\But soon.\His glasses!\His glasses got him! response:	I knew he'd get caught.
context: Call once in a while.\Kawafuji...\Has Kawa-san started boarding already?!\No, not yet.\But soon.\His glasses!\His glasses got him!\I knew he'd get caught. response:	That's why you wanted to...
context: Kawafuji...\Has Kawa-san started boarding already?!\No, not yet.\But soon.\His glasses!\His glasses got him!\I knew he'd get caught.\That's why you wanted to... response:	Not my glasses, my belt!
context: Has Kawa-san started boarding already?!\No, not yet.\But soon.\His glasses!\His glasses got him!\I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt! response:	Too funny!
context: No, not yet.\But soon.\His glasses!\His glasses got him!\I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt!\Too funny! response:	He's sayin' something.
context: But soon.\His glasses!\His glasses got him!\I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt!\Too funny!\He's sayin' something. response:	Was he hiding a knife in those glasses?
context: His glasses!\His glasses got him!\I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt!\Too funny!\He's sayin' something.\Was he hiding a knife in those glasses? response:	Kawafuji, I'm embarrassed as your friend.
context: His glasses got him!\I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt!\Too funny!\He's sayin' something.\Was he hiding a knife in those glasses?\Kawafuji, I'm embarrassed as your friend. response:	Sensei.
context: I knew he'd get caught.\That's why you wanted to...\Not my glasses, my belt!\Too funny!\He's sayin' something.\Was he hiding a knife in those glasses?\Kawafuji, I'm embarrassed as your friend.\Sensei. response:	Thank you very much.
context: That's why you wanted to...\Not my glasses, my belt!\Too funny!\He's sayin' something.\Was he hiding a knife in those glasses?\Kawafuji, I'm embarrassed as your friend.\Sensei.\Thank you very much. response:	Although I did all those rude things,
context: Not my glasses, my belt!\Too funny!\He's sayin' something.\Was he hiding a knife in those glasses?\Kawafuji, I'm embarrassed as your friend.\Sensei.\Thank you very much.\Although I did all those rude things, response:	I'm truly happy to have met you.
context: Too funny!\He's sayin' something.\Was he hiding a knife in those glasses?\Kawafuji, I'm embarrassed as your friend.\Sensei.\Thank you very much.\Although I did all those rude things,\I'm truly happy to have met you. response:	It was very educational.
