context: Once upon a time, there was a girl who loved to dance very much. response:	The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.
context: I'm Ahiru.\I don't understand.\What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu. response:	Princess Tutu will change everything.
context: I don't understand.\What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything. response:	She will change Mytho.
context: What?\I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything.\She will change Mytho. response:	At this rate, Mytho will grow more distant from me.
context: I don't really understand myself.\I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me. response:	I won't allow that to happen!
context: I've always liked drawing with Rue-san as the model,\but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen! response:	Then what do you plan to do about it?
context: but before, I wanted to draw all sorts of other things too, like fruits and landscapes.\But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it? response:	What?
context: But now, I can only draw Rue-san.\Princess Tutu.\Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it?\What? response:	A beautiful black swan.
context: Princess Tutu.\Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it?\What?\A beautiful black swan. response:	Who is the heroine of this story?
context: Princess Tutu will change everything.\She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it?\What?\A beautiful black swan.\Who is the heroine of this story? response:	Is it Princess Tutu? Or is it Princess Kraehe?
context: She will change Mytho.\At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it?\What?\A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe? response:	Princess Kraehe...
context: At this rate, Mytho will grow more distant from me.\I won't allow that to happen!\Then what do you plan to do about it?\What?\A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe... response:	It hurts when I try to draw other things.
context: I won't allow that to happen!\Then what do you plan to do about it?\What?\A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things. response:	A story doesn't need two heroines.
context: Then what do you plan to do about it?\What?\A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines. response:	A prince doesn't need two princesses.
context: What?\A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses. response:	Now, tell me what happens next.
context: A beautiful black swan.\Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next. response:	Dance with me, Malen.
context: Who is the heroine of this story?\Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen. response:	Who are you? I can't dance...
context: Is it Princess Tutu? Or is it Princess Kraehe?\Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance... response:	Don't worry, you can just dance freely.
context: Princess Kraehe...\It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely. response:	The source of your pain is the false heart within your heart.
context: It hurts when I try to draw other things.\A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart. response:	I'll remove it for you.
context: A story doesn't need two heroines.\A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you. response:	Then, you'll be able to draw the things you love again.
context: A prince doesn't need two princesses.\Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again. response:	Really?
context: Now, tell me what happens next.\Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really? response:	Yes.
context: Dance with me, Malen.\Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really?\Yes. response:	You can go back to being your old self.
context: Who are you? I can't dance...\Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really?\Yes.\You can go back to being your old self. response:	Thank you.
context: Don't worry, you can just dance freely.\The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really?\Yes.\You can go back to being your old self.\Thank you. response:	I want to remain the same, never changing.
context: The source of your pain is the false heart within your heart.\I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really?\Yes.\You can go back to being your old self.\Thank you.\I want to remain the same, never changing. response:	I see.
context: I'll remove it for you.\Then, you'll be able to draw the things you love again.\Really?\Yes.\You can go back to being your old self.\Thank you.\I want to remain the same, never changing.\I see. response:	Once again, Princess Tutu...
context: Then, you'll be able to draw the things you love again.\Really?\Yes.\You can go back to being your old self.\Thank you.\I want to remain the same, never changing.\I see.\Once again, Princess Tutu... response:	will change Mytho.
context: Really?\Yes.\You can go back to being your old self.\Thank you.\I want to remain the same, never changing.\I see.\Once again, Princess Tutu...\will change Mytho. response:	What's this?
context: Yes.\You can go back to being your old self.\Thank you.\I want to remain the same, never changing.\I see.\Once again, Princess Tutu...\will change Mytho.\What's this? response:	Tutu, where are you?
context: You can go back to being your old self.\Thank you.\I want to remain the same, never changing.\I see.\Once again, Princess Tutu...\will change Mytho.\What's this?\Tutu, where are you? response:	What emotion are you?
context: Thank you.\I want to remain the same, never changing.\I see.\Once again, Princess Tutu...\will change Mytho.\What's this?\Tutu, where are you?\What emotion are you? response:	I am the feeling of devotion.
context: I want to remain the same, never changing.\I see.\Once again, Princess Tutu...\will change Mytho.\What's this?\Tutu, where are you?\What emotion are you?\I am the feeling of devotion. response:	You are a shard of the prince's heart which he lost.
context: I see.\Once again, Princess Tutu...\will change Mytho.\What's this?\Tutu, where are you?\What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost. response:	The feeling of devotion, is it?
context: Once again, Princess Tutu...\will change Mytho.\What's this?\Tutu, where are you?\What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it? response:	Kraehe...
context: will change Mytho.\What's this?\Tutu, where are you?\What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe... response:	I won't allow you to return such a thing to Mytho.
context: What's this?\Tutu, where are you?\What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho. response:	What are you going to do?
context: Tutu, where are you?\What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do? response:	Oh, I don't know, what should I do?
context: What emotion are you?\I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do? response:	No!
context: I am the feeling of devotion.\You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do?\No! response:	You'd better forget about restoring any more heart shards to the prince.
context: You are a shard of the prince's heart which he lost.\The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince. response:	But the prince is...
context: The feeling of devotion, is it?\Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is... response:	The prince says he wants to regain his heart.
context: Kraehe...\I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart. response:	Princess Tutu!
context: I won't allow you to return such a thing to Mytho.\What are you going to do?\Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart.\Princess Tutu! response:	Oh, thank goodness, I've finally found you.
context: What are you going to do?\Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you. response:	Kraehe...
context: Oh, I don't know, what should I do?\No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe... response:	Why?
context: No!\You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe...\Why? response:	Why do you look at me like that?
context: You'd better forget about restoring any more heart shards to the prince.\But the prince is...\The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe...\Why?\Why do you look at me like that? response:	Kraehe?
context: But the prince is...\The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe...\Why?\Why do you look at me like that?\Kraehe? response:	What's wrong?
context: The prince says he wants to regain his heart.\Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe...\Why?\Why do you look at me like that?\Kraehe?\What's wrong? response:	Don't come near me!
context: Princess Tutu!\Oh, thank goodness, I've finally found you.\Kraehe...\Why?\Why do you look at me like that?\Kraehe?\What's wrong?\Don't come near me! response:	I am... not needed?
context: Oh, thank goodness, I've finally found you.\Kraehe...\Why?\Why do you look at me like that?\Kraehe?\What's wrong?\Don't come near me!\I am... not needed? response:	Kraehe, why are you in such pain?
context: Kraehe...\Why?\Why do you look at me like that?\Kraehe?\What's wrong?\Don't come near me!\I am... not needed?\Kraehe, why are you in such pain? response:	What?
context: Why?\Why do you look at me like that?\Kraehe?\What's wrong?\Don't come near me!\I am... not needed?\Kraehe, why are you in such pain?\What? response:	Is it anything I can help you with?
context: Why do you look at me like that?\Kraehe?\What's wrong?\Don't come near me!\I am... not needed?\Kraehe, why are you in such pain?\What?\Is it anything I can help you with? response:	Who... is Kraehe?
context: Kraehe?\What's wrong?\Don't come near me!\I am... not needed?\Kraehe, why are you in such pain?\What?\Is it anything I can help you with?\Who... is Kraehe? response:	Fakir!
context: What's wrong?\Don't come near me!\I am... not needed?\Kraehe, why are you in such pain?\What?\Is it anything I can help you with?\Who... is Kraehe?\Fakir! response:	Be gone, you ugly crow!
context: Don't come near me!\I am... not needed?\Kraehe, why are you in such pain?\What?\Is it anything I can help you with?\Who... is Kraehe?\Fakir!\Be gone, you ugly crow! response:	Crow...
context: I am... not needed?\Kraehe, why are you in such pain?\What?\Is it anything I can help you with?\Who... is Kraehe?\Fakir!\Be gone, you ugly crow!\Crow... response:	I remember now. I am a crow.
context: Kraehe, why are you in such pain?\What?\Is it anything I can help you with?\Who... is Kraehe?\Fakir!\Be gone, you ugly crow!\Crow...\I remember now. I am a crow. response:	And I am the TRUE prima donna, Princess Kraehe.
context: What?\Is it anything I can help you with?\Who... is Kraehe?\Fakir!\Be gone, you ugly crow!\Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe. response:	I can take whatever I want, by force if need be!
context: Is it anything I can help you with?\Who... is Kraehe?\Fakir!\Be gone, you ugly crow!\Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be! response:	Mytho and Kraehe's wedding?
context: Who... is Kraehe?\Fakir!\Be gone, you ugly crow!\Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding? response:	With Fakir as witness...
context: Fakir!\Be gone, you ugly crow!\Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness... response:	The legend you told me about is all becoming reality.
context: Be gone, you ugly crow!\Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality. response:	It would be better if you did not involve yourself in this accursed tale any further!
context: Crow...\I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further! response:	It's weird for your name to be Prince, so how about taking the name Mytho?
context: I remember now. I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho? response:	You're going to Kraehe?
context: And I am the TRUE prima donna, Princess Kraehe.\I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe? response:	Because I feel that I mustn't run away...
context: I can take whatever I want, by force if need be!\Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away... response:	What do you think, Princess Tutu?
context: Mytho and Kraehe's wedding?\With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu? response:	Aren't we just perfect for each other?
context: With Fakir as witness...\The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other? response:	All you children who love stories, come gather around.
context: The legend you told me about is all becoming reality.\It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around. response:	Cinderella
context: It would be better if you did not involve yourself in this accursed tale any further!\It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella response:	The voice calling, come now, wake up
context: It's weird for your name to be Prince, so how about taking the name Mytho?\You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up response:	Wiping a tearstained face
context: You're going to Kraehe?\Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Because I feel that I mustn't run away...\What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: What do you think, Princess Tutu?\Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: Aren't we just perfect for each other?\All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: All you children who love stories, come gather around.\Cinderella\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: Cinderella\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
