context: The next time I fall in love, response:	I'd prefer a guy who's a bit coldhearted.
context: G-Good evening.\Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look? response:	Yeah, thanks.
context: Huh? Where is everyone? Not here yet?\Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks. response:	Did you hear from either Nana or Ren?
context: Nana's here, but she went out to buy cigarettes.\I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren? response:	Those two are safely back together.
context: I see.\What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together. response:	Really? I'm happy about that.
context: What am I gonna do?\With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that. response:	Mhm. I'm really happy about it.
context: With Jun-chan bringing that subject up, I can't look at him the same way.\And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it. response:	I was a bit down lately, but now I'm feeling really good.
context: And it's just us two here. What are we gonna talk about?\Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good. response:	Huh? You were a bit down? But you looked fine.
context: Yasu. I brought this Trapnest pamphlet. Wanna take a look?\Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine. response:	Was something troubling you?
context: Yeah, thanks.\Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you? response:	Ah, no. If you don't wanna talk about it, that's okay.
context: Did you hear from either Nana or Ren?\Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay. response:	My boyfriend cheated on me and dumped me.
context: Those two are safely back together.\Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me. response:	He doesn't realize what he lost. What an idiot.
context: Really? I'm happy about that.\Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot. response:	But I was the one who said I no longer wanted Shoji.
context: Mhm. I'm really happy about it.\I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji. response:	The reason I used those foolish words - he dumped me -
context: I was a bit down lately, but now I'm feeling really good.\Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me - response:	was because I wanted him to be kind to me like this.
context: Huh? You were a bit down? But you looked fine.\Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this. response:	But I no longer want a kind man.
context: Was something troubling you?\Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man. response:	Because it would hurt too much when he betrays me.
context: Ah, no. If you don't wanna talk about it, that's okay.\My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me. response:	Still, Yasu is very trustworthy.
context: My boyfriend cheated on me and dumped me.\He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy. response:	Should I frequently see him like this, I might really fall for him.
context: He doesn't realize what he lost. What an idiot.\But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him. response:	Everyone's late.
context: But I was the one who said I no longer wanted Shoji.\The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late. response:	Would it be bad for me to fall in love with him?
context: The reason I used those foolish words - he dumped me -\was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him? response:	Where did Nana go to get cigarettes?
context: was because I wanted him to be kind to me like this.\But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes? response:	Should I not?
context: But I no longer want a kind man.\Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not? response:	Why don't I ask?
context: Because it would hurt too much when he betrays me.\Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not?\Why don't I ask? response:	Say, Yasu, do you have a girlfriend?
context: Still, Yasu is very trustworthy.\Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend? response:	Unfortunately, I'm not popular with the women.
context: Should I frequently see him like this, I might really fall for him.\Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women. response:	What?! But I like you a lot!
context: Everyone's late.\Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot! response:	Hey, Yasu!
context: Would it be bad for me to fall in love with him?\Where did Nana go to get cigarettes?\Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu! response:	Ren sent me a reply to my email.
context: Where did Nana go to get cigarettes?\Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email. response:	He has a break in his tour schedule on the seventh and eighth of next month,
context: Should I not?\Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month, response:	so he'll be returning here then.
context: Why don't I ask?\Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then. response:	He says if those days are fine with us, we'll have a mahjongg tournament then.
context: Say, Yasu, do you have a girlfriend?\Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then. response:	Is that so?
context: Unfortunately, I'm not popular with the women.\What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so? response:	What's that?! I wanna join you!
context: What?! But I like you a lot!\Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you! response:	Huh? You know how to play mahjongg, Hachi?
context: Hey, Yasu!\Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi? response:	I don't, but!
context: Ren sent me a reply to my email.\He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but! response:	Good grief.
context: He has a break in his tour schedule on the seventh and eighth of next month,\so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief. response:	I wanna meet Ren too!
context: so he'll be returning here then.\He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief.\I wanna meet Ren too! response:	What? But Hachiko, I thought you were into Takumi.
context: He says if those days are fine with us, we'll have a mahjongg tournament then.\Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi. response:	You cheater!
context: Is that so?\What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater! response:	Don't call me Hachiko.
context: What's that?! I wanna join you!\Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko. response:	Shin's so not cute lately.
context: Huh? You know how to play mahjongg, Hachi?\I don't, but!\Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko.\Shin's so not cute lately. response:	Where's Nana?
context: I don't, but!\Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana? response:	Oh. She's gone to Alaska to buy cigarettes.
context: Good grief.\I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes. response:	Alaska?!
context: I wanna meet Ren too!\What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?! response:	Oh, is that Trapnest's pamphlet? Let me see it.
context: What? But Hachiko, I thought you were into Takumi.\You cheater!\Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it. response:	Sure. Hachi brought it.
context: You cheater!\Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it. response:	Oh, I wanna see it too.
context: Don't call me Hachiko.\Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too. response:	Hachi? Even Yasu's calling me that now.
context: Shin's so not cute lately.\Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now. response:	Taking a close look like this, Reira really is pretty.
context: Where's Nana?\Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty. response:	Oh? Is she your type, Nobu?
context: Oh. She's gone to Alaska to buy cigarettes.\Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu? response:	I'm not sure about type, but she's great.
context: Alaska?!\Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great. response:	Then next time let me introduce you to a flight attendant who looks just like her.
context: Oh, is that Trapnest's pamphlet? Let me see it.\Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her. response:	Huh? A flight attendant? Awesome!
context: Sure. Hachi brought it.\Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome! response:	She's also really great at...
context: Oh, I wanna see it too.\Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at... response:	- Shin! - Don't want her!
context: Hachi? Even Yasu's calling me that now.\Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her! response:	I'm not gonna become your brother!
context: Taking a close look like this, Reira really is pretty.\Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother! response:	Brother?
context: Oh? Is she your type, Nobu?\I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother!\Brother? response:	Oh, hi Nana! You're awfully late.
context: I'm not sure about type, but she's great.\Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late. response:	Shin! How old are you?
context: Then next time let me introduce you to a flight attendant who looks just like her.\Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you? response:	Stop smoking, you brat. Stop trying to act cool.
context: Huh? A flight attendant? Awesome!\She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool. response:	What's gotten into you all of a sudden, Nana?
context: She's also really great at...\- Shin! - Don't want her!\I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana? response:	You were letting him until now.
context: - Shin! - Don't want her!\I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now. response:	She's scaring me! Save me, Hachi.
context: I'm not gonna become your brother!\Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi. response:	Yasu!
context: Brother?\Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu! response:	Yes, I get it. No smoking, right? I'll comply.
context: Oh, hi Nana! You're awfully late.\Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply. response:	No smoking?! Why?!
context: Shin! How old are you?\Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?! response:	To increase my lung capacity.
context: Stop smoking, you brat. Stop trying to act cool.\What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity. response:	Where you that impressed by Reira's voice?
context: What's gotten into you all of a sudden, Nana?\You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice? response:	That bitch has nothing to do with it! I'll kill you baldie!
context: You were letting him until now.\She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie! response:	Since that evening, Nana even began doing sit-ups.
context: She's scaring me! Save me, Hachi.\Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups. response:	So I decided to workout with her.
context: Yasu!\Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her. response:	Why are you doing sit-ups too?
context: Yes, I get it. No smoking, right? I'll comply.\No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too? response:	I wanna have a slim waist for when I find a boyfriend.
context: No smoking?! Why?!\To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend. response:	I see. Then, good luck with your efforts.
context: To increase my lung capacity.\Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts. response:	I wonder if Yasu will notice me if I work hard at it.
context: Where you that impressed by Reira's voice?\That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it. response:	Maybe not. I somehow can't picture Yasu falling in love with me.
context: That bitch has nothing to do with it! I'll kill you baldie!\Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me. response:	Nana-chin, make copies of this.
context: Since that evening, Nana even began doing sit-ups.\So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this. response:	I don't think he sees me as a woman.
context: So I decided to workout with her.\Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman. response:	I get that same scent as that of Mr. Mizukoshi.
context: Why are you doing sit-ups too?\I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi. response:	My chances are slim. Maybe I should give up.
context: I wanna have a slim waist for when I find a boyfriend.\I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up. response:	I'm no longer at that age where I can be satisfied with one-sided love.
context: I see. Then, good luck with your efforts.\I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love. response:	Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.
context: I wonder if Yasu will notice me if I work hard at it.\Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go. response:	Oh, somebody, hold me tight.
context: Maybe not. I somehow can't picture Yasu falling in love with me.\Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight. response:	An e-mail.
context: Nana-chin, make copies of this.\I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail. response:	REN A MESSAGE FOR NANA
context: I don't think he sees me as a woman.\I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA response:	It's come!
context: I get that same scent as that of Mr. Mizukoshi.\My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA\It's come! response:	An email from Ren!
context: My chances are slim. Maybe I should give up.\I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA\It's come!\An email from Ren! response:	Trapnest's Ren has sent an email to my cell phone!
context: I'm no longer at that age where I can be satisfied with one-sided love.\Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA\It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone! response:	I cannot believe something like this is happening to a commoner like me!
context: Let's look elsewhere, Nana-chin. Perhaps a party is the way to go.\Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA\It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me! response:	It's not addressed to me, but can I read it?
context: Oh, somebody, hold me tight.\An e-mail.\REN A MESSAGE FOR NANA\It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it? response:	Even if I shouldn't, I wanna read it.
context: An e-mail.\REN A MESSAGE FOR NANA\It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it. response:	I'll read it!
context: REN A MESSAGE FOR NANA\It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it! response:	A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?
context: It's come!\An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place? response:	Yes, please come, darling.
context: An email from Ren!\Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling. response:	That's the reply I gave. Where's my treat?
context: Trapnest's Ren has sent an email to my cell phone!\I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat? response:	Don't reply on my behalf! You're not getting a treat.
