context: The ice here is in the way. response:	Then why don't we have two boats set off here,
context: How will you respond to the workings of your children?\Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity. response:	A storm's coming...
context: Under your divine benevolence,\we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming... response:	The lull of the sea...
context: we, the people of Shioshishio,\have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea... response:	Manaka!
context: have always respected, honored and served\our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea...\Manaka! response:	Manaka-san!
context: our father, our god, the mighty Sea God,\throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea...\Manaka!\Manaka-san! response:	I have to save her!
context: throughout the years since the beginning of time.\O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea...\Manaka!\Manaka-san!\I have to save her! response:	Manaka doesn't have Ena!
context: O Sea God, most exalted one,\protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea...\Manaka!\Manaka-san!\I have to save her!\Manaka doesn't have Ena! response:	Chisaki!
context: protect us, your children. Bless us, and give us prosperity.\A storm's coming...\The lull of the sea...\Manaka!\Manaka-san!\I have to save her!\Manaka doesn't have Ena!\Chisaki! response:	Everyone!
context: A storm's coming...\The lull of the sea...\Manaka!\Manaka-san!\I have to save her!\Manaka doesn't have Ena!\Chisaki!\Everyone! response:	Kaname!
context: The lull of the sea...\Manaka!\Manaka-san!\I have to save her!\Manaka doesn't have Ena!\Chisaki!\Everyone!\Kaname! response:	Everyone, hold onto the boat!
context: Manaka!\Manaka-san!\I have to save her!\Manaka doesn't have Ena!\Chisaki!\Everyone!\Kaname!\Everyone, hold onto the boat! response:	Don't get thrown off!
context: Manaka-san!\I have to save her!\Manaka doesn't have Ena!\Chisaki!\Everyone!\Kaname!\Everyone, hold onto the boat!\Don't get thrown off! response:	No...
context: I have to save her!\Manaka doesn't have Ena!\Chisaki!\Everyone!\Kaname!\Everyone, hold onto the boat!\Don't get thrown off!\No... response:	Namaka!
context: Manaka doesn't have Ena!\Chisaki!\Everyone!\Kaname!\Everyone, hold onto the boat!\Don't get thrown off!\No...\Namaka! response:	Miuna!
context: Chisaki!\Everyone!\Kaname!\Everyone, hold onto the boat!\Don't get thrown off!\No...\Namaka!\Miuna! response:	Get Manaka!
context: Everyone!\Kaname!\Everyone, hold onto the boat!\Don't get thrown off!\No...\Namaka!\Miuna!\Get Manaka! response:	Hikari!
context: Kaname!\Everyone, hold onto the boat!\Don't get thrown off!\No...\Namaka!\Miuna!\Get Manaka!\Hikari! response:	It's so hard to breathe in the sea...
context: Everyone, hold onto the boat!\Don't get thrown off!\No...\Namaka!\Miuna!\Get Manaka!\Hikari!\It's so hard to breathe in the sea... response:	It's so rough...
context: Don't get thrown off!\No...\Namaka!\Miuna!\Get Manaka!\Hikari!\It's so hard to breathe in the sea...\It's so rough... response:	it hurts.
context: No...\Namaka!\Miuna!\Get Manaka!\Hikari!\It's so hard to breathe in the sea...\It's so rough...\it hurts. response:	I'm scared...
context: Namaka!\Miuna!\Get Manaka!\Hikari!\It's so hard to breathe in the sea...\It's so rough...\it hurts.\I'm scared... response:	The sea that had always protected me is...
context: Miuna!\Get Manaka!\Hikari!\It's so hard to breathe in the sea...\It's so rough...\it hurts.\I'm scared...\The sea that had always protected me is... response:	Manaka-san!
context: Get Manaka!\Hikari!\It's so hard to breathe in the sea...\It's so rough...\it hurts.\I'm scared...\The sea that had always protected me is...\Manaka-san! response:	Miuna-chan!
context: Hikari!\It's so hard to breathe in the sea...\It's so rough...\it hurts.\I'm scared...\The sea that had always protected me is...\Manaka-san!\Miuna-chan! response:	The sea is responding to Miuna's feelings.
context: It's so hard to breathe in the sea...\It's so rough...\it hurts.\I'm scared...\The sea that had always protected me is...\Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings. response:	What?
context: It's so rough...\it hurts.\I'm scared...\The sea that had always protected me is...\Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings.\What? response:	Mukaido loves Hikari...
context: it hurts.\I'm scared...\The sea that had always protected me is...\Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari... response:	And so does Miuna.
context: I'm scared...\The sea that had always protected me is...\Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari...\And so does Miuna. response:	Mukaido's feelings and Miuna's feelings are very similar.
context: The sea that had always protected me is...\Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar. response:	That's why Mukaido's feelings that melted into the sea are shining.
context: Manaka-san!\Miuna-chan!\The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining. response:	Manaka-san!
context: Miuna-chan!\The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san! response:	I understand...
context: The sea is responding to Miuna's feelings.\What?\Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand... response:	I can sense them.
context: What?\Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand...\I can sense them. response:	I can feel your feelings, Manaka-san.
context: Mukaido loves Hikari...\And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand...\I can sense them.\I can feel your feelings, Manaka-san. response:	I knew it.
context: And so does Miuna.\Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand...\I can sense them.\I can feel your feelings, Manaka-san.\I knew it. response:	When I'm with you like this, Miuna-chan,
context: Mukaido's feelings and Miuna's feelings are very similar.\That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand...\I can sense them.\I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan, response:	I feel so at ease.
context: That's why Mukaido's feelings that melted into the sea are shining.\Manaka-san!\I understand...\I can sense them.\I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease. response:	That's because my Ena is shouting that it loves Hikari.
context: Manaka-san!\I understand...\I can sense them.\I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari. response:	Huh?
context: I understand...\I can sense them.\I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh? response:	Not just Hikari,
context: I can sense them.\I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari, response:	but it's shouting that it loves the sea and everyone else.
context: I can feel your feelings, Manaka-san.\I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else. response:	Manaka!
context: I knew it.\When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka! response:	Chisaki!
context: When I'm with you like this, Miuna-chan,\I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki! response:	Take care of Manaka!
context: I feel so at ease.\That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki!\Take care of Manaka! response:	Hikari!
context: That's because my Ena is shouting that it loves Hikari.\Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki!\Take care of Manaka!\Hikari! response:	This presence...
context: Huh?\Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki!\Take care of Manaka!\Hikari!\This presence... response:	That's...
context: Not just Hikari,\but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki!\Take care of Manaka!\Hikari!\This presence...\That's... response:	The Ojoshi-samas' graveyard?
context: but it's shouting that it loves the sea and everyone else.\Manaka!\Chisaki!\Take care of Manaka!\Hikari!\This presence...\That's...\The Ojoshi-samas' graveyard? response:	Miuna!
context: Manaka!\Chisaki!\Take care of Manaka!\Hikari!\This presence...\That's...\The Ojoshi-samas' graveyard?\Miuna! response:	Miuna!
context: Chisaki!\Take care of Manaka!\Hikari!\This presence...\That's...\The Ojoshi-samas' graveyard?\Miuna!\Miuna! response:	Sea God, you bastard!
context: Take care of Manaka!\Hikari!\This presence...\That's...\The Ojoshi-samas' graveyard?\Miuna!\Miuna!\Sea God, you bastard! response:	Hikari!
context: Hikari!\This presence...\That's...\The Ojoshi-samas' graveyard?\Miuna!\Miuna!\Sea God, you bastard!\Hikari! response:	Hikari!
context: This presence...\That's...\The Ojoshi-samas' graveyard?\Miuna!\Miuna!\Sea God, you bastard!\Hikari!\Hikari! response:	I love Hii-kun.
context: That's...\The Ojoshi-samas' graveyard?\Miuna!\Miuna!\Sea God, you bastard!\Hikari!\Hikari!\I love Hii-kun. response:	I love Hii-kun.
context: The Ojoshi-samas' graveyard?\Miuna!\Miuna!\Sea God, you bastard!\Hikari!\Hikari!\I love Hii-kun.\I love Hii-kun. response:	I love Hii-kun. I love Hii-kun.
context: Miuna!\Miuna!\Sea God, you bastard!\Hikari!\Hikari!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun. response:	I love Hii-kun.
context: Miuna!\Sea God, you bastard!\Hikari!\Hikari!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun. response:	Hikari...
context: Sea God, you bastard!\Hikari!\Hikari!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari... response:	I love you...
context: Hikari!\Hikari!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari...\I love you... response:	I love...
context: Hikari!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari...\I love you...\I love... response:	Hikari...
context: I love Hii-kun.\I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari...\I love you...\I love...\Hikari... response:	I love... you
context: I love Hii-kun.\I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari...\I love you...\I love...\Hikari...\I love... you response:	Miuna!
context: I love Hii-kun. I love Hii-kun.\I love Hii-kun.\Hikari...\I love you...\I love...\Hikari...\I love... you\Miuna! response:	Love is like the sea...
context: I love Hii-kun.\Hikari...\I love you...\I love...\Hikari...\I love... you\Miuna!\Love is like the sea... response:	If she didn't love me...
context: Hikari...\I love you...\I love...\Hikari...\I love... you\Miuna!\Love is like the sea...\If she didn't love me... response:	I'm glad I fell in love with you...
context: I love you...\I love...\Hikari...\I love... you\Miuna!\Love is like the sea...\If she didn't love me...\I'm glad I fell in love with you... response:	Miuna... the beautiful sea...
context: I love...\Hikari...\I love... you\Miuna!\Love is like the sea...\If she didn't love me...\I'm glad I fell in love with you...\Miuna... the beautiful sea... response:	The calmed sea begins to move.
context: Hikari...\I love... you\Miuna!\Love is like the sea...\If she didn't love me...\I'm glad I fell in love with you...\Miuna... the beautiful sea...\The calmed sea begins to move. response:	Final Episode: The Color of the Sea. The Color of the Earth. The Color of the Wind. The Color of Your Heart. Your Color.
