context: Gotcha! response:	Wow, it's big!
context: Uh... These.\I'm back.\Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too-\No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay? response:	Don't answer the phone.
context: I'm back.\Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too-\No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone. response:	It'd be hard for me to explain the situation.
context: Oh, where did you go?\I borrowed this from your drawers.\You should take a bath too-\No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation. response:	Okay, I understand.
context: I borrowed this from your drawers.\You should take a bath too-\No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand. response:	I knew it's impossible to live together.
context: You should take a bath too-\No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together. response:	Hello?
context: No! Change out of that!\Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together.\Hello? response:	Jin, it's me.
context: Refreshing!\I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together.\Hello?\Jin, it's me. response:	Hello!
context: I'm going to take a bath, so keep still and watch TV, okay?\Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together.\Hello?\Jin, it's me.\Hello! response:	Oh, Jin. What's wrong?
context: Don't answer the phone.\It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together.\Hello?\Jin, it's me.\Hello!\Oh, Jin. What's wrong? response:	Tsugumi! What do you mean, what's wrong?
context: It'd be hard for me to explain the situation.\Okay, I understand.\I knew it's impossible to live together.\Hello?\Jin, it's me.\Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong? response:	You were absent from school today, weren't you?
context: Okay, I understand.\I knew it's impossible to live together.\Hello?\Jin, it's me.\Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you? response:	Today's the deadline for the district exhibition.
context: I knew it's impossible to live together.\Hello?\Jin, it's me.\Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition. response:	You caught a cold?
context: Hello?\Jin, it's me.\Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold? response:	No, that's not it.
context: Jin, it's me.\Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it. response:	I'll explain it to you next time. Okay?
context: Hello!\Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay? response:	Something seems wrong. Are you feeling unwell?
context: Oh, Jin. What's wrong?\Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell? response:	I'm all right!
context: Tsugumi! What do you mean, what's wrong?\You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right! response:	Face the other way!
context: You were absent from school today, weren't you?\Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way! response:	Is someone else there?
context: Today's the deadline for the district exhibition.\You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way!\Is someone else there? response:	No, I'm alone! Don't worry about me. Anyway, later!
context: You caught a cold?\No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later! response:	I'm worried.
context: No, that's not it.\I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried. response:	I told you not to answer the phone, didn't I?
context: I'll explain it to you next time. Okay?\Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I? response:	Aha, so that's the phone!
context: Something seems wrong. Are you feeling unwell?\I'm all right!\Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone! response:	I thought this is the phone.
context: I'm all right!\Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone. response:	No, that's also a phone. Anyway, you can't use this!
context: Face the other way!\Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this! response:	Jin. You'll catch a cold.
context: Is someone else there?\No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold. response:	Please sleep here. I'll sleep in the living room.
context: No, I'm alone! Don't worry about me. Anyway, later!\I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room. response:	But this is your room.
context: I'm worried.\I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room. response:	This room has a lock, so it's safe.
context: I told you not to answer the phone, didn't I?\Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe. response:	Also, don't touch the things in this room, okay?
context: Aha, so that's the phone!\I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay? response:	Okay.
context: I thought this is the phone.\No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay. response:	Well then.
context: No, that's also a phone. Anyway, you can't use this!\Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay.\Well then. response:	Good night.
context: Jin. You'll catch a cold.\Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay.\Well then.\Good night. response:	Good night, Jin.
context: Please sleep here. I'll sleep in the living room.\But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay.\Well then.\Good night.\Good night, Jin. response:	Good night.
context: But this is your room.\This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay.\Well then.\Good night.\Good night, Jin.\Good night. response:	I'm worn out.
context: This room has a lock, so it's safe.\Also, don't touch the things in this room, okay?\Okay.\Well then.\Good night.\Good night, Jin.\Good night.\I'm worn out. response:	So even gods...
context: Also, don't touch the things in this room, okay?\Okay.\Well then.\Good night.\Good night, Jin.\Good night.\I'm worn out.\So even gods... response:	Watch the next episode of Kannagi too!
