context: Wrong! That ain't even close! response:	What are you talking about?! I played it exactly right!
context: Kaoru-san, you're a funny guy!\She laughed...\Why do I feel so happy when this girl smiles?\Oh... I feel like I could do anything for that smile...\Hey, you two look like you're havin' fun. Let me join in!\Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?! response:	Why are you swimmin' away?!
context: She laughed...\Why do I feel so happy when this girl smiles?\Oh... I feel like I could do anything for that smile...\Hey, you two look like you're havin' fun. Let me join in!\Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?! response:	Oh, I only wish that we could keep going...
context: Why do I feel so happy when this girl smiles?\Oh... I feel like I could do anything for that smile...\Hey, you two look like you're havin' fun. Let me join in!\Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going... response:	That I could take you away from here...
context: Oh... I feel like I could do anything for that smile...\Hey, you two look like you're havin' fun. Let me join in!\Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here... response:	Let's trade places.
context: Hey, you two look like you're havin' fun. Let me join in!\Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places. response:	I'll take over the rowing.
context: Forget it! Ri-chan, let's get away!\Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places.\I'll take over the rowing. response:	It's pretty hard, y'know. And on top of that...
context: Kaoru-san, wait for me!\Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that... response:	Just let me do it!
context: Hey, what gives?!\Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it! response:	Dammit...
context: Why are you swimmin' away?!\Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit... response:	Wanna switch, Richie?
context: Oh, I only wish that we could keep going...\That I could take you away from here...\Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit...\Wanna switch, Richie? response:	No, it's not about strength, but how you do it!
context: That I could take you away from here...\Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it! response:	And I think I'm getting the hang of it!
context: Let's trade places.\I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it! response:	Not that I'm complainin'...
context: I'll take over the rowing.\It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'... response:	Cool. You took us to a completely different beach.
context: It's pretty hard, y'know. And on top of that...\Just let me do it!\Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach. response:	It's fine.
context: Just let me do it!\Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine. response:	The sun is already setting anyway,
context: Dammit...\Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway, response:	so if we tell the boat rental guy what happened, he'll come by and pick it up.
context: Wanna switch, Richie?\No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up. response:	Come on, girl, have a little fun with us.
context: No, it's not about strength, but how you do it!\And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us. response:	Don't be so stuck-up.
context: And I think I'm getting the hang of it!\Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up. response:	No! Leave me alone!
context: Not that I'm complainin'...\Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone! response:	We ain't gonna hurt ya!
context: Cool. You took us to a completely different beach.\It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya! response:	Let go of me!
context: It's fine.\The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya!\Let go of me! response:	We got a car, so let us take you for a ride!
context: The sun is already setting anyway,\so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride! response:	Come on!
context: so if we tell the boat rental guy what happened, he'll come by and pick it up.\Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride!\Come on! response:	Hey. The lady ain't willin'.
context: Come on, girl, have a little fun with us.\Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'. response:	So how about gettin' your mitts off her?
context: Don't be so stuck-up.\No! Leave me alone!\We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her? response:	What's that?! Who the hell are you?
context: No! Leave me alone!\We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you? response:	Actin' so tough... What, are you tryin' to be a hero?!
context: We ain't gonna hurt ya!\Let go of me!\We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?! response:	Hey, this dude is Kawabuchi from East High!
context: Let go of me!\We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High! response:	East High... You're...
context: We got a car, so let us take you for a ride!\Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're... response:	Kawabuchi?!
context: Come on!\Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're...\Kawabuchi?! response:	Th-This time, I'll let you off the hook.
context: Hey. The lady ain't willin'.\So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're...\Kawabuchi?!\Th-This time, I'll let you off the hook. response:	You saved me.
context: So how about gettin' your mitts off her?\What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're...\Kawabuchi?!\Th-This time, I'll let you off the hook.\You saved me. response:	Thank you.
context: What's that?! Who the hell are you?\Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're...\Kawabuchi?!\Th-This time, I'll let you off the hook.\You saved me.\Thank you. response:	It happened in an instant.
context: Actin' so tough... What, are you tryin' to be a hero?!\Hey, this dude is Kawabuchi from East High!\East High... You're...\Kawabuchi?!\Th-This time, I'll let you off the hook.\You saved me.\Thank you.\It happened in an instant. response:	I didn't realize what had just taken place...
