context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: Their addition consists of adding powerful strengths together.\We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that. response:	Because they can absolutely get a point that way.
context: We use speed, the differences in positions,\and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way. response:	Sorry!
context: and time as techniques to get through blocks.\Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way.\Sorry! response:	They'll come out hitting without thinking twice about our guard,
context: Shiratorizawa also uses the difference in time,\but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard, response:	with power we've never experienced before.
context: but when their receives are a bit off,\or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before. response:	You'd better be prepared!
context: or in cases where they want to score, no matter what,\they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared! response:	He managed to hit that all the way up here?
context: they set really high to their wing spikers, especially Ushijima.\There is only one reason for that.\Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here? response:	He hits so high!
context: There is only one reason for that.\Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here?\He hits so high! response:	They're simply destroying everything
context: Because they can absolutely get a point that way.\Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything response:	with their one ultimate spear.
context: Sorry!\They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything\with their one ultimate spear. response:	That's the kind of team Shiratorizawa is.
context: They'll come out hitting without thinking twice about our guard,\with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is. response:	Though Ushiwaka is their best,
context: with power we've never experienced before.\You'd better be prepared!\He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best, response:	it's not like the rest of that team is ordinary, either.
context: You'd better be prepared!\He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either. response:	Here!
context: He managed to hit that all the way up here?\He hits so high!\They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here! response:	They look like they're hitting it so lightly,
context: He hits so high!\They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly, response:	but it looks like it would break my arms off if I tried to touch it.
context: They're simply destroying everything\with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it. response:	Fire it up, Wakatoshi!
context: with their one ultimate spear.\That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi! response:	Ushiwaka's amazing...
context: That's the kind of team Shiratorizawa is.\Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing... response:	Fire it up, Wakatoshi!
context: Though Ushiwaka is their best,\it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi! response:	I'm excited!
context: it's not like the rest of that team is ordinary, either.\Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited! response:	Yeah.
context: Here!\They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited!\Yeah. response:	Fire it up, Eita!
context: They look like they're hitting it so lightly,\but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited!\Yeah.\Fire it up, Eita! response:	Yeah!
context: but it looks like it would break my arms off if I tried to touch it.\Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited!\Yeah.\Fire it up, Eita!\Yeah! response:	Thanks!
context: Fire it up, Wakatoshi!\Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited!\Yeah.\Fire it up, Eita!\Yeah!\Thanks! response:	Fire it up, Wakatoshi!
context: Ushiwaka's amazing...\Fire it up, Wakatoshi!\I'm excited!\Yeah.\Fire it up, Eita!\Yeah!\Thanks!\Fire it up, Wakatoshi! response:	He's Benkei...
context: Fire it up, Wakatoshi!\I'm excited!\Yeah.\Fire it up, Eita!\Yeah!\Thanks!\Fire it up, Wakatoshi!\He's Benkei... response:	That guy's totally Benkei.
context: I'm excited!\Yeah.\Fire it up, Eita!\Yeah!\Thanks!\Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei. response:	Fire it up, Wakatoshi!
context: Yeah.\Fire it up, Eita!\Yeah!\Thanks!\Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi! response:	Leon-san.
context: Fire it up, Eita!\Yeah!\Thanks!\Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san. response:	What's up?
context: Yeah!\Thanks!\Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san.\What's up? response:	Leon?!
context: Thanks!\Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san.\What's up?\Leon?! response:	That little kid totally gave Leon-kun the nickname Benkei.
context: Fire it up, Wakatoshi!\He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san.\What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei. response:	Sorry to shatter your dreams.
context: He's Benkei...\That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san.\What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams. response:	So that's one of the guys from Karasuno's first-year quick combo.
context: That guy's totally Benkei.\Fire it up, Wakatoshi!\Leon-san.\What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo. response:	Oh, it was?
context: Fire it up, Wakatoshi!\Leon-san.\What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was? response:	Bring it!
context: Leon-san.\What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it! response:	Look! There's a tiny kid!
context: What's up?\Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it!\Look! There's a tiny kid! response:	I wonder if he's a sub.
context: Leon?!\That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it!\Look! There's a tiny kid!\I wonder if he's a sub. response:	Nice kill!
context: That little kid totally gave Leon-kun the nickname Benkei.\Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it!\Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill! response:	I sort of feel bad for him.
context: Sorry to shatter your dreams.\So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it!\Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill!\I sort of feel bad for him. response:	I always feel like I want to cheer for the underdog.
context: So that's one of the guys from Karasuno's first-year quick combo.\Oh, it was?\Bring it!\Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog. response:	Nice kill!
context: Oh, it was?\Bring it!\Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill! response:	Hey, you two. Do that thing you did yesterday!
context: Bring it!\Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday! response:	But I can say the following with confidence...
context: Look! There's a tiny kid!\I wonder if he's a sub.\Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence... response:	We definitely won't lose when it comes to scoring points!
context: I wonder if he's a sub.\Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points! response:	First...
context: Nice kill!\I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First... response:	Conquer this fight.
context: I sort of feel bad for him.\I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First...\Conquer this fight. response:	That shrimp shot straight down!
context: I always feel like I want to cheer for the underdog.\Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First...\Conquer this fight.\That shrimp shot straight down! response:	More importantly, he's fast!
context: Nice kill!\Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First...\Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast! response:	Did the setter even touch it?
context: Hey, you two. Do that thing you did yesterday!\But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First...\Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it? response:	I was surprised that Seijoh didn't make it this time,
context: But I can say the following with confidence...\We definitely won't lose when it comes to scoring points!\First...\Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time, response:	but Karasuno's pretty fun.
context: We definitely won't lose when it comes to scoring points!\First...\Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun. response:	Yeah.
context: First...\Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah. response:	It doesn't matter who we're up against. We'll shut them down!
context: Conquer this fight.\That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down! response:	Talk big when you can actually back it up.
context: That shrimp shot straight down!\More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up. response:	Now, now, now...
context: More importantly, he's fast!\Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now... response:	I see that your bangs and your words are as cool as ever, Tsutomu.
context: Did the setter even touch it?\I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu. response:	Thanks!
context: I was surprised that Seijoh didn't make it this time,\but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks! response:	And I think you babying him is exactly the problem.
context: but Karasuno's pretty fun.\Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem. response:	Harsh! You're so harsh, Taichi!
context: Yeah.\It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi! response:	I'm just counting on him.
context: It doesn't matter who we're up against. We'll shut them down!\Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him. response:	I mean, he's a first-year and a regular
context: Talk big when you can actually back it up.\Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular response:	and the one who's going to become the ace.
context: Now, now, now...\I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace. response:	I'll do my best to not let you down!
context: I see that your bangs and your words are as cool as ever, Tsutomu.\Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down! response:	Right. Do your best, future ace.
context: Thanks!\And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace. response:	His head will get even more inflated, so please stop.
context: And I think you babying him is exactly the problem.\Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop. response:	First, receives.
context: Harsh! You're so harsh, Taichi!\I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives. response:	We're counting on you yet again, Wakatoshi-kun.
context: I'm just counting on him.\I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun. response:	You need to work harder.
context: I mean, he's a first-year and a regular\and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder. response:	Don't just rely on Wakatoshi.
context: and the one who's going to become the ace.\I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi. response:	What are you, his right arm? Are you Benkei?
context: I'll do my best to not let you down!\Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei? response:	Ushijima-san!
context: Right. Do your best, future ace.\His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san! response:	I'll prove that I'm the one who should be called the ace
context: His head will get even more inflated, so please stop.\First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace response:	in these finals.
context: First, receives.\We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals. response:	Yeah. Do your best.
context: We're counting on you yet again, Wakatoshi-kun.\You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best. response:	He's actually honestly saying that, so he's sort of a jerk.
context: You need to work harder.\Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk. response:	Their starting lineup is just as we thought.
context: Don't just rely on Wakatoshi.\What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought. response:	Did you memorize their characteristics?
context: What are you, his right arm? Are you Benkei?\Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics? response:	Yes!
context: Ushijima-san!\I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes! response:	We're not going to let Ushijima decide how this goes!
context: I'll prove that I'm the one who should be called the ace\in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes! response:	If they score, switch gears and get the ball back! That's all you need to do!
context: in these finals.\Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do! response:	They aren't machines over there.
context: Yeah. Do your best.\He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there. response:	They'll mess up sometimes.
context: He's actually honestly saying that, so he's sort of a jerk.\Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes. response:	You know what you need to do, right?
context: Their starting lineup is just as we thought.\Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right? response:	Yes!
context: Did you memorize their characteristics?\Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right?\Yes! response:	All right, everyone. This is the finals.
context: Yes!\We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right?\Yes!\All right, everyone. This is the finals. response:	Since we got this far, let's win and go to nationals!
context: We're not going to let Ushijima decide how this goes!\If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right?\Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals! response:	Yeah!
context: If they score, switch gears and get the ball back! That's all you need to do!\They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right?\Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah! response:	Japanese National High School Volleyball Tournament
context: They aren't machines over there.\They'll mess up sometimes.\You know what you need to do, right?\Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament response:	We will now begin the Japanese National High School Volleyball Tournament,
context: They'll mess up sometimes.\You know what you need to do, right?\Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament, response:	Miyagi Prefecture Qualifiers, Boys' Finals.
context: You know what you need to do, right?\Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals. response:	Miyagi Prefectural Karasuno High School
context: Yes!\All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School response:	versus Shiratorizawa Academy.
context: All right, everyone. This is the finals.\Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy. response:	It's finally starting...
context: Since we got this far, let's win and go to nationals!\Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting... response:	Ah, Sho-chan. He's really standing on this stage.
context: Yeah!\Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage. response:	Yeah, but really, are his opponents actually high school students?!
context: Japanese National High School Volleyball Tournament\We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?! response:	Wow, there're tons of TV crews here.
context: We will now begin the Japanese National High School Volleyball Tournament,\Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here. response:	We will now introduce the Karasuno High School starting lineup.
context: Miyagi Prefecture Qualifiers, Boys' Finals.\Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup. response:	1, Sawamura Daichi.
context: Miyagi Prefectural Karasuno High School\versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi. response:	3, Azumane Asahi.
context: versus Shiratorizawa Academy.\It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi. response:	5, Tanaka Ryunosuke.
context: It's finally starting...\Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke. response:	Ryu!
context: Ah, Sho-chan. He's really standing on this stage.\Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu! response:	Yeah!
context: Yeah, but really, are his opponents actually high school students?!\Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu!\Yeah! response:	9, Kageyama Tobio.
context: Wow, there're tons of TV crews here.\We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu!\Yeah!\9, Kageyama Tobio. response:	10, Hinata Shoyo.
context: We will now introduce the Karasuno High School starting lineup.\1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu!\Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo. response:	11, Tsukishima Kei.
context: 1, Sawamura Daichi.\3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu!\Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei. response:	Kei!
context: 3, Azumane Asahi.\5, Tanaka Ryunosuke.\Ryu!\Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei.\Kei! response:	Hey, stop!
context: 5, Tanaka Ryunosuke.\Ryu!\Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei.\Kei!\Hey, stop! response:	4, Libero, Nishinoya Yu.
context: Ryu!\Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei.\Kei!\Hey, stop!\4, Libero, Nishinoya Yu. response:	Yeah!
context: Yeah!\9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei.\Kei!\Hey, stop!\4, Libero, Nishinoya Yu.\Yeah! response:	Coach, Takeda Ittetsu.
context: 9, Kageyama Tobio.\10, Hinata Shoyo.\11, Tsukishima Kei.\Kei!\Hey, stop!\4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu. response:	Next, we will introduce
context: 10, Hinata Shoyo.\11, Tsukishima Kei.\Kei!\Hey, stop!\4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce response:	the Shiratorizawa Academy starting lineup.
context: 11, Tsukishima Kei.\Kei!\Hey, stop!\4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup. response:	1, Ushijima Wakatoshi.
context: Kei!\Hey, stop!\4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi. response:	Ushijima-kun!
