context: The Master Plan just came in from Army Command. response:	In the six months following the opening of hostilities, ARUS will focus on defense,
context: You said you were going to stay on top until graduation, remember?\It's not like he's your friend...\But...\Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now!\All right!\Others too! response:	Thank you, Haruto!
context: It's not like he's your friend...\But...\Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now!\All right!\Others too!\Thank you, Haruto! response:	Not so funny now, is it?!
context: But...\Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now!\All right!\Others too!\Thank you, Haruto!\Not so funny now, is it?! response:	Let's hear it for Haruto!
context: Forget about these students!\Hurry up and get us out of here!\Please put down your weapons! Now!\All right!\Others too!\Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto! response:	We ended up getting saved by Haruto again, huh?
context: Hurry up and get us out of here!\Please put down your weapons! Now!\All right!\Others too!\Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh? response:	Don't worry.
context: Please put down your weapons! Now!\All right!\Others too!\Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry. response:	Unlike you, he won't tell you to pay him for it.
context: All right!\Others too!\Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it. response:	I'd never take money from friends.
context: Others too!\Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends. response:	This means we're safe now, right?
context: Thank you, Haruto!\Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right? response:	No, you're not.
context: Not so funny now, is it?!\Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right?\No, you're not. response:	The situation is no different from before.
context: Let's hear it for Haruto!\We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right?\No, you're not.\The situation is no different from before. response:	He's...!
context: We ended up getting saved by Haruto again, huh?\Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right?\No, you're not.\The situation is no different from before.\He's...! response:	This Module is already surrounded by Dorssia.
context: Don't worry.\Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right?\No, you're not.\The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia. response:	I don't believe it!
context: Unlike you, he won't tell you to pay him for it.\I'd never take money from friends.\This means we're safe now, right?\No, you're not.\The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia.\I don't believe it! response:	How would a second-year know that?
context: I'd never take money from friends.\This means we're safe now, right?\No, you're not.\The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that? response:	If the gravity generator malfunction was a lie, what were those tremors afterwards?
context: This means we're safe now, right?\No, you're not.\The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards? response:	Come to think of it...
context: No, you're not.\The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it... response:	If it was a ship running aground, there should have only been one tremor.
context: The situation is no different from before.\He's...!\This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor. response:	You're saying it was an enemy attack?
context: He's...!\This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack? response:	Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...
context: This Module is already surrounded by Dorssia.\I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning... response:	Hostage?
context: I don't believe it!\How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage? response:	No...
context: How would a second-year know that?\If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No... response:	But Dorssia might do it.
context: If the gravity generator malfunction was a lie, what were those tremors afterwards?\Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No...\But Dorssia might do it. response:	What do you expect us to do about it?!
context: Come to think of it...\If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No...\But Dorssia might do it.\What do you expect us to do about it?! response:	Let's surrender! It's not too late!
context: If it was a ship running aground, there should have only been one tremor.\You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No...\But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late! response:	Mom...
context: You're saying it was an enemy attack?\Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No...\But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom... response:	His sign...
context: Except for this Module, all of JIOR has been occupied by Dorssia. Meaning...\Hostage?\No...\But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom...\His sign... response:	You're telling me to make that pact with you?
context: Hostage?\No...\But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom...\His sign...\You're telling me to make that pact with you? response:	Haruto Tokishima you will choose me.
context: No...\But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom...\His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me. response:	I'm going to end up doing exactly as he says again...
context: But Dorssia might do it.\What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom...\His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again... response:	Haruto!
context: What do you expect us to do about it?!\Let's surrender! It's not too late!\Mom...\His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto! response:	Shoko?
context: Let's surrender! It's not too late!\Mom...\His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto!\Shoko? response:	We're surrounded by Dorssia...
context: Mom...\His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto!\Shoko?\We're surrounded by Dorssia... response:	And we can't trust ARUS.
context: His sign...\You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto!\Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS. response:	What should we do?
context: You're telling me to make that pact with you?\Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto!\Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do? response:	L-Let's surrender. We did all we could.
context: Haruto Tokishima you will choose me.\I'm going to end up doing exactly as he says again...\Haruto!\Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could. response:	I don't want to die!
context: I'm going to end up doing exactly as he says again...\Haruto!\Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could.\I don't want to die! response:	Is surrendering all we can do?
context: Haruto!\Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do? response:	We can't fight against Dorssia!
context: Shoko?\We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia! response:	It'll be okay!
context: We're surrounded by Dorssia...\And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay! response:	We won't let Dorssia lay one finger on our families!
context: And we can't trust ARUS.\What should we do?\L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families! response:	How do you suggest we do that?!
context: What should we do?\L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?! response:	They have hostages! If they threaten us with them
context: L-Let's surrender. We did all we could.\I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them response:	Exactly! We threaten them back!
context: I don't want to die!\Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back! response:	What?
context: Is surrendering all we can do?\We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back!\What? response:	We tell them that if they hurt our families, we'll hand this robot over to ARUS!
context: We can't fight against Dorssia!\It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS! response:	They won't fall for blackmail like
context: It'll be okay!\We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like response:	That robot is the key that will change the outcome of the war...
context: We won't let Dorssia lay one finger on our families!\How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war... response:	Um...
context: How do you suggest we do that?!\They have hostages! If they threaten us with them\Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um... response:	Use a robot as a hostage?
context: They have hostages! If they threaten us with them\Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage? response:	That will work!
context: Exactly! We threaten them back!\What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage?\That will work! response:	It'll work!
context: What?\We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage?\That will work!\It'll work! response:	Great idea!
context: We tell them that if they hurt our families, we'll hand this robot over to ARUS!\They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage?\That will work!\It'll work!\Great idea! response:	I never would have thought of that!
context: They won't fall for blackmail like\That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage?\That will work!\It'll work!\Great idea!\I never would have thought of that! response:	Mr. ARUS Senator!
context: That robot is the key that will change the outcome of the war...\Um...\Use a robot as a hostage?\That will work!\It'll work!\Great idea!\I never would have thought of that!\Mr. ARUS Senator! response:	We can't give you the robot.
context: Um...\Use a robot as a hostage?\That will work!\It'll work!\Great idea!\I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot. response:	Nevertheless, keep fighting alongside us, just like before!
context: Use a robot as a hostage?\That will work!\It'll work!\Great idea!\I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before! response:	Are you kidding me?! As if we would let you manipulate us like that!
context: That will work!\It'll work!\Great idea!\I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that! response:	In that case, we'll just hand this robot over to Dorssia!
context: It'll work!\Great idea!\I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia! response:	What?!
context: Great idea!\I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?! response:	I look forward to our two countries continuing as before in their amicable relationship!
context: I never would have thought of that!\Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship! response:	Um... That means...
context: Mr. ARUS Senator!\We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means... response:	It means that neither Dorssia nor ARUS can lay a hand on us.
context: We can't give you the robot.\Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us. response:	Our families are safe, too!
context: Nevertheless, keep fighting alongside us, just like before!\Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too! response:	And ARUS will stay our ally!
context: Are you kidding me?! As if we would let you manipulate us like that!\In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally! response:	That was awesome, Shoko!
context: In that case, we'll just hand this robot over to Dorssia!\What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko! response:	Nice idea!
context: What?!\I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea! response:	We're saved!
context: I look forward to our two countries continuing as before in their amicable relationship!\Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea!\We're saved! response:	Shoko, you're...
context: Um... That means...\It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea!\We're saved!\Shoko, you're... response:	The path ahead is clear! Waffe squadron, charge!
context: It means that neither Dorssia nor ARUS can lay a hand on us.\Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea!\We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge! response:	Valvrave, why aren't you showing yourself?
context: Our families are safe, too!\And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea!\We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself? response:	Don't be in such a rush, Highness.
context: And ARUS will stay our ally!\That was awesome, Shoko!\Nice idea!\We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness. response:	Lieutenant! It's Lieutenant now.
context: That was awesome, Shoko!\Nice idea!\We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now. response:	You saw it on the net, right? It wasn't L-elf piloting it.
context: Nice idea!\We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it. response:	We haven't seen that weapon before!
context: We're saved!\Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before! response:	Be careful!
context: Shoko, you're...\The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful! response:	After him!
context: The path ahead is clear! Waffe squadron, charge!\Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful!\After him! response:	What the...?
context: Valvrave, why aren't you showing yourself?\Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful!\After him!\What the...? response:	They're damaging their own Module?
context: Don't be in such a rush, Highness.\Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful!\After him!\What the...?\They're damaging their own Module? response:	Captain!
context: Lieutenant! It's Lieutenant now.\You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful!\After him!\What the...?\They're damaging their own Module?\Captain! response:	Everybody! Let's stop depending on others!
context: You saw it on the net, right? It wasn't L-elf piloting it.\We haven't seen that weapon before!\Be careful!\After him!\What the...?\They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others! response:	Instead of using anything else as a crutch, let's stand on our own two feet!
context: We haven't seen that weapon before!\Be careful!\After him!\What the...?\They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet! response:	We're declaring independence!
context: Be careful!\After him!\What the...?\They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence! response:	Make no mistake! Your enemies are back here!
context: After him!\What the...?\They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here! response:	As of right now, we're independent!
context: What the...?\They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent! response:	Our school is an independent country, an equal of both Dorssia and ARUS!
context: They're damaging their own Module?\Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS! response:	Preposterous! You can't have a country with nothing but children!
context: Captain!\Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children! response:	Can we form a country?
context: Everybody! Let's stop depending on others!\Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country? response:	Seriously?
context: Instead of using anything else as a crutch, let's stand on our own two feet!\We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously? response:	Sounds like fun!
context: We're declaring independence!\Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously?\Sounds like fun! response:	Very well, let's now take a vote.
context: Make no mistake! Your enemies are back here!\As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously?\Sounds like fun!\Very well, let's now take a vote. response:	Those in favor of independence, please raise your hands.
context: As of right now, we're independent!\Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously?\Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands. response:	For it!
context: Our school is an independent country, an equal of both Dorssia and ARUS!\Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously?\Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it! response:	Me too!
context: Preposterous! You can't have a country with nothing but children!\Can we form a country?\Seriously?\Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it!\Me too! response:	Count me in on your crazy idea!
context: Can we form a country?\Seriously?\Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it!\Me too!\Count me in on your crazy idea! response:	No, we ought to carefully consider this.
context: Seriously?\Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it!\Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this. response:	Do we have another option?
context: Sounds like fun!\Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it!\Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option? response:	The Module's separating?
context: Very well, let's now take a vote.\Those in favor of independence, please raise your hands.\For it!\Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option?\The Module's separating? response:	Yeah, independence!
context: Those in favor of independence, please raise your hands.\For it!\Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option?\The Module's separating?\Yeah, independence! response:	Our own country!
context: For it!\Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option?\The Module's separating?\Yeah, independence!\Our own country! response:	I'm for Shoko's idea!
context: Me too!\Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option?\The Module's separating?\Yeah, independence!\Our own country!\I'm for Shoko's idea! response:	Independence! Independence!
context: Count me in on your crazy idea!\No, we ought to carefully consider this.\Do we have another option?\The Module's separating?\Yeah, independence!\Our own country!\I'm for Shoko's idea!\Independence! Independence! response:	Who in the world is that woman?
context: No, we ought to carefully consider this.\Do we have another option?\The Module's separating?\Yeah, independence!\Our own country!\I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman? response:	Shoko Sashinami!
context: Do we have another option?\The Module's separating?\Yeah, independence!\Our own country!\I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman?\Shoko Sashinami! response:	The daughter of JIOR's prime minister!
context: The Module's separating?\Yeah, independence!\Our own country!\I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister! response:	Independence! Independence!
context: Yeah, independence!\Our own country!\I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister!\Independence! Independence! response:	What's this strange sensation?
context: Our own country!\I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister!\Independence! Independence!\What's this strange sensation? response:	Independence! Independence!
context: I'm for Shoko's idea!\Independence! Independence!\Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister!\Independence! Independence!\What's this strange sensation?\Independence! Independence! response:	I haven't laughed in a long, long time.
context: Independence! Independence!\Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister!\Independence! Independence!\What's this strange sensation?\Independence! Independence!\I haven't laughed in a long, long time. response:	Next time, episode 5, Singing Sakimori Academy.
context: Who in the world is that woman?\Shoko Sashinami!\The daughter of JIOR's prime minister!\Independence! Independence!\What's this strange sensation?\Independence! Independence!\I haven't laughed in a long, long time.\Next time, episode 5, Singing Sakimori Academy. response:	Valvrave... The system that will expose the truth of the world.
