context: FOUR YEARS AGO response:	PORT OF STIMMER, LEIDENSCHAFTLICH
context: The expressions used were too straight.\wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them,\right?!\What would you like?\Water or hot water is enough for rehydrating. response:	Two cups of flower tea.
context: wanted to date him.\But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them,\right?!\What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea. response:	Thank you.
context: But if I accepted his request too soon,\he would think that I'm too easy!\Women want men to chase them,\right?!\What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you. response:	It might have been too soon to give you such a hard job.
context: he would think that I'm too easy!\Women want men to chase them,\right?!\What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job. response:	-I'm incapable of understanding. -Huh?
context: Women want men to chase them,\right?!\What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh? response:	I wrote the letter incorporating her requests as much as I could.
context: right?!\What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could. response:	Words can have different interpretations.
context: What would you like?\Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations. response:	What one says isn't the whole truth.
context: Water or hot water is enough for rehydrating.\Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth. response:	It's a human weakness.
context: Two cups of flower tea.\Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness. response:	They test others to confirm their own existence.
context: Thank you.\It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence. response:	It's a contradiction.
context: It might have been too soon to give you such a hard job.\-I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence.\It's a contradiction. response:	I'm going to apologize to him in person.
context: -I'm incapable of understanding. -Huh?\I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person. response:	Major.
context: I wrote the letter incorporating her requests as much as I could.\Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person.\Major. response:	Major!
context: Words can have different interpretations.\What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person.\Major.\Major! response:	Major Gilbert!
context: What one says isn't the whole truth.\It's a human weakness.\They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person.\Major.\Major!\Major Gilbert! response:	Here we go.
context: It's a human weakness.\They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person.\Major.\Major!\Major Gilbert!\Here we go. response:	Hey!
context: They test others to confirm their own existence.\It's a contradiction.\I'm going to apologize to him in person.\Major.\Major!\Major Gilbert!\Here we go.\Hey! response:	What's wrong? Are you alone?
context: It's a contradiction.\I'm going to apologize to him in person.\Major.\Major!\Major Gilbert!\Here we go.\Hey!\What's wrong? Are you alone? response:	You look sad. Are you eating well?
context: I'm going to apologize to him in person.\Major.\Major!\Major Gilbert!\Here we go.\Hey!\What's wrong? Are you alone?\You look sad. Are you eating well? response:	I've replenished my nutrients.
context: Major.\Major!\Major Gilbert!\Here we go.\Hey!\What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients. response:	Then did you make a mistake at work?
context: Major!\Major Gilbert!\Here we go.\Hey!\What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work? response:	Come back to the delivery department.
context: Major Gilbert!\Here we go.\Hey!\What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department. response:	Doing deliveries is no good.
context: Here we go.\Hey!\What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good. response:	Forget about working as a Doll.
context: Hey!\What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll. response:	Isn't it better to find another job?
context: What's wrong? Are you alone?\You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job? response:	I should look for a job, too. Hodgins said
context: You look sad. Are you eating well?\I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said response:	he's not getting paid this month.
context: I've replenished my nutrients.\Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month. response:	Seems like our company isn't doing well.
context: Then did you make a mistake at work?\Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well. response:	Can I ask you a question?
context: Come back to the delivery department.\Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question? response:	Am I suited to become an Auto Memory Doll?
context: Doing deliveries is no good.\Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll? response:	I was also...
context: Forget about working as a Doll.\Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also... response:	I'm not asking about you.
context: Isn't it better to find another job?\I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you. response:	You're not suited for it.
context: I should look for a job, too. Hodgins said\he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you.\You're not suited for it. response:	Why do you want to do this job in the first place?
context: he's not getting paid this month.\Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place? response:	I want to know what I love you means.
context: Seems like our company isn't doing well.\Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means. response:	Is that all?
context: Can I ask you a question?\Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all? response:	That's all.
context: Am I suited to become an Auto Memory Doll?\I was also...\I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all?\That's all. response:	I understand that those words express a particular emotion.
context: I was also...\I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all?\That's all.\I understand that those words express a particular emotion. response:	Why did the major say those words to me?
context: I'm not asking about you.\You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all?\That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me? response:	I want to know why.
context: You're not suited for it.\Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all?\That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why. response:	I still want to continue with this job,
context: Why do you want to do this job in the first place?\I want to know what I love you means.\Is that all?\That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why.\I still want to continue with this job, response:	even if I'm not suited for it.
context: I want to know what I love you means.\Is that all?\That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why.\I still want to continue with this job,\even if I'm not suited for it. response:	There's a towel in the locker room.
context: Is that all?\That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why.\I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room. response:	In any case,
context: That's all.\I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why.\I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room.\In any case, response:	I think working as a Doll is too hard for Violet.
context: I understand that those words express a particular emotion.\Why did the major say those words to me?\I want to know why.\I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet. response:	This company is still new, but we get so many requests for Cattleya.
context: Why did the major say those words to me?\I want to know why.\I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya. response:	But if we get a bad reputation because of this...
context: I want to know why.\I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this... response:	Just when things are about to take off.
context: I still want to continue with this job,\even if I'm not suited for it.\There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off. response:	-It's better to have Violet quit. -No, give her a little more time.
context: even if I'm not suited for it.\There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time. response:	Um...
context: There's a towel in the locker room.\In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um... response:	Erica!
context: In any case,\I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um...\Erica! response:	And Violet, too.
context: I think working as a Doll is too hard for Violet.\This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um...\Erica!\And Violet, too. response:	What's the matter?
context: This company is still new, but we get so many requests for Cattleya.\But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um...\Erica!\And Violet, too.\What's the matter? response:	I don't...
context: But if we get a bad reputation because of this...\Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um...\Erica!\And Violet, too.\What's the matter?\I don't... response:	I don't think we should make her quit!
context: Just when things are about to take off.\-It's better to have Violet quit. -No, give her a little more time.\Um...\Erica!\And Violet, too.\What's the matter?\I don't...\I don't think we should make her quit! response:	She... Violet...
context: -It's better to have Violet quit. -No, give her a little more time.\Um...\Erica!\And Violet, too.\What's the matter?\I don't...\I don't think we should make her quit!\She... Violet... response:	is very accurate and fast when she types,
context: Um...\Erica!\And Violet, too.\What's the matter?\I don't...\I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types, response:	and she can do tasks like making membership lists and writing addresses.
context: Erica!\And Violet, too.\What's the matter?\I don't...\I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses. response:	Once she learns more...
context: And Violet, too.\What's the matter?\I don't...\I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more... response:	I think she'll be able to write letters.
context: What's the matter?\I don't...\I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters. response:	Please.
context: I don't...\I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters.\Please. response:	Don't make her quit.
context: I don't think we should make her quit!\She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters.\Please.\Don't make her quit. response:	It's a contradiction.
context: She... Violet...\is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters.\Please.\Don't make her quit.\It's a contradiction. response:	You said I'm not suited for this duty.
context: is very accurate and fast when she types,\and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters.\Please.\Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty. response:	It's a contradiction.
context: and she can do tasks like making membership lists and writing addresses.\Once she learns more...\I think she'll be able to write letters.\Please.\Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction. response:	I'm the one who isn't suited to being an Auto Memory Doll.
context: Once she learns more...\I think she'll be able to write letters.\Please.\Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll. response:	That's why I got so serious about defending her.
context: I think she'll be able to write letters.\Please.\Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her. response:	The machine that was a prototype for the typewriter
context: Please.\Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter response:	was originally invented by Dr. Orland, the authority on letterpress printing.
context: Don't make her quit.\It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing. response:	His wife, Mollie, was a novelist,
context: It's a contradiction.\You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist, response:	but she became blind and couldn't write anymore.
context: You said I'm not suited for this duty.\It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore. response:	He created the typewriter for her.
context: It's a contradiction.\I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her. response:	The doctor called it the Auto Memory Doll.
context: I'm the one who isn't suited to being an Auto Memory Doll.\That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll. response:	That term now refers to the industry of writing for others.
context: That's why I got so serious about defending her.\The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others. response:	Meeting her made me remember my dream, which I had almost forgotten.
context: The machine that was a prototype for the typewriter\was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten. response:	My feelings, which were buried away.
context: was originally invented by Dr. Orland, the authority on letterpress printing.\His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away. response:	Just like how my heart was moved by the novels written by Orland's wife.
context: His wife, Mollie, was a novelist,\but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife. response:	-I'm going to close up shop. Are you okay? -Uh, yes.
context: but she became blind and couldn't write anymore.\He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes. response:	Someday...
context: He created the typewriter for her.\The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday... response:	I want to write beautiful letters that can move peoples' hearts, too.
context: The doctor called it the Auto Memory Doll.\That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too. response:	I'm done!
context: That term now refers to the industry of writing for others.\Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done! response:	How is this?
context: Meeting her made me remember my dream, which I had almost forgotten.\My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this? response:	Nice. Violet, stand up.
context: My feelings, which were buried away.\Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this?\Nice. Violet, stand up. response:	Yes.
context: Just like how my heart was moved by the novels written by Orland's wife.\-I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this?\Nice. Violet, stand up.\Yes. response:	It looks good on you. I was right after all.
context: -I'm going to close up shop. Are you okay? -Uh, yes.\Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this?\Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all. response:	Oh, and don't forget this.
context: Someday...\I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this?\Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all.\Oh, and don't forget this. response:	Sorry for being late.
context: I want to write beautiful letters that can move peoples' hearts, too.\I'm done!\How is this?\Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late. response:	Open it.
context: I'm done!\How is this?\Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late.\Open it. response:	Opening.
context: How is this?\Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late.\Open it.\Opening. response:	This is it. This is the brooch the major gave me!
context: Nice. Violet, stand up.\Yes.\It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late.\Open it.\Opening.\This is it. This is the brooch the major gave me! response:	It was on the black market.
context: Yes.\It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late.\Open it.\Opening.\This is it. This is the brooch the major gave me!\It was on the black market. response:	Someone must have stolen it from your belongings.
context: It looks good on you. I was right after all.\Oh, and don't forget this.\Sorry for being late.\Open it.\Opening.\This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings. response:	Oh, yeah! Violet,
context: Oh, and don't forget this.\Sorry for being late.\Open it.\Opening.\This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet, response:	do you want to attend a Doll training course?
context: Sorry for being late.\Open it.\Opening.\This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course? response:	They have short-term courses, too. Iris attended one, too.
context: Open it.\Opening.\This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too. response:	The teacher is really strict.
context: Opening.\This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict. response:	I think it'll be good for you.
context: This is it. This is the brooch the major gave me!\It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you. response:	You bought that back.
context: It was on the black market.\Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you.\You bought that back. response:	That's why you didn't get paid this month?
context: Someone must have stolen it from your belongings.\Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month? response:	Thank you for the drink.
context: Oh, yeah! Violet,\do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month?\Thank you for the drink. response:	Hey, who is the major she talks about?
context: do you want to attend a Doll training course?\They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about? response:	Gilbert.
context: They have short-term courses, too. Iris attended one, too.\The teacher is really strict.\I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about?\Gilbert. response:	He's a friend from my Military Academy days.
context: The teacher is really strict.\I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days. response:	He's from the Bougainvillea family.
context: I think it'll be good for you.\You bought that back.\That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family. response:	Oh! That margrave...
context: You bought that back.\That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave... response:	No. Even though he's from a rich family,
context: That's why you didn't get paid this month?\Thank you for the drink.\Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family, response:	he was a man with spirit.
context: Thank you for the drink.\Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family,\he was a man with spirit. response:	Was?
context: Hey, who is the major she talks about?\Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family,\he was a man with spirit.\Was? response:	He's not...
context: Gilbert.\He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family,\he was a man with spirit.\Was?\He's not... response:	NOT COMING BACK
context: He's a friend from my Military Academy days.\He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family,\he was a man with spirit.\Was?\He's not...\NOT COMING BACK response:	coming back anymore.
context: He's from the Bougainvillea family.\Oh! That margrave...\No. Even though he's from a rich family,\he was a man with spirit.\Was?\He's not...\NOT COMING BACK\coming back anymore. response:	Subtitle translation by Hoday Stearns
