context: They're holding a meeting of the Union Lords, so we've been summoned to Jalucia. response:	Over six months since the Great Hall Tragedy, and now there's finally a meeting?
context: while the main unit will advance into Clovis.\Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes? response:	He has resolved to remain with the Alliance.
context: Roger that!\You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance. response:	Well, that's a bold resolution.
context: You'll deal with Lords who declare their intent to remain with the Alliance in battle,\and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution. response:	What are the other Lords up to?
context: and send those who wish to join the Union to the main unit.\This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to? response:	In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,
context: This is shaping up to be an epic stage!\We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes, response:	has barricaded himself in a robust castle.
context: We'll go to the Lords' meeting, bearing Forbes and Clovis as souvenirs!\We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle. response:	Brannis, huh?
context: We have come to align ourselves with the Union.\Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh? response:	I hear they call him the Venomous Snake of Forbes.
context: Where is Jericho Orlick, King of Forbes?\He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes. response:	The free Lord Baron Ladvan has decided to side with the King of Forbes.
context: He has resolved to remain with the Alliance.\Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes. response:	Sir Lassic?
context: Well, that's a bold resolution.\What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic? response:	What is it?
context: What are the other Lords up to?\In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it? response:	I inquire if you would allow Sir Theo to take care of Baron Ladvan.
context: In the northeast, Baron Brannis, a lLrd in service to the King of Forbes,\has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan. response:	Fine by me!
context: has barricaded himself in a robust castle.\Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me! response:	In that case...
context: Brannis, huh?\I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case... response:	I shall seize the castle of this so-called Venomous Snake of Forbes.
context: I hear they call him the Venomous Snake of Forbes.\The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes. response:	Do you wish me to lend you some troops?
context: The free Lord Baron Ladvan has decided to side with the King of Forbes.\Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops? response:	I can manage on my own.
context: Sir Lassic?\What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own. response:	Hand over your Crests to me, and depart this territory without delay.
context: What is it?\I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay. response:	You may take any fortune you can carry.
context: I inquire if you would allow Sir Theo to take care of Baron Ladvan.\Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry. response:	However, you have but three days to withdraw.
context: Fine by me!\In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw. response:	If you remain after that deadline, I cannot guarantee your survival.
context: In that case...\I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival. response:	What the hell...
context: I shall seize the castle of this so-called Venomous Snake of Forbes.\Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell... response:	How impetuous you are!
context: Do you wish me to lend you some troops?\I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are! response:	Can't we discuss this in a more amicable way?
context: I can manage on my own.\Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way? response:	Like over drinks at a banquet, Union-style.
context: Hand over your Crests to me, and depart this territory without delay.\You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style. response:	I assure that my daughters will show you the utmost hospitality.
context: You may take any fortune you can carry.\However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality. response:	Dartania is not a member of the Union. I request your answer.
context: However, you have but three days to withdraw.\If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer. response:	True, if you're not inclined to negotiate, talking would just be a waste of time.
context: If you remain after that deadline, I cannot guarantee your survival.\What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time. response:	What is your intention?
context: What the hell...\How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention? response:	That goes without saying. I will murder you, and take over your Crest.
context: How impetuous you are!\Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest. response:	Lord Brannis!
context: Can't we discuss this in a more amicable way?\Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis! response:	Would treating an emissary this way violate the Lords' code?
context: Like over drinks at a banquet, Union-style.\I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code? response:	You, there... What is your name?
context: I assure that my daughters will show you the utmost hospitality.\Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name? response:	My name is Nikola.
context: Dartania is not a member of the Union. I request your answer.\True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola. response:	Then, Nikola, I want you to witness what is about to transpire.
context: True, if you're not inclined to negotiate, talking would just be a waste of time.\What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire. response:	Nothing significant will occur.
context: What is your intention?\That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur. response:	Nothing but the demise of one misguided Lord, that is!
context: That goes without saying. I will murder you, and take over your Crest.\Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is! response:	I-Impossible!
context: Lord Brannis!\Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible! response:	If you'd just handed over your Crest, you wouldn't need to die.
context: Would treating an emissary this way violate the Lords' code?\You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die. response:	W-Wait
context: You, there... What is your name?\My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait response:	To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.
context: My name is Nikola.\Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you. response:	A-All at once
context: Then, Nikola, I want you to witness what is about to transpire.\Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once response:	When it's just you against a horde,
context: Nothing significant will occur.\Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde, response:	it's easier to fight if they surround you.
context: Nothing but the demise of one misguided Lord, that is!\I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde,\it's easier to fight if they surround you. response:	Since everyone around you is your enemy.
context: I-Impossible!\If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy. response:	U-Unbelievable!
context: If you'd just handed over your Crest, you wouldn't need to die.\W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable! response:	Did you see to the end?
context: W-Wait\To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end? response:	Y-Yes.
context: To kill a venomous snake, all you need to do is stab the mouth it opens to bite you.\A-All at once\When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end?\Y-Yes. response:	Sooner or later, the Sievis forces will arrive to claim this castle.
context: A-All at once\When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle. response:	Be the one to relay how this came to pass.
context: When it's just you against a horde,\it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle.\Be the one to relay how this came to pass. response:	I will gladly do as you say.
context: it's easier to fight if they surround you.\Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle.\Be the one to relay how this came to pass.\I will gladly do as you say. response:	Well, I've sacked this castle all by myself...
context: Since everyone around you is your enemy.\U-Unbelievable!\Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle.\Be the one to relay how this came to pass.\I will gladly do as you say.\Well, I've sacked this castle all by myself... response:	What will you do?
context: U-Unbelievable!\Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle.\Be the one to relay how this came to pass.\I will gladly do as you say.\Well, I've sacked this castle all by myself...\What will you do? response:	MARCHING
context: Did you see to the end?\Y-Yes.\Sooner or later, the Sievis forces will arrive to claim this castle.\Be the one to relay how this came to pass.\I will gladly do as you say.\Well, I've sacked this castle all by myself...\What will you do?\MARCHING response:	EPISODE 7: THE WHITE PRINCE
