context: Alarm response:	My Friend and I
context: It must've been so hard!\No, not at all.\Liar\Can you calm down?\Dad's fine.\Thank g\Oh, Takeo was with you?\Thanks! response:	Hey.
context: No, not at all.\Liar\Can you calm down?\Dad's fine.\Thank g\Oh, Takeo was with you?\Thanks!\Hey. response:	Mom and I can handle the rest.
context: Liar\Can you calm down?\Dad's fine.\Thank g\Oh, Takeo was with you?\Thanks!\Hey.\Mom and I can handle the rest. response:	You guys can go home.
context: Can you calm down?\Dad's fine.\Thank g\Oh, Takeo was with you?\Thanks!\Hey.\Mom and I can handle the rest.\You guys can go home. response:	How's my husband?
context: Dad's fine.\Thank g\Oh, Takeo was with you?\Thanks!\Hey.\Mom and I can handle the rest.\You guys can go home.\How's my husband? response:	The operation worked, didn't it?
context: Thank g\Oh, Takeo was with you?\Thanks!\Hey.\Mom and I can handle the rest.\You guys can go home.\How's my husband?\The operation worked, didn't it? response:	It did, right?!
context: Oh, Takeo was with you?\Thanks!\Hey.\Mom and I can handle the rest.\You guys can go home.\How's my husband?\The operation worked, didn't it?\It did, right?! response:	Please let me see him!
context: Thanks!\Hey.\Mom and I can handle the rest.\You guys can go home.\How's my husband?\The operation worked, didn't it?\It did, right?!\Please let me see him! response:	Hey, Doctor...
context: Hey.\Mom and I can handle the rest.\You guys can go home.\How's my husband?\The operation worked, didn't it?\It did, right?!\Please let me see him!\Hey, Doctor... response:	Where is my father's room?
context: Mom and I can handle the rest.\You guys can go home.\How's my husband?\The operation worked, didn't it?\It did, right?!\Please let me see him!\Hey, Doctor...\Where is my father's room? response:	I believe it's on the second floor...
context: You guys can go home.\How's my husband?\The operation worked, didn't it?\It did, right?!\Please let me see him!\Hey, Doctor...\Where is my father's room?\I believe it's on the second floor... response:	Puke.
context: How's my husband?\The operation worked, didn't it?\It did, right?!\Please let me see him!\Hey, Doctor...\Where is my father's room?\I believe it's on the second floor...\Puke. response:	Let's go home.
context: The operation worked, didn't it?\It did, right?!\Please let me see him!\Hey, Doctor...\Where is my father's room?\I believe it's on the second floor...\Puke.\Let's go home. response:	Yeah.
context: It did, right?!\Please let me see him!\Hey, Doctor...\Where is my father's room?\I believe it's on the second floor...\Puke.\Let's go home.\Yeah. response:	We ask all visitors to please make their way to the lobby.
context: Please let me see him!\Hey, Doctor...\Where is my father's room?\I believe it's on the second floor...\Puke.\Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby. response:	Yamato!
context: Hey, Doctor...\Where is my father's room?\I believe it's on the second floor...\Puke.\Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby.\Yamato! response:	Takeo-kun, Sunakawa-kun...
context: Where is my father's room?\I believe it's on the second floor...\Puke.\Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun... response:	Oh, I didn't have time,
context: I believe it's on the second floor...\Puke.\Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time, response:	so there aren't nearly enough cranes, but...
context: Puke.\Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but... response:	Thanks.
context: Let's go home.\Yeah.\We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks. response:	The surgery was a success, so...
context: Yeah.\We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so... response:	Thanks
context: We ask all visitors to please make their way to the lobby.\Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so...\Thanks response:	Really?
context: Yamato!\Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so...\Thanks\Really? response:	Thank goodness.
context: Takeo-kun, Sunakawa-kun...\Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so...\Thanks\Really?\Thank goodness. response:	I'm glad, Sunakawa-kun!
context: Oh, I didn't have time,\so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so...\Thanks\Really?\Thank goodness.\I'm glad, Sunakawa-kun! response:	I went to the planetarium,
context: so there aren't nearly enough cranes, but...\Thanks.\The surgery was a success, so...\Thanks\Really?\Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium, response:	but I couldn't stop thinking about you guys, so I came here.
context: Thanks.\The surgery was a success, so...\Thanks\Really?\Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here. response:	I'm sorry about today, Yamato.
context: The surgery was a success, so...\Thanks\Really?\Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato. response:	Don't be.
context: Thanks\Really?\Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be. response:	Looking at this schedule,
context: Really?\Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be.\Looking at this schedule, response:	I could see that you changed things many times.
context: Thank goodness.\I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be.\Looking at this schedule,\I could see that you changed things many times. response:	I could tell that you spent a lot of time on this.
context: I'm glad, Sunakawa-kun!\I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be.\Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this. response:	That made me so happy...
context: I went to the planetarium,\but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be.\Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy... response:	Thank you.
context: but I couldn't stop thinking about you guys, so I came here.\I'm sorry about today, Yamato.\Don't be.\Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy...\Thank you. response:	Thank you!
context: I'm sorry about today, Yamato.\Don't be.\Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy...\Thank you.\Thank you! response:	Today was my best birthday ever.
context: Don't be.\Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy...\Thank you.\Thank you!\Today was my best birthday ever. response:	Yamato... I love you.
context: Looking at this schedule,\I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy...\Thank you.\Thank you!\Today was my best birthday ever.\Yamato... I love you. response:	I love you so much.
context: I could see that you changed things many times.\I could tell that you spent a lot of time on this.\That made me so happy...\Thank you.\Thank you!\Today was my best birthday ever.\Yamato... I love you.\I love you so much. response:	Thanks, Takeo-kun.
context: I could tell that you spent a lot of time on this.\That made me so happy...\Thank you.\Thank you!\Today was my best birthday ever.\Yamato... I love you.\I love you so much.\Thanks, Takeo-kun. response:	Sorry, but these are happy tears...
context: That made me so happy...\Thank you.\Thank you!\Today was my best birthday ever.\Yamato... I love you.\I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears... response:	This is nice.
context: Thank you.\Thank you!\Today was my best birthday ever.\Yamato... I love you.\I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice. response:	Er, don't get me wrong.
context: Thank you!\Today was my best birthday ever.\Yamato... I love you.\I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong. response:	Do you want a girlfriend?
context: Today was my best birthday ever.\Yamato... I love you.\I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong.\Do you want a girlfriend? response:	No.
context: Yamato... I love you.\I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong.\Do you want a girlfriend?\No. response:	Sunakawa-kun, I could introduce you to someone from my school!
context: I love you so much.\Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong.\Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school! response:	No, please don't do anything.
context: Thanks, Takeo-kun.\Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong.\Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything. response:	You know, someone you've been friends with for a long time
context: Sorry, but these are happy tears...\This is nice.\Er, don't get me wrong.\Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time response:	is the kind of person you'd get along with best.
context: This is nice.\Er, don't get me wrong.\Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best. response:	I see!
context: Er, don't get me wrong.\Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see! response:	Bingo!!
context: Do you want a girlfriend?\No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see!\Bingo!! response:	I think you'd like a girl like Takeo-kun.
context: No.\Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see!\Bingo!!\I think you'd like a girl like Takeo-kun. response:	Right!
context: Sunakawa-kun, I could introduce you to someone from my school!\No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see!\Bingo!!\I think you'd like a girl like Takeo-kun.\Right! response:	A girl like me!
context: No, please don't do anything.\You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see!\Bingo!!\I think you'd like a girl like Takeo-kun.\Right!\A girl like me! response:	What kind of girl would that be?
context: You know, someone you've been friends with for a long time\is the kind of person you'd get along with best.\I see!\Bingo!!\I think you'd like a girl like Takeo-kun.\Right!\A girl like me!\What kind of girl would that be? response:	I'll look for a girl like Takeo-kun!
context: is the kind of person you'd get along with best.\I see!\Bingo!!\I think you'd like a girl like Takeo-kun.\Right!\A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun! response:	Suna's a good guy, so I bet she'd like him, too!
context: I see!\Bingo!!\I think you'd like a girl like Takeo-kun.\Right!\A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too! response:	Then we could go on a double dates and stuff!
context: Bingo!!\I think you'd like a girl like Takeo-kun.\Right!\A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff! response:	Oh, that sounds great.
context: I think you'd like a girl like Takeo-kun.\Right!\A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great. response:	Please stop...
context: Right!\A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop... response:	It's great when every day's full of romance, Suna.
context: A girl like me!\What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna. response:	All right, let's go!
context: What kind of girl would that be?\I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna.\All right, let's go! response:	Go where?
context: I'll look for a girl like Takeo-kun!\Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna.\All right, let's go!\Go where? response:	To the butt-pine!
context: Suna's a good guy, so I bet she'd like him, too!\Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna.\All right, let's go!\Go where?\To the butt-pine! response:	Wow.
context: Then we could go on a double dates and stuff!\Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna.\All right, let's go!\Go where?\To the butt-pine!\Wow. response:	Yeah.
context: Oh, that sounds great.\Please stop...\It's great when every day's full of romance, Suna.\All right, let's go!\Go where?\To the butt-pine!\Wow.\Yeah. response:	You should have brought Yamato-san here, too.
context: Please stop...\It's great when every day's full of romance, Suna.\All right, let's go!\Go where?\To the butt-pine!\Wow.\Yeah.\You should have brought Yamato-san here, too. response:	You're right.
context: It's great when every day's full of romance, Suna.\All right, let's go!\Go where?\To the butt-pine!\Wow.\Yeah.\You should have brought Yamato-san here, too.\You're right. response:	I'd like to show this to her someday.
context: All right, let's go!\Go where?\To the butt-pine!\Wow.\Yeah.\You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday. response:	When I was little,
context: Go where?\To the butt-pine!\Wow.\Yeah.\You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday.\When I was little, response:	before we moved here...
context: To the butt-pine!\Wow.\Yeah.\You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday.\When I was little,\before we moved here... response:	I didn't really like sunsets.
context: Wow.\Yeah.\You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday.\When I was little,\before we moved here...\I didn't really like sunsets. response:	Why?
context: Yeah.\You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday.\When I was little,\before we moved here...\I didn't really like sunsets.\Why? response:	They kind of make you feel uneasy.
context: You should have brought Yamato-san here, too.\You're right.\I'd like to show this to her someday.\When I was little,\before we moved here...\I didn't really like sunsets.\Why?\They kind of make you feel uneasy. response:	Yeah...
context: You're right.\I'd like to show this to her someday.\When I was little,\before we moved here...\I didn't really like sunsets.\Why?\They kind of make you feel uneasy.\Yeah... response:	It's right around when you get hungry, too.
context: I'd like to show this to her someday.\When I was little,\before we moved here...\I didn't really like sunsets.\Why?\They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too. response:	Suna! Suna!
context: When I was little,\before we moved here...\I didn't really like sunsets.\Why?\They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too.\Suna! Suna! response:	The sky! Look!
context: before we moved here...\I didn't really like sunsets.\Why?\They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too.\Suna! Suna!\The sky! Look! response:	It looks super yummy...
context: I didn't really like sunsets.\Why?\They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too.\Suna! Suna!\The sky! Look!\It looks super yummy... response:	You can't eat the sky.
context: Why?\They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too.\Suna! Suna!\The sky! Look!\It looks super yummy...\You can't eat the sky. response:	Suna!
context: They kind of make you feel uneasy.\Yeah...\It's right around when you get hungry, too.\Suna! Suna!\The sky! Look!\It looks super yummy...\You can't eat the sky.\Suna! response:	Suna, did you know this?
context: Yeah...\It's right around when you get hungry, too.\Suna! Suna!\The sky! Look!\It looks super yummy...\You can't eat the sky.\Suna!\Suna, did you know this? response:	Once the sun sets behind the mountains, it gets real cold!
context: It's right around when you get hungry, too.\Suna! Suna!\The sky! Look!\It looks super yummy...\You can't eat the sky.\Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold! response:	You're right.
context: Suna! Suna!\The sky! Look!\It looks super yummy...\You can't eat the sky.\Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right. response:	Suna!
context: The sky! Look!\It looks super yummy...\You can't eat the sky.\Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna! response:	Crap, it's night!
context: It looks super yummy...\You can't eat the sky.\Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna!\Crap, it's night! response:	We had to be home by 4:30 because of school rules!
context: You can't eat the sky.\Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules! response:	The sun set, and night was here before I knew it!
context: Suna!\Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it! response:	Suna, crap!
context: Suna, did you know this?\Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap! response:	Crap!
context: Once the sun sets behind the mountains, it gets real cold!\You're right.\Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap!\Crap! response:	I didn't notice...
context: You're right.\Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap!\Crap!\I didn't notice... response:	Well, ever since we moved here, I haven't felt that way.
context: Suna!\Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap!\Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way. response:	It's still cold after the sun sets.
context: Crap, it's night!\We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap!\Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way.\It's still cold after the sun sets. response:	Yeah.
context: We had to be home by 4:30 because of school rules!\The sun set, and night was here before I knew it!\Suna, crap!\Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way.\It's still cold after the sun sets.\Yeah. response:	Let's go home.
context: The sun set, and night was here before I knew it!\Suna, crap!\Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way.\It's still cold after the sun sets.\Yeah.\Let's go home. response:	Yeah.
context: Suna, crap!\Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way.\It's still cold after the sun sets.\Yeah.\Let's go home.\Yeah. response:	My Mountain
context: Crap!\I didn't notice...\Well, ever since we moved here, I haven't felt that way.\It's still cold after the sun sets.\Yeah.\Let's go home.\Yeah.\My Mountain response:	Next time: My Mountain.
