context: Yes! response:	Spellamiso. A perennial plant from the Aoshidare family.
context: Even if you're just a lowly town girl, I didn't want to cause a woman embarrassment,\so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right? response:	Even if it's annoying now,
context: so this is the solution I painstakingly came to.\A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now, response:	it might connect to something good when you least expect it.
context: A-Am I hearing things?\Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it. response:	Hmm...
context: Um, more importantly, what about the antidote?\Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm... response:	For me, now that I know you are so easy on the eyes,
context: Do you think I could get the antidote for my friend, Prince Raj?\Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes, response:	I do not want you to be far from me.
context: Oh, right. If you just nod your head, I will have it delivered, promptly.\Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me. response:	Wh-What...?
context: Or, would you rather I have this delivered instead?\Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...? response:	Oh, my apologies.
context: Red is supposed to be the color of fate, right?\Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...?\Oh, my apologies. response:	Prince Raj. Take me as you wish.
context: Even if it's annoying now,\it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish. response:	Wait, stay back!
context: it might connect to something good when you least expect it.\Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back! response:	Huh?
context: Hmm...\For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back!\Huh? response:	I object!
context: For me, now that I know you are so easy on the eyes,\I do not want you to be far from me.\Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back!\Huh?\I object! response:	Zen!
context: I do not want you to be far from me.\Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back!\Huh?\I object!\Zen! response:	Bastard!
context: Wh-What...?\Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back!\Huh?\I object!\Zen!\Bastard! response:	Will you please stop retching such dirty jokes that sully that girl's ears.
context: Oh, my apologies.\Prince Raj. Take me as you wish.\Wait, stay back!\Huh?\I object!\Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears. response:	Zen!
context: Prince Raj. Take me as you wish.\Wait, stay back!\Huh?\I object!\Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen! response:	Hey, Shirayuki. Tie this for me.
context: Wait, stay back!\Huh?\I object!\Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me. response:	Huh? Wait, before that, what about your body?
context: Huh?\I object!\Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body? response:	I've been building up an immunity to poison slowly in case I ever got poisoned.
context: I object!\Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned. response:	But-
context: Zen!\Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But- response:	I see!
context: Bastard!\Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see! response:	So you are the man who was poisoned!
context: Will you please stop retching such dirty jokes that sully that girl's ears.\Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see!\So you are the man who was poisoned! response:	Oh, that was unfortunate.
context: Zen!\Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see!\So you are the man who was poisoned!\Oh, that was unfortunate. response:	I was planning on making Miss Shirayuki immobile and taking her home with me.
context: Hey, Shirayuki. Tie this for me.\Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see!\So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me. response:	So you're the one who handed over those apples, huh?
context: Huh? Wait, before that, what about your body?\I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see!\So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh? response:	Watch how you speak to me, boy.
context: I've been building up an immunity to poison slowly in case I ever got poisoned.\But-\I see!\So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy. response:	There's a big difference between our social status!
context: But-\I see!\So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status! response:	Excuse me, first prince of Tanbarun, Prince Raj Schenazade.
context: I see!\So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade. response:	Huh?
context: So you are the man who was poisoned!\Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh? response:	Well, this is annoying, but let me introduce myself.
context: Oh, that was unfortunate.\I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself. response:	Hm? That crest is...
context: I was planning on making Miss Shirayuki immobile and taking her home with me.\So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is... response:	Nice to meet you.
context: So you're the one who handed over those apples, huh?\Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you. response:	I am the second prince of the kingdom of Clarines, Zen Wisteria!
context: Watch how you speak to me, boy.\There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria! response:	Second...
context: There's a big difference between our social status!\Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second... response:	P-Prince...
context: Excuse me, first prince of Tanbarun, Prince Raj Schenazade.\Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince... response:	Z-Zen, get a hold of yourself!
context: Huh?\Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince...\Z-Zen, get a hold of yourself! response:	Do you know who I am?
context: Well, this is annoying, but let me introduce myself.\Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am? response:	What's one plus one?!
context: Hm? That crest is...\Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?! response:	I'm serious, Shirayuki.
context: Nice to meet you.\I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki. response:	But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.
context: I am the second prince of the kingdom of Clarines, Zen Wisteria!\Second...\P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj. response:	You... You... You have no proof that I have the poison!
context: Second...\P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison! response:	There's plenty, isn't there?
context: P-Prince...\Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there? response:	We can test that in an official inquiry.
context: Z-Zen, get a hold of yourself!\Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry. response:	Th-That's...
context: Do you know who I am?\What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's... response:	Well then, why don't have a trade, idiot prince.
context: What's one plus one?!\I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince. response:	If you don't want your foolish actions to be made public,
context: I'm serious, Shirayuki.\But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public, response:	then swear you will never approach Shirayuki again or say her name.
context: But I never thought I'd be poisoned by a prince from a neighboring kingdom, Prince Raj.\You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name. response:	How do you know Shirayuki-
context: You... You... You have no proof that I have the poison!\There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki- response:	A-All right! I promise!
context: There's plenty, isn't there?\We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise! response:	I just swore!
context: We can test that in an official inquiry.\Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise!\I just swore! response:	Shirayuki, I'm sure you have a ton of things to say to him.
context: Th-That's...\Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him. response:	Huh?
context: Well then, why don't have a trade, idiot prince.\If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh? response:	If you're going to complain, you should do it now.
context: If you don't want your foolish actions to be made public,\then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now. response:	Let it all out.
context: then swear you will never approach Shirayuki again or say her name.\How do you know Shirayuki-\A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now.\Let it all out. response:	Okay.
context: How do you know Shirayuki-\A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now.\Let it all out.\Okay. response:	Prince Raj. This is hoping you get better.
context: A-All right! I promise!\I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now.\Let it all out.\Okay.\Prince Raj. This is hoping you get better. response:	Because it looks like you're so surprised you can't get up.
context: I just swore!\Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now.\Let it all out.\Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up. response:	Also...
context: Shirayuki, I'm sure you have a ton of things to say to him.\Huh?\If you're going to complain, you should do it now.\Let it all out.\Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also... response:	Yes?
context: Huh?\If you're going to complain, you should do it now.\Let it all out.\Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also...\Yes? response:	Okay...
context: If you're going to complain, you should do it now.\Let it all out.\Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also...\Yes?\Okay... response:	Thanks.
context: Let it all out.\Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also...\Yes?\Okay...\Thanks. response:	What is it, Shirayuki?
context: Okay.\Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also...\Yes?\Okay...\Thanks.\What is it, Shirayuki? response:	Thanks for helping me.
context: Prince Raj. This is hoping you get better.\Because it looks like you're so surprised you can't get up.\Also...\Yes?\Okay...\Thanks.\What is it, Shirayuki?\Thanks for helping me. response:	But, I'm sorry.
context: Because it looks like you're so surprised you can't get up.\Also...\Yes?\Okay...\Thanks.\What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry. response:	I only became poison to you.
context: Also...\Yes?\Okay...\Thanks.\What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry.\I only became poison to you. response:	Is that supposed to be funny?
context: Yes?\Okay...\Thanks.\What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry.\I only became poison to you.\Is that supposed to be funny? response:	Because I was poisoned by an apple, and you're red?
context: Okay...\Thanks.\What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry.\I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red? response:	Not really...
context: Thanks.\What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry.\I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really... response:	It's all right. It's not something you need to apologize for, Shirayuki.
context: What is it, Shirayuki?\Thanks for helping me.\But, I'm sorry.\I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki. response:	Zen ate it himself.
context: Thanks for helping me.\But, I'm sorry.\I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself. response:	Zen, Mitsuhide, and I should have been more careful.
context: But, I'm sorry.\I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful. response:	That's all.
context: I only became poison to you.\Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all. response:	Mitsuhide carried on like he would die if Zen died and got all teary-eyed.
context: Is that supposed to be funny?\Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed. response:	Don't tell about that!
context: Because I was poisoned by an apple, and you're red?\Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that! response:	How sad.
context: Not really...\It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad. response:	Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.
context: It's all right. It's not something you need to apologize for, Shirayuki.\Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it. response:	Was that what we were talking about?!
context: Zen ate it himself.\Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?! response:	Shirayuki, do you remember what I said in the forest?
context: Zen, Mitsuhide, and I should have been more careful.\That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest? response:	For me, I hope the fact that we're here together right now is fate.
context: That's all.\Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate. response:	We were in the forest you were heading toward on your journey,
context: Mitsuhide carried on like he would die if Zen died and got all teary-eyed.\Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey, response:	where we met and tried to protect each other.
context: Don't tell about that!\How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other. response:	Whether that's poison that's only found in this place,
context: How sad.\Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place, response:	or connections for the future is something you can decide.
context: Okay, okay. Next time, if I get fruit, I'll have Mitsuhide peel it before I eat it.\Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide. response:	Is that okay for me to decide?
context: Was that what we were talking about?!\Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide? response:	Of course! I'm deciding my own fate.
context: Shirayuki, do you remember what I said in the forest?\For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate. response:	After you decide, it's up to you whether or not you follow that path, right?
context: For me, I hope the fact that we're here together right now is fate.\We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right? response:	Zen, you-
context: We were in the forest you were heading toward on your journey,\where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you- response:	What?
context: where we met and tried to protect each other.\Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What? response:	You really do have an amazing way of thinking.
context: Whether that's poison that's only found in this place,\or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What?\You really do have an amazing way of thinking. response:	But it's not how I think, it's how I live.
context: or connections for the future is something you can decide.\Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live. response:	What's your answer?
context: Is that okay for me to decide?\Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer? response:	It's literally my own story.
context: Of course! I'm deciding my own fate.\After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer?\It's literally my own story. response:	If I had my wish,
context: After you decide, it's up to you whether or not you follow that path, right?\Zen, you-\What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer?\It's literally my own story.\If I had my wish, response:	on the path in front of us after this encounter,
context: Zen, you-\What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer?\It's literally my own story.\If I had my wish,\on the path in front of us after this encounter, response:	the sound of pages turning in this story
context: What?\You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer?\It's literally my own story.\If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story response:	will echo like the sound of footsteps one on top of the other.
context: You really do have an amazing way of thinking.\But it's not how I think, it's how I live.\What's your answer?\It's literally my own story.\If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other. response:	I could finally see you, Shirayuki.
context: But it's not how I think, it's how I live.\What's your answer?\It's literally my own story.\If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki. response:	Clarines is a nice place.
context: What's your answer?\It's literally my own story.\If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki.\Clarines is a nice place. response:	Sorry to make you wait.
context: It's literally my own story.\If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki.\Clarines is a nice place.\Sorry to make you wait. response:	What? Shirayuki's not here?
context: If I had my wish,\on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki.\Clarines is a nice place.\Sorry to make you wait.\What? Shirayuki's not here? response:	The reason I decided to come to this country...
context: on the path in front of us after this encounter,\the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki.\Clarines is a nice place.\Sorry to make you wait.\What? Shirayuki's not here?\The reason I decided to come to this country... response:	Episode 2: Following the Sound of Your Heart
context: the sound of pages turning in this story\will echo like the sound of footsteps one on top of the other.\I could finally see you, Shirayuki.\Clarines is a nice place.\Sorry to make you wait.\What? Shirayuki's not here?\The reason I decided to come to this country...\Episode 2: Following the Sound of Your Heart response:	Did you decide to stop running, Red?
