context: Distant Thunder (Part 2) response:	Isn't that a downer?
context: Masayuki was not only an administrator, but was made the adjunct\to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets response:	he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.
context: to the fourth Tokugawa shogun, Ietsuna.\As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak. response:	When a plan to rebuild the tower of the burnt down Edo Castle came up,
context: As the center of the shogunate administration, he set forth a number of policies.\Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up, response:	he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!
context: Tamagawa Water Supply\In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures! response:	How decisive! How manly! He's the pride of Aizu!
context: In order to provide the residents of Edo with drinking water,\he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu! response:	And do you know the pension system? It's said Masayuki devised that, too.
context: he created the Tamagawa water supply river works.\To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too. response:	To prepare for a famine, he laid down a law
context: To prevent neighboring dwellings from burning in a fire,\Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law response:	stating that rice be stored in granaries as well as distributed for free to elderly people
context: Ueno Main Streets\he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people response:	aged 90 or older, whatever their social status.
context: he widened streets from six to ten ken, and established main streets in Ueno as a firebreak.\When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status. response:	It's said that our pension system today is based on that.
context: When a plan to rebuild the tower of the burnt down Edo Castle came up,\he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that. response:	Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence
context: he rejected it. Peace reigns in the land, so it's unnecessary. No need to waste expenditures!\How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence response:	that even now supports the sincere hearts of Fukushima Prefecture citizens today!
context: How decisive! How manly! He's the pride of Aizu!\And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today! response:	Do you get it, young'un?
context: And do you know the pension system? It's said Masayuki devised that, too.\To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un? response:	Now let's leap forward 250 years, to the Boshin War...
context: To prepare for a famine, he laid down a law\stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War... response:	Y-You're continuing?
context: stating that rice be stored in granaries as well as distributed for free to elderly people\aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing? response:	But before that, I'll have another Soul of Aizu!
context: aged 90 or older, whatever their social status.\It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu! response:	Delicious!
context: It's said that our pension system today is based on that.\Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious! response:	So what was I saying?
context: Masayuki, who stressed welfare of the people, had a spirit flowing with genuine benevolence\that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying? response:	Oh, right. My grandson's name is Kousuke,
context: that even now supports the sincere hearts of Fukushima Prefecture citizens today!\Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke, response:	and boy is he a handful...
context: Do you get it, young'un?\Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful... response:	Wait a second!
context: Now let's leap forward 250 years, to the Boshin War...\Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second! response:	Zu-bang
context: Y-You're continuing?\But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second!\Zu-bang response:	What happened to the Boshin War?
context: But before that, I'll have another Soul of Aizu!\Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second!\Zu-bang\What happened to the Boshin War? response:	Still a child, so not accustomed to the behaviors of a drunk
context: Delicious!\So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second!\Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk response:	What happened to the talk about the souls of people from Fukushima?
context: So what was I saying?\Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second!\Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima? response:	Eel Miyanogawa
context: Oh, right. My grandson's name is Kousuke,\and boy is he a handful...\Wait a second!\Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa response:	Thank you.
context: and boy is he a handful...\Wait a second!\Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you. response:	That Legendary Thing (souvenir)
context: Wait a second!\Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir) response:	All right, let's go to the next place!
context: Zu-bang\What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place! response:	Wobble Wobble
context: What happened to the Boshin War?\Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble response:	He's a drunk.
context: Still a child, so not accustomed to the behaviors of a drunk\What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble\He's a drunk. response:	He's the exact image of a drunk.
context: What happened to the talk about the souls of people from Fukushima?\Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble\He's a drunk.\He's the exact image of a drunk. response:	Did you just say another place?
context: Eel Miyanogawa\Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble\He's a drunk.\He's the exact image of a drunk.\Did you just say another place? response:	But I'm going home! Besides, I'm out of money!
context: Thank you.\That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble\He's a drunk.\He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money! response:	Idiot! What kind of winner says I'm going home first?
context: That Legendary Thing (souvenir)\All right, let's go to the next place!\Wobble Wobble\He's a drunk.\He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first? response:	I'll pay for the next one. I know just the place!
context: All right, let's go to the next place!\Wobble Wobble\He's a drunk.\He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place! response:	Stagger
context: Wobble Wobble\He's a drunk.\He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger response:	Limp
context: He's a drunk.\He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger\Limp response:	Crack!
context: He's the exact image of a drunk.\Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger\Limp\Crack! response:	Careful!
context: Did you just say another place?\But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger\Limp\Crack!\Careful! response:	Please watch where you walk!
context: But I'm going home! Besides, I'm out of money!\Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger\Limp\Crack!\Careful!\Please watch where you walk! response:	Sorry, sorry.
context: Idiot! What kind of winner says I'm going home first?\I'll pay for the next one. I know just the place!\Stagger\Limp\Crack!\Careful!\Please watch where you walk!\Sorry, sorry. response:	Seems the booze goes straight to my legs these days.
context: I'll pay for the next one. I know just the place!\Stagger\Limp\Crack!\Careful!\Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days. response:	His arm is so thin...
context: Stagger\Limp\Crack!\Careful!\Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin... response:	The arm of a man who's grasped nothing but shogi pieces for 40 years.
context: Limp\Crack!\Careful!\Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years. response:	I hear Mr. Matsunaga will finally retire.
context: Crack!\Careful!\Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire. response:	I had a feeling I couldn't win.
context: Careful!\Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win. response:	I had a feeling I wouldn't be able to win at all.
context: Please watch where you walk!\Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all. response:	All I thought about on the way to the hall was How can I look cool losing?
context: Sorry, sorry.\Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing? response:	You probably didn't know me, but I know a lot about you.
context: Seems the booze goes straight to my legs these days.\His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you. response:	After all, you're the fifth middle school student who became a professional.
context: His arm is so thin...\The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional. response:	I've held fast to the shogi board for 40 years without any records to show for it,
context: The arm of a man who's grasped nothing but shogi pieces for 40 years.\I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it, response:	so to me, your existence was something bright and frustrating.
context: I hear Mr. Matsunaga will finally retire.\I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating. response:	I could only think of you as the Grim Reaper,
context: I had a feeling I couldn't win.\I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper, response:	come to close the curtain on my life as a shogi player.
context: I had a feeling I wouldn't be able to win at all.\All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player. response:	I was frightened of you, and then disgusted with myself for feeling that way.
context: All I thought about on the way to the hall was How can I look cool losing?\You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way. response:	But then, the instant I saw you sitting up straight in the match room,
context: You probably didn't know me, but I know a lot about you.\After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room, response:	I had a thought.
context: After all, you're the fifth middle school student who became a professional.\I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought. response:	Such a young, beautiful Grim Reaper.
context: I've held fast to the shogi board for 40 years without any records to show for it,\so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper. response:	If you would.
context: so to me, your existence was something bright and frustrating.\I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper.\If you would. response:	If someone was going to close the curtain, I couldn't ask for anyone better.
context: I could only think of you as the Grim Reaper,\come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better. response:	I thought I would at least fight fair and square once more before fading away.
context: come to close the curtain on my life as a shogi player.\I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away. response:	And yet... Even so...
context: I was frightened of you, and then disgusted with myself for feeling that way.\But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so... response:	I don't want to die!
context: But then, the instant I saw you sitting up straight in the match room,\I had a thought.\Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die! response:	Here I was at the end of my long career, muddying my legacy, struggling pathetically,
context: I had a thought.\Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically, response:	and one thought welled up from within.
context: Such a young, beautiful Grim Reaper.\If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within. response:	I don't want to lose.
context: If you would.\If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose. response:	Even still, I don't want to lose.
context: If someone was going to close the curtain, I couldn't ask for anyone better.\I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose. response:	That was my crazed line of thought.
context: I thought I would at least fight fair and square once more before fading away.\And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought. response:	Mr. Matsunaga...
context: And yet... Even so...\I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga... response:	Do you like shogi?
context: I don't want to die!\Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi? response:	I don't know.
context: Here I was at the end of my long career, muddying my legacy, struggling pathetically,\and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi?\I don't know. response:	How the hell would I know?
context: and one thought welled up from within.\I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi?\I don't know.\How the hell would I know? response:	When I win, I'd be so happy, that I'd want to shout with joy.
context: I don't want to lose.\Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi?\I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy. response:	When I lose, it's agonizing, like somebody trampled my innards with muddy boots.
context: Even still, I don't want to lose.\That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi?\I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots. response:	I'd feel tormented, from everyone saying that I don't deserve to be alive.
context: That was my crazed line of thought.\Mr. Matsunaga...\Do you like shogi?\I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive. response:	And yet...
context: Mr. Matsunaga...\Do you like shogi?\I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet... response:	And yet, I couldn't quit.
context: Do you like shogi?\I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit. response:	This feeling...
context: I don't know.\How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit.\This feeling... response:	How can I even express it in words?!
context: How the hell would I know?\When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit.\This feeling...\How can I even express it in words?! response:	Hello?
context: When I win, I'd be so happy, that I'd want to shout with joy.\When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit.\This feeling...\How can I even express it in words?!\Hello? response:	Rei? Where are you?
context: When I lose, it's agonizing, like somebody trampled my innards with muddy boots.\I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit.\This feeling...\How can I even express it in words?!\Hello?\Rei? Where are you? response:	I figured you'd be depressed, so I thought I could cheer you up.
context: I'd feel tormented, from everyone saying that I don't deserve to be alive.\And yet...\And yet, I couldn't quit.\This feeling...\How can I even express it in words?!\Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up. response:	I heard. You won today, right? It can't be helped. It's a match, after all.
context: And yet...\And yet, I couldn't quit.\This feeling...\How can I even express it in words?!\Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all. response:	It's not your fault.
context: And yet, I couldn't quit.\This feeling...\How can I even express it in words?!\Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault. response:	So...
context: This feeling...\How can I even express it in words?!\Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So... response:	Mr. Matsunaga isn't going to quit.
context: How can I even express it in words?!\Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So...\Mr. Matsunaga isn't going to quit. response:	He's going to keep playing shogi.
context: Hello?\Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi. response:	What? What does that mean?
context: Rei? Where are you?\I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean? response:	Rei. Rei?
context: I figured you'd be depressed, so I thought I could cheer you up.\I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean?\Rei. Rei? response:	Well, let's go.
context: I heard. You won today, right? It can't be helped. It's a match, after all.\It's not your fault.\So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean?\Rei. Rei?\Well, let's go. response:	Right.
context: It's not your fault.\So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean?\Rei. Rei?\Well, let's go.\Right. response:	Stand up. Come on.
context: So...\Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean?\Rei. Rei?\Well, let's go.\Right.\Stand up. Come on. response:	Yeah.
context: Mr. Matsunaga isn't going to quit.\He's going to keep playing shogi.\What? What does that mean?\Rei. Rei?\Well, let's go.\Right.\Stand up. Come on.\Yeah. response:	Hey. Would you help me convince my wife and daughter?
context: He's going to keep playing shogi.\What? What does that mean?\Rei. Rei?\Well, let's go.\Right.\Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter? response:	That I've decided not to retire after all.
context: What? What does that mean?\Rei. Rei?\Well, let's go.\Right.\Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all. response:	They must be worried about you.
context: Rei. Rei?\Well, let's go.\Right.\Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you. response:	Shogi players do need physical strength.
context: Well, let's go.\Right.\Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength. response:	I don't want to quit. If I do quit...
context: Right.\Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit... response:	Sigh
