context: The VVV Project? response:	Given their stated position of peace through neutrality, JIOR can't possess a big military.
context: You think?\She didn't look all that different to me.\Well, she was just\Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her! response:	Don't be late!
context: She didn't look all that different to me.\Well, she was just\Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her!\Don't be late! response:	Got it!
context: Well, she was just\Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her!\Don't be late!\Got it! response:	Shoko!
context: Haruto.\Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her!\Don't be late!\Got it!\Shoko! response:	So does this mean that Prime Minister Sashinami has been killed?
context: Can I trust you to look out for Shoko?\I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her!\Don't be late!\Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed? response:	Take a look at the signature on the declaration of unconditional surrender.
context: I'll come right out and ask her what's wrong.\I'll leave her to you, then.\I'll go look for her!\Don't be late!\Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender. response:	It says Acting Prime Minister Yamamoto, see?
context: I'll leave her to you, then.\I'll go look for her!\Don't be late!\Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see? response:	It's possible that he fled, but in all likelihood...
context: I'll go look for her!\Don't be late!\Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood... response:	Shoko... What was that just now?
context: Don't be late!\Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now? response:	He's alive. He's alive, I know it.
context: Got it!\Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it. response:	Why do we have to pick a new prime minister?
context: Shoko!\So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister? response:	Don't bury my dad in the past... Don't assume he's dead.
context: So does this mean that Prime Minister Sashinami has been killed?\Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead. response:	Shoko... How long have you known?
context: Take a look at the signature on the declaration of unconditional surrender.\It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known? response:	No way... Since way back then?
context: It says Acting Prime Minister Yamamoto, see?\It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then? response:	But that would mean this whole time,
context: It's possible that he fled, but in all likelihood...\Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time, response:	she's been carrying this all alone.
context: Shoko... What was that just now?\He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone. response:	May my dad be safe.
context: He's alive. He's alive, I know it.\Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe. response:	I'm such an idiot!
context: Why do we have to pick a new prime minister?\Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe.\I'm such an idiot! response:	Why didn't I see it?
context: Don't bury my dad in the past... Don't assume he's dead.\Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe.\I'm such an idiot!\Why didn't I see it? response:	All this time, Shoko's been fighting by herself! Fighting all alone!
context: Shoko... How long have you known?\No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe.\I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone! response:	Just you wait, Shoko.
context: No way... Since way back then?\But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe.\I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko. response:	I'll bring your father back with me.
context: But that would mean this whole time,\she's been carrying this all alone.\May my dad be safe.\I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me. response:	Don't worry.
context: she's been carrying this all alone.\May my dad be safe.\I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me.\Don't worry. response:	Even if I'm not around, Miss Rukino is here. L-elf, too.
context: May my dad be safe.\I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too. response:	Haruto, wait!
context: I'm such an idiot!\Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait! response:	It's crazy! You can't do it alone!
context: Why didn't I see it?\All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone! response:	I know it's crazy, but I'm going anyway.
context: All this time, Shoko's been fighting by herself! Fighting all alone!\Just you wait, Shoko.\I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway. response:	You don't know what you're saying!
context: Just you wait, Shoko.\I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying! response:	If you did, you wouldn't go!
context: I'll bring your father back with me.\Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go! response:	No, I'm going.
context: Don't worry.\Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going. response:	He's not your father, Haruto, he's mine!
context: Even if I'm not around, Miss Rukino is here. L-elf, too.\Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine! response:	It's none of your concern!
context: Haruto, wait!\It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern! response:	Of course it is! Because you're crying!
context: It's crazy! You can't do it alone!\I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying! response:	Someone who's precious to me is crying!
context: I know it's crazy, but I'm going anyway.\You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying! response:	If this isn't a time to do something crazy, what is?
context: You don't know what you're saying!\If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is? response:	Someone precious... to you?
context: If you did, you wouldn't go!\No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you? response:	Oh, um, I just meant...
context: No, I'm going.\He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant... response:	Basically, I'm ready to go that far for you.
context: He's not your father, Haruto, he's mine!\It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you. response:	I mean, we've known each other forever...
context: It's none of your concern!\Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever... response:	Um...
context: Of course it is! Because you're crying!\Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um... response:	Thank you, Haruto.
context: Someone who's precious to me is crying!\If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um...\Thank you, Haruto. response:	I'll run in the election.
context: If this isn't a time to do something crazy, what is?\Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um...\Thank you, Haruto.\I'll run in the election. response:	I want to fight alongside you, too, Haruto.
context: Someone precious... to you?\Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um...\Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto. response:	I want to stand shoulder to shoulder with you, not just be protected all the time.
context: Oh, um, I just meant...\Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um...\Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time. response:	Shoko...
context: Basically, I'm ready to go that far for you.\I mean, we've known each other forever...\Um...\Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko... response:	Besides, if we're going to save anyone, it should be all our families.
context: I mean, we've known each other forever...\Um...\Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families. response:	Yeah.
context: Um...\Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah. response:	It's time.
context: Thank you, Haruto.\I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time. response:	Wait!
context: I'll run in the election.\I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time.\Wait! response:	I'm running in the election, too!
context: I want to fight alongside you, too, Haruto.\I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time.\Wait!\I'm running in the election, too! response:	I figured you'd come.
context: I want to stand shoulder to shoulder with you, not just be protected all the time.\Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time.\Wait!\I'm running in the election, too!\I figured you'd come. response:	What's this?
context: Shoko...\Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time.\Wait!\I'm running in the election, too!\I figured you'd come.\What's this? response:	Your application. I already filled in all the required fields.
context: Besides, if we're going to save anyone, it should be all our families.\Yeah.\It's time.\Wait!\I'm running in the election, too!\I figured you'd come.\What's this?\Your application. I already filled in all the required fields. response:	Thanks, Marie!
context: Yeah.\It's time.\Wait!\I'm running in the election, too!\I figured you'd come.\What's this?\Your application. I already filled in all the required fields.\Thanks, Marie! response:	Haruto.
context: It's time.\Wait!\I'm running in the election, too!\I figured you'd come.\What's this?\Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto. response:	I want to straighten this up before heading back.
context: Wait!\I'm running in the election, too!\I figured you'd come.\What's this?\Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto.\I want to straighten this up before heading back. response:	It won't work out, not between a Kamitsuki and a human.
context: I'm running in the election, too!\I figured you'd come.\What's this?\Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human. response:	Maybe you're right.
context: I figured you'd come.\What's this?\Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right. response:	Are you an idiot? A like without getting something back isn't a like that'll last.
context: What's this?\Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last. response:	Even so, I'm going to
context: Your application. I already filled in all the required fields.\Thanks, Marie!\Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to response:	Haruto?
context: Thanks, Marie!\Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto? response:	Are you okay?
context: Haruto.\I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto?\Are you okay? response:	In closing, I pledge to you a better food situation, a steady supply of power,
context: I want to straighten this up before heading back.\It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power, response:	and a stable lifestyle with these Seven R's.
context: It won't work out, not between a Kamitsuki and a human.\Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's. response:	He's as persuasive as ever.
context: Maybe you're right.\Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever. response:	He is the student council president, after all.
context: Are you an idiot? A like without getting something back isn't a like that'll last.\Even so, I'm going to\Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all. response:	He makes you want to vote for him!
context: Even so, I'm going to\Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him! response:	Next is our final candidate. Shoko Sashinami of Year 2 Class B.
context: Haruto?\Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B. response:	Nobody likes it when somebody wins without a fight.
context: Are you okay?\In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight. response:	Oh, she decided to run after all!
context: In closing, I pledge to you a better food situation, a steady supply of power,\and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all! response:	Shoko, you can do it!
context: and a stable lifestyle with these Seven R's.\He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it! response:	Guys! When we get to the Moon,
context: He's as persuasive as ever.\He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon, response:	let's hold the school festival!
context: He is the student council president, after all.\He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival! response:	The school festival?
context: He makes you want to vote for him!\Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival!\The school festival? response:	W-What's she saying?
context: Next is our final candidate. Shoko Sashinami of Year 2 Class B.\Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival!\The school festival?\W-What's she saying? response:	Hold the school festival?!
context: Nobody likes it when somebody wins without a fight.\Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival!\The school festival?\W-What's she saying?\Hold the school festival?! response:	I'd go for it.
context: Oh, she decided to run after all!\Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival!\The school festival?\W-What's she saying?\Hold the school festival?!\I'd go for it. response:	Come on, take this seriously!
context: Shoko, you can do it!\Guys! When we get to the Moon,\let's hold the school festival!\The school festival?\W-What's she saying?\Hold the school festival?!\I'd go for it.\Come on, take this seriously! response:	It was called off because of the war, remember?
context: Guys! When we get to the Moon,\let's hold the school festival!\The school festival?\W-What's she saying?\Hold the school festival?!\I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember? response:	I'm so psyched about it!
context: let's hold the school festival!\The school festival?\W-What's she saying?\Hold the school festival?!\I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it! response:	I mean, last year's was awesome!
context: The school festival?\W-What's she saying?\Hold the school festival?!\I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome! response:	Right, Otamaya?
context: W-What's she saying?\Hold the school festival?!\I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya? response:	Me?
context: Hold the school festival?!\I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya?\Me? response:	You showed me the monster suit for that movie you were making, remember?
context: I'd go for it.\Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember? response:	I've been looking forward to seeing it at the school festival!
context: Come on, take this seriously!\It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival! response:	Yeah, that movie's our pride and joy!
context: It was called off because of the war, remember?\I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy! response:	I thought as much!
context: I'm so psyched about it!\I mean, last year's was awesome!\Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much! response:	Takano-senpai!
context: I mean, last year's was awesome!\Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai! response:	We all swooned over your Romeo last year!
context: Right, Otamaya?\Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai!\We all swooned over your Romeo last year! response:	This year, we're doing The Cherry Orchard!
context: Me?\You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard! response:	But with all the genders reversed!
context: You showed me the monster suit for that movie you were making, remember?\I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed! response:	That I've got to see!
context: I've been looking forward to seeing it at the school festival!\Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see! response:	Shoko!
context: Yeah, that movie's our pride and joy!\I thought as much!\Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see!\Shoko! response:	Come hear our performance, too, okay?
context: I thought as much!\Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see!\Shoko!\Come hear our performance, too, okay? response:	We were able to get our instruments fixed, thanks to you!
context: Takano-senpai!\We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see!\Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you! response:	Will do! I'll see it for sure!
context: We all swooned over your Romeo last year!\This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see!\Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure! response:	Come eat at our booth, too!
context: This year, we're doing The Cherry Orchard!\But with all the genders reversed!\That I've got to see!\Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too! response:	I'm looking forward to your Machida Special!
context: But with all the genders reversed!\That I've got to see!\Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special! response:	Our exhibit's gonna be awesome, too!
context: That I've got to see!\Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too! response:	I want to make ours a coffee shop!
context: Shoko!\Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop! response:	It'll be revenge for last year!
context: Come hear our performance, too, okay?\We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year! response:	The zero-G ballet was amazing!
context: We were able to get our instruments fixed, thanks to you!\Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing! response:	Sashinami, we're fighting a war!
context: Will do! I'll see it for sure!\Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war! response:	We don't have the luxury of throwing a school festival!
context: Come eat at our booth, too!\I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival! response:	That's why we have to.
context: I'm looking forward to your Machida Special!\Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to. response:	He's right, we're in the middle of a war.
context: Our exhibit's gonna be awesome, too!\I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war. response:	There's no telling when we might die.
context: I want to make ours a coffee shop!\It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die. response:	That's exactly why I want to hold the school festival!
context: It'll be revenge for last year!\The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival! response:	This might be the only chance we'll ever get to be students!
context: The zero-G ballet was amazing!\Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival!\This might be the only chance we'll ever get to be students! response:	Club activities, field trips, field days, there's a ton of things that I want to do!
context: Sashinami, we're fighting a war!\We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival!\This might be the only chance we'll ever get to be students!\Club activities, field trips, field days, there's a ton of things that I want to do! response:	I don't want to give up a single one of them!
context: We don't have the luxury of throwing a school festival!\That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival!\This might be the only chance we'll ever get to be students!\Club activities, field trips, field days, there's a ton of things that I want to do!\I don't want to give up a single one of them! response:	What do you say, everyone? Let's be more selfish!
context: That's why we have to.\He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival!\This might be the only chance we'll ever get to be students!\Club activities, field trips, field days, there's a ton of things that I want to do!\I don't want to give up a single one of them!\What do you say, everyone? Let's be more selfish! response:	I know that it'll give us a reason to go on fighting! It'll get us amped up!
context: He's right, we're in the middle of a war.\There's no telling when we might die.\That's exactly why I want to hold the school festival!\This might be the only chance we'll ever get to be students!\Club activities, field trips, field days, there's a ton of things that I want to do!\I don't want to give up a single one of them!\What do you say, everyone? Let's be more selfish!\I know that it'll give us a reason to go on fighting! It'll get us amped up! response:	I have a reason to go on fighting, too!
