context: Hats and Underwear go on your Head!? response:	AM 2:00 - Night Before the Sports Meet
context: My mom got it for me.\How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey-\Pretty lame. response:	Don't you think?
context: How cute!\It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey-\Pretty lame.\Don't you think? response:	I, umm...
context: It's a limited edition, you can't get them anywhere anymore.\OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey-\Pretty lame.\Don't you think?\I, umm... response:	Oh, that's the pencil case I made from my dogi.
context: OOOh...\And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey-\Pretty lame.\Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi. response:	You're still using it!
context: And what exactly is up with YOUR case, Mitsuba?\It's made of gym clothes!\Hey-\Pretty lame.\Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it! response:	Oh yeah.
context: It's made of gym clothes!\Hey-\Pretty lame.\Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah. response:	You made three, didn't you Futaba-chan?
context: Hey-\Pretty lame.\Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan? response:	Give that back!
context: Pretty lame.\Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan?\Give that back! response:	It's no big deal!
context: Don't you think?\I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan?\Give that back!\It's no big deal! response:	I ruined mine a while ago.
context: I, umm...\Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan?\Give that back!\It's no big deal!\I ruined mine a while ago. response:	I threw mine out.
context: Oh, that's the pencil case I made from my dogi.\You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan?\Give that back!\It's no big deal!\I ruined mine a while ago.\I threw mine out. response:	Argh!
context: You're still using it!\Oh yeah.\You made three, didn't you Futaba-chan?\Give that back!\It's no big deal!\I ruined mine a while ago.\I threw mine out.\Argh! response:	Good for you, Eldest!
context: Oh yeah.\You made three, didn't you Futaba-chan?\Give that back!\It's no big deal!\I ruined mine a while ago.\I threw mine out.\Argh!\Good for you, Eldest! response:	You're okay in my book.
context: You made three, didn't you Futaba-chan?\Give that back!\It's no big deal!\I ruined mine a while ago.\I threw mine out.\Argh!\Good for you, Eldest!\You're okay in my book. response:	Yeah, I'd be grateful too.
context: Give that back!\It's no big deal!\I ruined mine a while ago.\I threw mine out.\Argh!\Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too. response:	You can be surprisingly sweet.
context: It's no big deal!\I ruined mine a while ago.\I threw mine out.\Argh!\Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet. response:	I'll throw it out right now!
context: I ruined mine a while ago.\I threw mine out.\Argh!\Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now! response:	Now, now...
context: I threw mine out.\Argh!\Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now!\Now, now... response:	I lost...
context: Argh!\Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now!\Now, now...\I lost... response:	At what?
context: Good for you, Eldest!\You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now!\Now, now...\I lost...\At what? response:	Bah, just because something's expensive doesn't make it better!
context: You're okay in my book.\Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now!\Now, now...\I lost...\At what?\Bah, just because something's expensive doesn't make it better! response:	Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!
context: Yeah, I'd be grateful too.\You can be surprisingly sweet.\I'll throw it out right now!\Now, now...\I lost...\At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts! response:	All right then...
context: You can be surprisingly sweet.\I'll throw it out right now!\Now, now...\I lost...\At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then... response:	I'll tail you
context: I'll throw it out right now!\Now, now...\I lost...\At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you response:	find your weak point
context: Now, now...\I lost...\At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you\find your weak point response:	and embarrass you
context: I lost...\At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you\find your weak point\and embarrass you response:	in front of everyone!
context: At what?\Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you\find your weak point\and embarrass you\in front of everyone! response:	It's a text from my mom.
context: Bah, just because something's expensive doesn't make it better!\Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you\find your weak point\and embarrass you\in front of everyone!\It's a text from my mom. response:	Wow, that's the latest model phone isn't it Sugi-chan?
context: Damn you Mitsuba! You're just a filthy peasant but you drive me nuts!\All right then...\I'll tail you\find your weak point\and embarrass you\in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan? response:	Sure is!
context: All right then...\I'll tail you\find your weak point\and embarrass you\in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is! response:	It's even got video and audio streaming through 1-Seg!
context: I'll tail you\find your weak point\and embarrass you\in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg! response:	And it's got like a 20 megapixel camera, too.
context: find your weak point\and embarrass you\in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too. response:	Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.
context: and embarrass you\in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure. response:	If I'm not supposed to care then don't wave it in my face.
context: in front of everyone!\It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face. response:	Lemme see!
context: It's a text from my mom.\Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see! response:	Hey, you've got lots of pictures of Micchan on here.
context: Wow, that's the latest model phone isn't it Sugi-chan?\Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here. response:	Huh?
context: Sure is!\It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh? response:	What's this all about?
context: It's even got video and audio streaming through 1-Seg!\And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about? response:	I was...looking for your weak-
context: And it's got like a 20 megapixel camera, too.\Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about?\I was...looking for your weak- response:	Sugi-chan must really like you Micchan!
context: Of course, a peasant like Mitsuba-san wouldn't care about that, I'm sure.\If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan! response:	S-Sugi-chan...
context: If I'm not supposed to care then don't wave it in my face.\Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan... response:	N-No! Get real!
context: Lemme see!\Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real! response:	Mitsuba can drop dead for all I care! Die!
context: Hey, you've got lots of pictures of Micchan on here.\Huh?\What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die! response:	At this rate I'M gonna end up being humiliated!
context: Huh?\What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated! response:	There must be something...
context: What's this all about?\I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something... response:	This'll do.
context: I was...looking for your weak-\Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something...\This'll do. response:	So then I says-
context: Sugi-chan must really like you Micchan!\S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something...\This'll do.\So then I says- response:	Move it.
context: S-Sugi-chan...\N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something...\This'll do.\So then I says-\Move it. response:	Shoo, shoo!
context: N-No! Get real!\Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something...\This'll do.\So then I says-\Move it.\Shoo, shoo! response:	Stupid boys...
context: Mitsuba can drop dead for all I care! Die!\At this rate I'M gonna end up being humiliated!\There must be something...\This'll do.\So then I says-\Move it.\Shoo, shoo!\Stupid boys... response:	Still keeping up the holier-than-thou act?
context: At this rate I'M gonna end up being humiliated!\There must be something...\This'll do.\So then I says-\Move it.\Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act? response:	Miss baby bear panties!
context: There must be something...\This'll do.\So then I says-\Move it.\Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties! response:	H-How'd you kn-
context: This'll do.\So then I says-\Move it.\Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn- response:	Aww, they're so cute!
context: So then I says-\Move it.\Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute! response:	Why don't you go back to kindergarten?
context: Move it.\Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten? response:	What do you all think of this shocking truth?
context: Shoo, shoo!\Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth? response:	I win. Mitsuba's position in class will drop to the bottom!
context: Stupid boys...\Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom! response:	I'm finished. All the power and respect I've worked so hard for, gone!
context: Still keeping up the holier-than-thou act?\Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone! response:	That's so old.
context: Miss baby bear panties!\H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old. response:	We all know.
context: H-How'd you kn-\Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know. response:	It's common knowledge.
context: Aww, they're so cute!\Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know.\It's common knowledge. response:	Wh-Why? How can I be so far behind...
context: Why don't you go back to kindergarten?\What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know.\It's common knowledge.\Wh-Why? How can I be so far behind... response:	B-But it's still lame!
context: What do you all think of this shocking truth?\I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know.\It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame! response:	I wear cute, sexy adult panties!
context: I win. Mitsuba's position in class will drop to the bottom!\I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know.\It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties! response:	I win!
context: I'm finished. All the power and respect I've worked so hard for, gone!\That's so old.\We all know.\It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties!\I win! response:	Cute and sexy...
context: That's so old.\We all know.\It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties!\I win!\Cute and sexy... response:	Well, that's news to me.
context: We all know.\It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties!\I win!\Cute and sexy...\Well, that's news to me. response:	But you know what they say, seeing is believing.
context: It's common knowledge.\Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties!\I win!\Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing. response:	O-Oh no!
context: Wh-Why? How can I be so far behind...\B-But it's still lame!\I wear cute, sexy adult panties!\I win!\Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no! response:	You're obviously lying.
context: B-But it's still lame!\I wear cute, sexy adult panties!\I win!\Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying. response:	It's true!
context: I wear cute, sexy adult panties!\I win!\Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying.\It's true! response:	I was winning, I was winning!
context: I win!\Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying.\It's true!\I was winning, I was winning! response:	But I can't prove it...damn it!
context: Cute and sexy...\Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying.\It's true!\I was winning, I was winning!\But I can't prove it...damn it! response:	Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!
context: Well, that's news to me.\But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying.\It's true!\I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear! response:	Hey-
context: But you know what they say, seeing is believing.\O-Oh no!\You're obviously lying.\It's true!\I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey- response:	Well well well...
context: O-Oh no!\You're obviously lying.\It's true!\I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well... response:	Let's see what you've got.
context: You're obviously lying.\It's true!\I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well...\Let's see what you've got. response:	Fine! But I'll only show Mitsuba!
context: It's true!\I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba! response:	I'll only show my panties to Mitsuba!
context: I was winning, I was winning!\But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba! response:	Who wants to look at your big butt granny panties?
context: But I can't prove it...damn it!\Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties? response:	Please...look at them...
context: Hey everyone, Sugisaki says she's gonna show us all her fantastic underwear!\Hey-\Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them... response:	Look at what?
context: Hey-\Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them...\Look at what? response:	My panties...
context: Well well well...\Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them...\Look at what?\My panties... response:	WHY do you want me to see them?
context: Let's see what you've got.\Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them...\Look at what?\My panties...\WHY do you want me to see them? response:	Look...
context: Fine! But I'll only show Mitsuba!\I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them...\Look at what?\My panties...\WHY do you want me to see them?\Look... response:	Say it so everyone can hear you.
context: I'll only show my panties to Mitsuba!\Who wants to look at your big butt granny panties?\Please...look at them...\Look at what?\My panties...\WHY do you want me to see them?\Look...\Say it so everyone can hear you. response:	Please look at my panties!
context: Who wants to look at your big butt granny panties?\Please...look at them...\Look at what?\My panties...\WHY do you want me to see them?\Look...\Say it so everyone can hear you.\Please look at my panties! response:	You pervert!
context: Please...look at them...\Look at what?\My panties...\WHY do you want me to see them?\Look...\Say it so everyone can hear you.\Please look at my panties!\You pervert! response:	Why're they making US do the preview, Sugisaki?
context: Look at what?\My panties...\WHY do you want me to see them?\Look...\Say it so everyone can hear you.\Please look at my panties!\You pervert!\Why're they making US do the preview, Sugisaki? response:	We don't really interact much, huh?
context: My panties...\WHY do you want me to see them?\Look...\Say it so everyone can hear you.\Please look at my panties!\You pervert!\Why're they making US do the preview, Sugisaki?\We don't really interact much, huh? response:	I noticed you're both into panties!
context: WHY do you want me to see them?\Look...\Say it so everyone can hear you.\Please look at my panties!\You pervert!\Why're they making US do the preview, Sugisaki?\We don't really interact much, huh?\I noticed you're both into panties! response:	Shout out your shared love for panties for all the world to hear!
context: Look...\Say it so everyone can hear you.\Please look at my panties!\You pervert!\Why're they making US do the preview, Sugisaki?\We don't really interact much, huh?\I noticed you're both into panties!\Shout out your shared love for panties for all the world to hear! response:	Episode 7 I Can't Help Being in Love!
context: Say it so everyone can hear you.\Please look at my panties!\You pervert!\Why're they making US do the preview, Sugisaki?\We don't really interact much, huh?\I noticed you're both into panties!\Shout out your shared love for panties for all the world to hear!\Episode 7 I Can't Help Being in Love! response:	It's not like that!
