context: Have you lost sight of your pride as a Saiyan, response:	the mightiest warriors in the universe, Kakarrot!?
context: Kuririn is right! Anyone like that is a lowlife!\I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers, response:	but now, after colliding with a giant meteor,
context: I am Son Goku, and I was raised here! Now get out of here right now!\Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor, response:	the planet Vegeta has blown up.
context: Right! Right!\Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up. response:	Just about all of the Saiyans were vaporized into space dust.
context: Like he said! Whatever his past may be,\right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust. response:	Our father and mother included!
context: right now, Son Goku is a fine Earthling, more so than anyone else!\Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included! response:	Including you, there are only four remaining Saiyans.
context: Goku has even saved the world! Get lost! Get lost!\Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans. response:	Me and one of the others were spared
context: Even so, I cannot allow this to be.\The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared response:	because we were off assaulting another planet.
context: The Saiyans have always been a race few in numbers,\but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet. response:	And as for the other one, he was lucky enough to be sent off to another planet,
context: but now, after colliding with a giant meteor,\the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet, response:	just like you were.
context: the planet Vegeta has blown up.\Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were. response:	Earlier, we inadvertently found a nice planet
context: Just about all of the Saiyans were vaporized into space dust.\Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet response:	that we ought to be able to sell for an extremely high price.
context: Our father and mother included!\Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price. response:	We'd like to go attack it,
context: Including you, there are only four remaining Saiyans.\Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it, response:	but it looks like we'd have a hard time of it with just the three of us.
context: Me and one of the others were spared\because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us. response:	That's when I remembered about you, Kakarrot.
context: because we were off assaulting another planet.\And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot. response:	Your battle power is still incomplete,
context: And as for the other one, he was lucky enough to be sent off to another planet,\just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete, response:	but if you were to join up with the three of us, you could still manage.
context: just like you were.\Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage. response:	Stay away!
context: Earlier, we inadvertently found a nice planet\that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away! response:	Open your eyes, Kakarrot!
context: that we ought to be able to sell for an extremely high price.\We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot! response:	It will be fun! Is your Saiyan blood not stirred?
context: We'd like to go attack it,\but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred? response:	I'm scared!
context: but it looks like we'd have a hard time of it with just the three of us.\That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared! response:	Don't be ridiculous!
context: That's when I remembered about you, Kakarrot.\Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous! response:	I'd die before lending my hand to you!
context: Your battle power is still incomplete,\but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you! response:	So that's how it is, huh?
context: but if you were to join up with the three of us, you could still manage.\Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh? response:	For a while now, I've been wondering,
context: Stay away!\Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering, response:	that boy behind you is your son, isn't he?
context: Open your eyes, Kakarrot!\It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he? response:	N- no!
context: It will be fun! Is your Saiyan blood not stirred?\I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no! response:	It's no use trying to fool me!
context: I'm scared!\Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me! response:	That tail is proof that he carries Saiyan blood, isn't it?
context: Don't be ridiculous!\I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it? response:	So... what if he is!?
context: I'd die before lending my hand to you!\So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!? response:	Since you, his father, won't listen to reason,
context: So that's how it is, huh?\For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason, response:	I guess I'll have to borrow your son for a little while.
context: For a while now, I've been wondering,\that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while. response:	Keep back!
context: that boy behind you is your son, isn't he?\N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back! response:	Just try to come any closer!
context: N- no!\It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer! response:	I'll knock you flying!
context: It's no use trying to fool me!\That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer!\I'll knock you flying! response:	Father!
context: That tail is proof that he carries Saiyan blood, isn't it?\So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer!\I'll knock you flying!\Father! response:	-Father! -You mustn't go!
context: So... what if he is!?\Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer!\I'll knock you flying!\Father!\-Father! -You mustn't go! response:	Gohan- kun!
context: Since you, his father, won't listen to reason,\I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer!\I'll knock you flying!\Father!\-Father! -You mustn't go!\Gohan- kun! response:	Whoa, there!
context: I guess I'll have to borrow your son for a little while.\Keep back!\Just try to come any closer!\I'll knock you flying!\Father!\-Father! -You mustn't go!\Gohan- kun!\Whoa, there! response:	Kakarrot, I'll be taking the child. If you want him returned alive,
context: Keep back!\Just try to come any closer!\I'll knock you flying!\Father!\-Father! -You mustn't go!\Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive, response:	you'll listen to what your brother tells you to do!
context: Just try to come any closer!\I'll knock you flying!\Father!\-Father! -You mustn't go!\Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do! response:	D- dammit!
context: I'll knock you flying!\Father!\-Father! -You mustn't go!\Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit! response:	G- Goku went down with only one blow!
context: Father!\-Father! -You mustn't go!\Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow! response:	Kakarrot, I'm giving you only one day, so think about it.
context: -Father! -You mustn't go!\Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it. response:	You'll probably have to get your friends to help, too.
context: Gohan- kun!\Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too. response:	Still, you'll have to show me some proof.
context: Whoa, there!\Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof. response:	Ah, but that's a simple matter. By this time tomorrow,
context: Kakarrot, I'll be taking the child. If you want him returned alive,\you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow, response:	you'll kill a hundred of this planet's humans, at least for now,
context: you'll listen to what your brother tells you to do!\D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now, response:	and pile their bodies up here!
context: D- dammit!\G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here! response:	What!?
context: G- Goku went down with only one blow!\Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!? response:	You heard me, right? I'll be looking forward to tomorrow.
context: Kakarrot, I'm giving you only one day, so think about it.\You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow. response:	He is my brother's son, after all.
context: You'll probably have to get your friends to help, too.\Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all. response:	If possible, I don't want to have to kill him.
context: Still, you'll have to show me some proof.\Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him. response:	Father!
context: Ah, but that's a simple matter. By this time tomorrow,\you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him.\Father! response:	I'm scared!
context: you'll kill a hundred of this planet's humans, at least for now,\and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him.\Father!\I'm scared! response:	G- Gohan!
context: and pile their bodies up here!\What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him.\Father!\I'm scared!\G- Gohan! response:	Exceedingly strong, and exceedingly cold - blooded,
context: What!?\You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him.\Father!\I'm scared!\G- Gohan!\Exceedingly strong, and exceedingly cold - blooded, response:	he's Goku's brother, Raditz!
context: You heard me, right? I'll be looking forward to tomorrow.\He is my brother's son, after all.\If possible, I don't want to have to kill him.\Father!\I'm scared!\G- Gohan!\Exceedingly strong, and exceedingly cold - blooded,\he's Goku's brother, Raditz! response:	Will Goku be able to save his son, Son Gohan?
