context: The Rising of the Shield Hero response:	The Savior of the Heavenly Fowl
context: Mom used to say that a gift was the best way to get your beloved's attention.\She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium, response:	so if I find one of their nests, I'll get my hands on some!
context: She fell in love with Dad after he gave her a gift, too.\If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some! response:	And then, I'll give it to Naofumi-sama...
context: If I can give him some latium...\Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama... response:	W-We mustn't, Naofumi-sama!
context: Hey, have you heard of latium?\Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama! response:	Like I said, if we kiss...
context: Oh, you mean that rare crystal found in this area?\Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss... response:	What's this about Master?
context: Apparently, love charms made with it work really well.\What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master? response:	Huh? That voice...
context: What? Really?\A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master?\Huh? That voice... response:	Filo?
context: A bird called a gagocco collects latium,\so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master?\Huh? That voice...\Filo? response:	Why is she up in the mountains?
context: so if I find one of their nests, I'll get my hands on some!\And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master?\Huh? That voice...\Filo?\Why is she up in the mountains? response:	Is she after the latium, too?
context: And then, I'll give it to Naofumi-sama...\W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master?\Huh? That voice...\Filo?\Why is she up in the mountains?\Is she after the latium, too? response:	You're here for the eggs too, aren't you?
context: W-We mustn't, Naofumi-sama!\Like I said, if we kiss...\What's this about Master?\Huh? That voice...\Filo?\Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you? response:	Huh?
context: Like I said, if we kiss...\What's this about Master?\Huh? That voice...\Filo?\Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh? response:	The old man at the inn told me
context: What's this about Master?\Huh? That voice...\Filo?\Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me response:	that the eggs of a bird called a gagocco are a rare delicacy.
context: Huh? That voice...\Filo?\Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy. response:	Oh, she's just being a glutton like always.
context: Filo?\Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always. response:	She's still such a child.
context: Why is she up in the mountains?\Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child. response:	If I take a rare delicacy to Master,
context: Is she after the latium, too?\You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master, response:	I'm sure he'll pet me and become my mate.
context: You're here for the eggs too, aren't you?\Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate. response:	M-Mate?!
context: Huh?\The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?! response:	Mating means marriage!
context: The old man at the inn told me\that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage! response:	Filo's thinking that far ahead?
context: that the eggs of a bird called a gagocco are a rare delicacy.\Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage!\Filo's thinking that far ahead? response:	So I won't let you have the eggs, Onee-chan.
context: Oh, she's just being a glutton like always.\She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan. response:	Wait up!
context: She's still such a child.\If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up! response:	Eggs, eggs, yummy eggs!
context: If I take a rare delicacy to Master,\I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs! response:	When did this become a race?
context: I'm sure he'll pet me and become my mate.\M-Mate?!\Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs!\When did this become a race? response:	You're so slow, Onee-chan.
context: M-Mate?!\Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan. response:	Watch out, Filo!
context: Mating means marriage!\Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo! response:	Ow...
context: Filo's thinking that far ahead?\So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo!\Ow... response:	Are you okay, Onee-chan?
context: So I won't let you have the eggs, Onee-chan.\Wait up!\Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo!\Ow...\Are you okay, Onee-chan? response:	Yeah. Are you okay?
context: Wait up!\Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo!\Ow...\Are you okay, Onee-chan?\Yeah. Are you okay? response:	Yep. Thanks.
context: Eggs, eggs, yummy eggs!\When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo!\Ow...\Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks. response:	It's good that this thing cushioned our fall.
context: When did this become a race?\You're so slow, Onee-chan.\Watch out, Filo!\Ow...\Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall. response:	What now?!
context: You're so slow, Onee-chan.\Watch out, Filo!\Ow...\Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall.\What now?! response:	Onee-chan, get on me!
context: Watch out, Filo!\Ow...\Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me! response:	That was scary.
context: Ow...\Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me!\That was scary. response:	Thank you, Filo.
context: Are you okay, Onee-chan?\Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me!\That was scary.\Thank you, Filo. response:	Now we're even, right?
context: Yeah. Are you okay?\Yep. Thanks.\It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me!\That was scary.\Thank you, Filo.\Now we're even, right? response:	Yep!
context: Yep. Thanks.\It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me!\That was scary.\Thank you, Filo.\Now we're even, right?\Yep! response:	So that's a gagocco and its nest.
context: It's good that this thing cushioned our fall.\What now?!\Onee-chan, get on me!\That was scary.\Thank you, Filo.\Now we're even, right?\Yep!\So that's a gagocco and its nest. response:	Eggs, eggs!
context: What now?!\Onee-chan, get on me!\That was scary.\Thank you, Filo.\Now we're even, right?\Yep!\So that's a gagocco and its nest.\Eggs, eggs! response:	Sorry to scare you.
context: Onee-chan, get on me!\That was scary.\Thank you, Filo.\Now we're even, right?\Yep!\So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you. response:	I just really need that crystal.
context: That was scary.\Thank you, Filo.\Now we're even, right?\Yep!\So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you.\I just really need that crystal. response:	My eggs...
context: Thank you, Filo.\Now we're even, right?\Yep!\So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you.\I just really need that crystal.\My eggs... response:	Onee-chan...
context: Now we're even, right?\Yep!\So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you.\I just really need that crystal.\My eggs...\Onee-chan... response:	Yes.
context: Yep!\So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you.\I just really need that crystal.\My eggs...\Onee-chan...\Yes. response:	In the end, we didn't find any other gagocco nests.
context: So that's a gagocco and its nest.\Eggs, eggs!\Sorry to scare you.\I just really need that crystal.\My eggs...\Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests. response:	Will giving Naofumi-sama this thing instead make him happy?
context: Eggs, eggs!\Sorry to scare you.\I just really need that crystal.\My eggs...\Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy? response:	Hey, you guys.
context: Sorry to scare you.\I just really need that crystal.\My eggs...\Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys. response:	Is that a silver razorback?
context: I just really need that crystal.\My eggs...\Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback? response:	Huh?
context: My eggs...\Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback?\Huh? response:	Like that thing over there.
context: Onee-chan...\Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback?\Huh?\Like that thing over there. response:	Oh.
context: Yes.\In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback?\Huh?\Like that thing over there.\Oh. response:	Could you give it to us?
context: In the end, we didn't find any other gagocco nests.\Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback?\Huh?\Like that thing over there.\Oh.\Could you give it to us? response:	Silver razorbacks are valuable prey, used as offerings in town rituals.
context: Will giving Naofumi-sama this thing instead make him happy?\Hey, you guys.\Is that a silver razorback?\Huh?\Like that thing over there.\Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals. response:	Please! We'll pay good money for it!
context: Hey, you guys.\Is that a silver razorback?\Huh?\Like that thing over there.\Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it! response:	Money?
context: Is that a silver razorback?\Huh?\Like that thing over there.\Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money? response:	Onee-chan...
context: Huh?\Like that thing over there.\Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money?\Onee-chan... response:	For me?
context: Like that thing over there.\Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money?\Onee-chan...\For me? response:	Yep.
context: Oh.\Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money?\Onee-chan...\For me?\Yep. response:	Filo and I picked it out.
context: Could you give it to us?\Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money?\Onee-chan...\For me?\Yep.\Filo and I picked it out. response:	We thought you might want a tool to help you craft metals.
context: Silver razorbacks are valuable prey, used as offerings in town rituals.\Please! We'll pay good money for it!\Money?\Onee-chan...\For me?\Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals. response:	I do...
context: Please! We'll pay good money for it!\Money?\Onee-chan...\For me?\Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do... response:	But wasn't this pretty expensive?
context: Money?\Onee-chan...\For me?\Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive? response:	It's a token of our gratitude to you, for always taking such good care of us.
context: Onee-chan...\For me?\Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us. response:	Yep. A gift for you, Master.
context: For me?\Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master. response:	Thanks. I'll make good use of it.
context: Yep.\Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it. response:	Also...
context: Filo and I picked it out.\We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also... response:	Both of you, go take a dip in the hot spring.
context: We thought you might want a tool to help you craft metals.\I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring. response:	He still treats me like a child at times,
context: I do...\But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times, response:	but I'll make him recognize my womanly charms one day!
context: But wasn't this pretty expensive?\It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day! response:	Right, Filo?
context: It's a token of our gratitude to you, for always taking such good care of us.\Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo? response:	Yep!
context: Yep. A gift for you, Master.\Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep! response:	Godspeed.
context: Thanks. I'll make good use of it.\Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep!\Godspeed. response:	An epidemic to the east?
context: Also...\Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep!\Godspeed.\An epidemic to the east? response:	Yeah. Medicine's flying off the shelves, apparently.
context: Both of you, go take a dip in the hot spring.\He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep!\Godspeed.\An epidemic to the east?\Yeah. Medicine's flying off the shelves, apparently. response:	Where shall we head next, Naofumi-sama?
context: He still treats me like a child at times,\but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep!\Godspeed.\An epidemic to the east?\Yeah. Medicine's flying off the shelves, apparently.\Where shall we head next, Naofumi-sama? response:	East.
context: but I'll make him recognize my womanly charms one day!\Right, Filo?\Yep!\Godspeed.\An epidemic to the east?\Yeah. Medicine's flying off the shelves, apparently.\Where shall we head next, Naofumi-sama?\East. response:	Curse Shield
