context: What could be the cause of the massive mosquito outbreak this year? response:	We ask Mr. Kafetch,
context: You dare look away?\Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution?\What does it want with my master?\It is none of your business. response:	And it is our rule that any who oppose us be eliminated without fail.
context: Quite courageous!\I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution?\What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail. response:	I must destroy you.
context: I am the pinnacle of the House of Evolution's science.\I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution?\What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you. response:	Hey, jerk-off!
context: I am Armored Gorilla.\Your attacks have no effect.\The House of Evolution?\What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off! response:	What's with that look?
context: Your attacks have no effect.\The House of Evolution?\What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off!\What's with that look? response:	Being underground keeps you cool,
context: The House of Evolution?\What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off!\What's with that look?\Being underground keeps you cool, response:	but at the same time, its nice and warm.
context: What does it want with my master?\It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off!\What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm. response:	I'm sleepy. Could you get lost?
context: It is none of your business.\And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off!\What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost? response:	I see I need to teach you your place.
context: And it is our rule that any who oppose us be eliminated without fail.\I must destroy you.\Hey, jerk-off!\What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place. response:	Listen up! I'm gonna slice your eyes out with these!
context: I must destroy you.\Hey, jerk-off!\What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these! response:	Then we'll see if you resist!
context: Hey, jerk-off!\What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist! response:	The Beast King never lets anyone off easy.
context: What's with that look?\Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy. response:	Well, enough fooling around.
context: Being underground keeps you cool,\but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around. response:	If you wanna apologize, now's your chance.
context: but at the same time, its nice and warm.\I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance. response:	You guys smashed my ceiling!
context: I'm sleepy. Could you get lost?\I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling! response:	Humph. Fine.
context: I see I need to teach you your place.\Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine. response:	Then behold the true power
context: Listen up! I'm gonna slice your eyes out with these!\Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine.\Then behold the true power response:	Aw man of the Beast
context: Then we'll see if you resist!\The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine.\Then behold the true power\Aw man of the Beast response:	I got dirt in my special place.
context: The Beast King never lets anyone off easy.\Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine.\Then behold the true power\Aw man of the Beast\I got dirt in my special place. response:	Hey, are you listening?
context: Well, enough fooling around.\If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine.\Then behold the true power\Aw man of the Beast\I got dirt in my special place.\Hey, are you listening? response:	Let me just shake this out.
context: If you wanna apologize, now's your chance.\You guys smashed my ceiling!\Humph. Fine.\Then behold the true power\Aw man of the Beast\I got dirt in my special place.\Hey, are you listening?\Let me just shake this out. response:	You done?
context: You guys smashed my ceiling!\Humph. Fine.\Then behold the true power\Aw man of the Beast\I got dirt in my special place.\Hey, are you listening?\Let me just shake this out.\You done? response:	One sec.
context: Humph. Fine.\Then behold the true power\Aw man of the Beast\I got dirt in my special place.\Hey, are you listening?\Let me just shake this out.\You done?\One sec. response:	I'm done.
context: Then behold the true power\Aw man of the Beast\I got dirt in my special place.\Hey, are you listening?\Let me just shake this out.\You done?\One sec.\I'm done. response:	Okay, then behold the true power of the Beast King!
context: Aw man of the Beast\I got dirt in my special place.\Hey, are you listening?\Let me just shake this out.\You done?\One sec.\I'm done.\Okay, then behold the true power of the Beast King! response:	Lion Slash!
context: I got dirt in my special place.\Hey, are you listening?\Let me just shake this out.\You done?\One sec.\I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash! response:	You okay, Frog Man
context: Hey, are you listening?\Let me just shake this out.\You done?\One sec.\I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man response:	Outta the way, pissants!
context: Let me just shake this out.\You done?\One sec.\I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man\Outta the way, pissants! response:	Such is the law of the jungle!
context: You done?\One sec.\I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle! response:	And you're next!
context: One sec.\I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle!\And you're next! response:	Wait! Don't kill him yet!
context: I'm done.\Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet! response:	Lion Slash: Meteor Power Shower!!
context: Okay, then behold the true power of the Beast King!\Lion Slash!\You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!! response:	Consecutive
context: Lion Slash!\You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive response:	Normal Punches.
context: You okay, Frog Man\Outta the way, pissants!\Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches. response:	Oh.
context: Outta the way, pissants!\Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches.\Oh. response:	N-No one told me he'd be like that!
context: Such is the law of the jungle!\And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches.\Oh.\N-No one told me he'd be like that! response:	It's best we retreat now and regroup...
context: And you're next!\Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches.\Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup... response:	Found you!
context: Wait! Don't kill him yet!\Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches.\Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you! response:	No waayyy!
context: Lion Slash: Meteor Power Shower!!\Consecutive\Normal Punches.\Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you!\No waayyy! response:	Huh?
context: Consecutive\Normal Punches.\Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you!\No waayyy!\Huh? response:	Answer the question or be eliminated.
context: Normal Punches.\Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you!\No waayyy!\Huh?\Answer the question or be eliminated. response:	Your choice.
context: Oh.\N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you!\No waayyy!\Huh?\Answer the question or be eliminated.\Your choice. response:	It is you who will be eliminated.
context: N-No one told me he'd be like that!\It's best we retreat now and regroup...\Found you!\No waayyy!\Huh?\Answer the question or be eliminated.\Your choice.\It is you who will be eliminated. response:	You fool.
context: It's best we retreat now and regroup...\Found you!\No waayyy!\Huh?\Answer the question or be eliminated.\Your choice.\It is you who will be eliminated.\You fool. response:	I am the third most powerful fighter in the House of Evolution.
context: Found you!\No waayyy!\Huh?\Answer the question or be eliminated.\Your choice.\It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution. response:	At your power level,
context: No waayyy!\Huh?\Answer the question or be eliminated.\Your choice.\It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level, response:	you will never beat the Beast King, the second most powerful.
context: Huh?\Answer the question or be eliminated.\Your choice.\It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful. response:	You will be destroyed.
context: Answer the question or be eliminated.\Your choice.\It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed. response:	Is this who you mean?
context: Your choice.\It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean? response:	Apparently so.
context: It is you who will be eliminated.\You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean?\Apparently so. response:	Look, I'm really sorry.
context: You fool.\I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean?\Apparently so.\Look, I'm really sorry. response:	I'll tell you everything, just don't kill me!
context: I am the third most powerful fighter in the House of Evolution.\At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean?\Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me! response:	What the? What happened to your robot voice?
context: At your power level,\you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean?\Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice? response:	Sorry, I was just trying to sound cool.
context: you will never beat the Beast King, the second most powerful.\You will be destroyed.\Is this who you mean?\Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool. response:	What do you mean? The hit team wiped out?
context: You will be destroyed.\Is this who you mean?\Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out? response:	How did this happen? Wait, don't jump to conclusions yet.
context: Is this who you mean?\Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet. response:	It may be a mistake. Verify the report immediately!
context: Apparently so.\Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately! response:	Right away. Be careful!
context: Look, I'm really sorry.\I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful! response:	What's all the commotion?
context: I'll tell you everything, just don't kill me!\What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion? response:	NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview!
context: What the? What happened to your robot voice?\Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion?\NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview! response:	Next week's story will be about my birthplace.
context: Sorry, I was just trying to sound cool.\What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion?\NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview!\Next week's story will be about my birthplace. response:	I was bornwhat?! Time's up already?!
context: What do you mean? The hit team wiped out?\How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion?\NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview!\Next week's story will be about my birthplace.\I was bornwhat?! Time's up already?! response:	Oh, all right.
context: How did this happen? Wait, don't jump to conclusions yet.\It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion?\NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview!\Next week's story will be about my birthplace.\I was bornwhat?! Time's up already?!\Oh, all right. response:	The next episode of One-Punch Man is episode 3, The Obsessive Scientist.
context: It may be a mistake. Verify the report immediately!\Right away. Be careful!\What's all the commotion?\NEXT EPISODE: THE OBSESSIVE SCIENTIST Okay, time for Mosquito Girl's episode preview!\Next week's story will be about my birthplace.\I was bornwhat?! Time's up already?!\Oh, all right.\The next episode of One-Punch Man is episode 3, The Obsessive Scientist. response:	Scientist, huh? Who could that be?
