context: Let's skip training today. response:	You were hurt pretty badly.
context: Look, that's just being happy, not having fun!\Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer! response:	Well... I guess I don't.
context: Listen, what I'm asking is if you personally enjoy it.\I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer!\Well... I guess I don't. response:	Oh, I'm so angry!
context: I don't care about others,\I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry! response:	So basically,
context: I'm asking if there's anything about magic that you consider fun!\It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry!\So basically, response:	you're always worrying about others, but never focusing on yourself!
context: It's hard to say if I personally enjoy it...\I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself! response:	Whoa, hey
context: I sort of feel like I don't deserve more wishes...\Hey!\Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey response:	Shut up! No backtalk!
context: Hey!\Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk! response:	I always thought you were similar, but I never imagined you were this alike!
context: Give me a straight answer!\Well... I guess I don't.\Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike! response:	Calm down, Tohsaka...
context: Well... I guess I don't.\Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka... response:	Why are you so angry?
context: Oh, I'm so angry!\So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry? response:	I'm angry because you don't get why I'm angry!
context: So basically,\you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry! response:	All right. That settles it.
context: you're always worrying about others, but never focusing on yourself!\Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it. response:	Tomorrow, I'll make you admit defeat!
context: Whoa, hey\Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat! response:	You're going to go back to chasing me around?
context: Shut up! No backtalk!\I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around? response:	I am!
context: I always thought you were similar, but I never imagined you were this alike!\Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am! response:	I'll give you a taste of something special I've been saving!
context: Calm down, Tohsaka...\Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving! response:	Hey, Tohsaka!
context: Why are you so angry?\I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka! response:	You're going home, right?
context: I'm angry because you don't get why I'm angry!\All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right? response:	I'll walk you.
context: All right. That settles it.\Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right?\I'll walk you. response:	Tohsaka!
context: Tomorrow, I'll make you admit defeat!\You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right?\I'll walk you.\Tohsaka! response:	Enough with the Tohsaka, Tohsaka!
context: You're going to go back to chasing me around?\I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right?\I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka! response:	Tohsaka, what are you wearing?
context: I am!\I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right?\I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing? response:	I spoke to Archer and had him bring me an overnight bag.
context: I'll give you a taste of something special I've been saving!\Hey, Tohsaka!\You're going home, right?\I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag. response:	I got Fujimura-sensei's permission, so it's fine.
context: Hey, Tohsaka!\You're going home, right?\I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine. response:	I'll use the guest room on the right.
context: You're going home, right?\I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right. response:	Trace on.
context: I'll walk you.\Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on. response:	Tracing fundamental structure.
context: Tohsaka!\Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on.\Tracing fundamental structure. response:	Strengthening component materials.
context: Enough with the Tohsaka, Tohsaka!\Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on.\Tracing fundamental structure.\Strengthening component materials. response:	More magic training tonight?
context: Tohsaka, what are you wearing?\I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on.\Tracing fundamental structure.\Strengthening component materials.\More magic training tonight? response:	Yeah, Kiritsugu taught me to never miss a day.
context: I spoke to Archer and had him bring me an overnight bag.\I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on.\Tracing fundamental structure.\Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day. response:	But I guess that was the only thing I really learned from him.
context: I got Fujimura-sensei's permission, so it's fine.\I'll use the guest room on the right.\Trace on.\Tracing fundamental structure.\Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him. response:	Only that?
context: I'll use the guest room on the right.\Trace on.\Tracing fundamental structure.\Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that? response:	He taught you nothing of the wisdom or behavior expected of mages?
context: Trace on.\Tracing fundamental structure.\Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages? response:	No... After all,
context: Tracing fundamental structure.\Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all, response:	the guy who was supposed to teach me wasn't really like a mage himself.
context: Strengthening component materials.\More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself. response:	He was a poor excuse for an adult.
context: More magic training tonight?\Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult. response:	He'd say that if you're going to enjoy something, enjoy it to the fullest,
context: Yeah, Kiritsugu taught me to never miss a day.\But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest, response:	and then he'd play around like a kid.
context: But I guess that was the only thing I really learned from him.\Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid. response:	I understand. You enjoyed having such a master, didn't you?
context: Only that?\He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you? response:	Yeah, I looked up to him.
context: He taught you nothing of the wisdom or behavior expected of mages?\No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him. response:	He was carefree and nothing like a mage,
context: No... After all,\the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage, response:	but to me, Kiritsugu was a true magic-user.
context: the guy who was supposed to teach me wasn't really like a mage himself.\He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user. response:	Shirou...
context: He was a poor excuse for an adult.\He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou... response:	What is wrong with your left side?
context: He'd say that if you're going to enjoy something, enjoy it to the fullest,\and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side? response:	You noticed, Saber?
context: and then he'd play around like a kid.\I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side?\You noticed, Saber? response:	Yes.
context: I understand. You enjoyed having such a master, didn't you?\Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side?\You noticed, Saber?\Yes. response:	It's just a little numb.
context: Yeah, I looked up to him.\He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side?\You noticed, Saber?\Yes.\It's just a little numb. response:	It isn't slowing me down at all.
context: He was carefree and nothing like a mage,\but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side?\You noticed, Saber?\Yes.\It's just a little numb.\It isn't slowing me down at all. response:	Then the cause is...
context: but to me, Kiritsugu was a true magic-user.\Shirou...\What is wrong with your left side?\You noticed, Saber?\Yes.\It's just a little numb.\It isn't slowing me down at all.\Then the cause is... response:	Yeah, I think it's a reaction to the projection magic I did last night.
context: Shirou...\What is wrong with your left side?\You noticed, Saber?\Yes.\It's just a little numb.\It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night. response:	Is most of your body still numb?
context: What is wrong with your left side?\You noticed, Saber?\Yes.\It's just a little numb.\It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb? response:	Archer...
context: You noticed, Saber?\Yes.\It's just a little numb.\It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer... response:	That's hardly surprising.
context: Yes.\It's just a little numb.\It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer...\That's hardly surprising. response:	What do you want, Archer?
context: It's just a little numb.\It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer...\That's hardly surprising.\What do you want, Archer? response:	I thought we had a non-aggression pact.
context: It isn't slowing me down at all.\Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer...\That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact. response:	Stop right there.
context: Then the cause is...\Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer...\That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there. response:	If you come any closer, you must be prepared for the consequences.
context: Yeah, I think it's a reaction to the projection magic I did last night.\Is most of your body still numb?\Archer...\That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences. response:	Wait, Saber. He doesn't want to fight.
context: Is most of your body still numb?\Archer...\That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight. response:	But he...
context: Archer...\That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he... response:	It's okay.
context: That's hardly surprising.\What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he...\It's okay. response:	What do you want, Archer?
context: What do you want, Archer?\I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he...\It's okay.\What do you want, Archer? response:	Knowing you, you didn't drop by to say hello.
context: I thought we had a non-aggression pact.\Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he...\It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello. response:	Rin told me that you performed a projection, and it really is true.
context: Stop right there.\If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he...\It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true. response:	You have no sensation in half your body, and your center of gravity is 7 cm off, right?
context: If you come any closer, you must be prepared for the consequences.\Wait, Saber. He doesn't want to fight.\But he...\It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right? response:	I might be of some assistance.
context: Wait, Saber. He doesn't want to fight.\But he...\It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance. response:	You're fortunate.
context: But he...\It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate. response:	I expected to see necrosis,
context: It's okay.\What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate.\I expected to see necrosis, response:	but something that was closed has been opened.
context: What do you want, Archer?\Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate.\I expected to see necrosis,\but something that was closed has been opened. response:	Something that was closed has been opened?
context: Knowing you, you didn't drop by to say hello.\Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate.\I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened? response:	Circuits you were meant to use from the beginning had grown dormant from neglect.
context: Rin told me that you performed a projection, and it really is true.\You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate.\I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect. response:	The numbness is only temporary.
context: You have no sensation in half your body, and your center of gravity is 7 cm off, right?\I might be of some assistance.\You're fortunate.\I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary. response:	By suddenly flooding circuits you never used with mana at full power,
context: I might be of some assistance.\You're fortunate.\I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power, response:	you sent them into a state of shock.
context: You're fortunate.\I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock. response:	This means that the circuits have returned to an active state.
context: I expected to see necrosis,\but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state. response:	That should do it.
context: but something that was closed has been opened.\Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it. response:	You'll recover in a few days.
context: Something that was closed has been opened?\Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days. response:	When you can move properly again,
context: Circuits you were meant to use from the beginning had grown dormant from neglect.\The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days.\When you can move properly again, response:	you should be a better mage than before.
context: The numbness is only temporary.\By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days.\When you can move properly again,\you should be a better mage than before. response:	You certainly know a lot about this, Archer.
context: By suddenly flooding circuits you never used with mana at full power,\you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days.\When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer. response:	I went through something similar.
context: you sent them into a state of shock.\This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days.\When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar. response:	At first, I lost the use of one arm.
context: This means that the circuits have returned to an active state.\That should do it.\You'll recover in a few days.\When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm. response:	Wait.
context: That should do it.\You'll recover in a few days.\When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm.\Wait. response:	What?
context: You'll recover in a few days.\When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm.\Wait.\What? response:	I want to ask you something.
context: When you can move properly again,\you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm.\Wait.\What?\I want to ask you something. response:	Let your ideals drag you to your death.
context: you should be a better mage than before.\You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm.\Wait.\What?\I want to ask you something.\Let your ideals drag you to your death. response:	What did you mean by that?
context: You certainly know a lot about this, Archer.\I went through something similar.\At first, I lost the use of one arm.\Wait.\What?\I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that? response:	It seems self-explanatory.
context: I went through something similar.\At first, I lost the use of one arm.\Wait.\What?\I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory. response:	There's nothing to add.
context: At first, I lost the use of one arm.\Wait.\What?\I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory.\There's nothing to add. response:	Then what the hell are you fighting for?
context: Wait.\What?\I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for? response:	That's obvious. My reason for fighting is simply for myself.
context: What?\I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself. response:	Just for yourself?
context: I want to ask you something.\Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself? response:	That's right.
context: Let your ideals drag you to your death.\What did you mean by that?\It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right. response:	If your desire is to fulfill the ideal of not hurting anyone,
context: What did you mean by that?\It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone, response:	then do as you wish.
context: It seems self-explanatory.\There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish. response:	But only if that desire is truly yours.
context: There's nothing to add.\Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours. response:	If you fight of your own free will,
context: Then what the hell are you fighting for?\That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will, response:	any resulting crime or punishment is of your own making.
context: That's obvious. My reason for fighting is simply for myself.\Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making. response:	Accepting them is a part of that ideal.
context: Just for yourself?\That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal. response:	But if that desire was borrowed from another,
context: That's right.\If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another, response:	the ideals you uphold are mere fantasies.
context: If your desire is to fulfill the ideal of not hurting anyone,\then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies. response:	There must be a reason for fighting.
context: then do as you wish.\But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting. response:	But that reason must never be an ideal.
context: But only if that desire is truly yours.\If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal. response:	If you fight for an ideal, you can only save ideals.
context: If you fight of your own free will,\any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals. response:	That doesn't entail helping others.
context: any resulting crime or punishment is of your own making.\Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others. response:	A reason to fight is the desire to save something.
context: Accepting them is a part of that ideal.\But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something. response:	At the very least, it is for you. Right, Emiya Shirou?
context: But if that desire was borrowed from another,\the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou? response:	But salvation by the hands of another is not salvation.
context: the ideals you uphold are mere fantasies.\There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation. response:	Such salvation is like money.
context: There must be a reason for fighting.\But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money. response:	When used, it passes into another's hands.
context: But that reason must never be an ideal.\If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands. response:	It's true that you can probably achieve your wish to save others.
context: If you fight for an ideal, you can only save ideals.\That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others. response:	But there's no hope of saving yourself in doing so.
context: That doesn't entail helping others.\A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so. response:	You will repeat the cycle until you die, still clinging to ideals that are not your own.
context: A reason to fight is the desire to save something.\At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own. response:	That is why your ideals are meaningless.
