context: It's finally the second semester... response:	I'm not too sure if I feel happy or empty... it's a complicated feeling.
context: For a shitty contentless newspapers, it's pretty lightweight.\You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished. response:	That isn't funny! Give us our newspapers back!
context: You guys, thanks for observing.\Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back! response:	Give back?
context: Ah, onee-sama!\Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back? response:	Who do you think you're talking to?
context: Hey, why are you guys doing-\Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to? response:	Your paper-thin content burns well!
context: Tell us; why are you guys harassing our Newspaper Club?\Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to?\Your paper-thin content burns well! response:	Our newspapers...!
context: Oh my... I guess you guys didn't hear anything from Morioka Ginei.\From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...! response:	You can't!
context: From Gin-senpai?\Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...!\You can't! response:	I won't let you!
context: Anyway, your little Newspaper Club is finished.\That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...!\You can't!\I won't let you! response:	It's our onee-sama's order!
context: That isn't funny! Give us our newspapers back!\Give back?\Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...!\You can't!\I won't let you!\It's our onee-sama's order! response:	Hey, let go of me!
context: Give back?\Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...!\You can't!\I won't let you!\It's our onee-sama's order!\Hey, let go of me! response:	Kurumu-chan!
context: Who do you think you're talking to?\Your paper-thin content burns well!\Our newspapers...!\You can't!\I won't let you!\It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan! response:	What is this?!
context: Your paper-thin content burns well!\Our newspapers...!\You can't!\I won't let you!\It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan!\What is this?! response:	Today's Monster Memo: Jorougumo
context: Our newspapers...!\You can't!\I won't let you!\It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo response:	Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.
context: You can't!\I won't let you!\It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman. response:	So you finally showed your true form!
context: I won't let you!\It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form! response:	I know it! Your uniform!
context: It's our onee-sama's order!\Hey, let go of me!\Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform! response:	Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.
context: Hey, let go of me!\Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san. response:	That's...
context: Kurumu-chan!\What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's... response:	To uphold our school's moral code as a guardian of justice.
context: What is this?!\Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice. response:	This is our Public Safety Commission's badge of pride!
context: Today's Monster Memo: Jorougumo\Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride! response:	What Guardian of Justice? You guys are nothing but a bunch of thugs!
context: Well known in Japan since ancient times, it is a giant spider monster that takes the form of a woman.\So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs! response:	Aren't you talking about yourselves there?
context: So you finally showed your true form!\I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there? response:	Kurumu-chan!
context: I know it! Your uniform!\Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan! response:	This is nothing!
context: Oh? It seems that the only thing you're good at is finding dull material, Newspaper Club member-san.\That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing! response:	It's no use!
context: That's...\To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing!\It's no use! response:	You can no longer escape!
context: To uphold our school's moral code as a guardian of justice.\This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing!\It's no use!\You can no longer escape! response:	You're now just a pitiful prey for our Onee-sama!
context: This is our Public Safety Commission's badge of pride!\What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing!\It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama! response:	These girls used to be members of clubs that opposed us!
context: What Guardian of Justice? You guys are nothing but a bunch of thugs!\Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing!\It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us! response:	I'm from the Boring Literature club!
context: Aren't you talking about yourselves there?\Kurumu-chan!\This is nothing!\It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club! response:	I'm from the Tea Ceremony Club!
context: Kurumu-chan!\This is nothing!\It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club! response:	And I'm from the Yaoi Manga Club!
context: This is nothing!\It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club! response:	But, I injected my spider poison into them, and they've become my loyal servants!
context: It's no use!\You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants! response:	Servant, servant!
context: You can no longer escape!\You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant! response:	I love you, Onee-sama!
context: You're now just a pitiful prey for our Onee-sama!\These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama! response:	I'm her cute servant!
context: These girls used to be members of clubs that opposed us!\I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama!\I'm her cute servant! response:	I'll inject my wonderful spider poison into you too!
context: I'm from the Boring Literature club!\I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too! response:	Don't come here! That's disgusting, spider woman! Go away!
context: I'm from the Tea Ceremony Club!\And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away! response:	What a nice voice! The voice of a trapped prey in despair!
context: And I'm from the Yaoi Manga Club!\But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair! response:	An ugly spider woman laughing with her mouth wide open.
context: But, I injected my spider poison into them, and they've become my loyal servants!\Servant, servant!\I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open. response:	What an unsightly thing.
context: Servant, servant!\I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing. response:	Those shards...
context: I love you, Onee-sama!\I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards... response:	Shirayuki-san!
context: I'm her cute servant!\I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards...\Shirayuki-san! response:	Gosh.
context: I'll inject my wonderful spider poison into you too!\Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards...\Shirayuki-san!\Gosh. response:	I told you to call me Mizore-chan, remember?
context: Don't come here! That's disgusting, spider woman! Go away!\What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards...\Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember? response:	You fool! Calling me, a Jorougumo, a mere spider woman!
context: What a nice voice! The voice of a trapped prey in despair!\An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards...\Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman! response:	Your opponent isn't me.
context: An ugly spider woman laughing with her mouth wide open.\What an unsightly thing.\Those shards...\Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me. response:	What?!
context: What an unsightly thing.\Those shards...\Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?! response:	Are you guys alright?
context: Those shards...\Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?!\Are you guys alright? response:	Moka-san, please use this!
context: Shirayuki-san!\Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?!\Are you guys alright?\Moka-san, please use this! response:	Tsukune!
context: Gosh.\I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?!\Are you guys alright?\Moka-san, please use this!\Tsukune! response:	Moka-san!
context: I told you to call me Mizore-chan, remember?\You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?!\Are you guys alright?\Moka-san, please use this!\Tsukune!\Moka-san! response:	Tsukune!
context: You fool! Calling me, a Jorougumo, a mere spider woman!\Your opponent isn't me.\What?!\Are you guys alright?\Moka-san, please use this!\Tsukune!\Moka-san!\Tsukune! response:	Moka-san!
context: Your opponent isn't me.\What?!\Are you guys alright?\Moka-san, please use this!\Tsukune!\Moka-san!\Tsukune!\Moka-san! response:	T-This is...!
context: What?!\Are you guys alright?\Moka-san, please use this!\Tsukune!\Moka-san!\Tsukune!\Moka-san!\T-This is...! response:	Once the rosary on her chest is removed,
context: Are you guys alright?\Moka-san, please use this!\Tsukune!\Moka-san!\Tsukune!\Moka-san!\T-This is...!\Once the rosary on her chest is removed, response:	the Vampire blood within Moka will awaken.
context: Moka-san, please use this!\Tsukune!\Moka-san!\Tsukune!\Moka-san!\T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken. response:	What is this tremendous monster energy?!
context: Tsukune!\Moka-san!\Tsukune!\Moka-san!\T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?! response:	Hurry and do something about this!
context: Moka-san!\Tsukune!\Moka-san!\T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this! response:	Don't act so spoiled.
context: Tsukune!\Moka-san!\T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled. response:	If you really want to protect the Newspaper Club, then do something about it yourself.
context: Moka-san!\T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself. response:	I got it already! If I was actually serious here...
context: T-This is...!\Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here... response:	I won't let you go!
context: Once the rosary on her chest is removed,\the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go! response:	Chew her apart!
context: the Vampire blood within Moka will awaken.\What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go!\Chew her apart! response:	We won't let you escape!
context: What is this tremendous monster energy?!\Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go!\Chew her apart!\We won't let you escape! response:	Shut up!
context: Hurry and do something about this!\Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go!\Chew her apart!\We won't let you escape!\Shut up! response:	Was that good enough for you?
context: Don't act so spoiled.\If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go!\Chew her apart!\We won't let you escape!\Shut up!\Was that good enough for you? response:	Don't get cocky, you brats!
context: If you really want to protect the Newspaper Club, then do something about it yourself.\I got it already! If I was actually serious here...\I won't let you go!\Chew her apart!\We won't let you escape!\Shut up!\Was that good enough for you?\Don't get cocky, you brats! response:	That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!
context: I got it already! If I was actually serious here...\I won't let you go!\Chew her apart!\We won't let you escape!\Shut up!\Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama! response:	And?
context: I won't let you go!\Chew her apart!\We won't let you escape!\Shut up!\Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And? response:	You guys will be trapped by my spider web!
context: Chew her apart!\We won't let you escape!\Shut up!\Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web! response:	This is perfect.
context: We won't let you escape!\Shut up!\Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web!\This is perfect. response:	Wrapping a thread...
context: Shut up!\Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread... response:	Wrapping a thread...
context: Was that good enough for you?\Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread...\Wrapping a thread... response:	Pull, and pull, and tap tap tap.
context: Don't get cocky, you brats!\That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap. response:	Hey, hey, wait...
context: That low ability of yours is no match for our Public Safety Commission's President, Kuyou-sama!\And?\You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait... response:	Wait!
context: And?\You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait! response:	Wrapping a thread...
context: You guys will be trapped by my spider web!\This is perfect.\Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait!\Wrapping a thread... response:	S-Stop it!
context: This is perfect.\Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait!\Wrapping a thread...\S-Stop it! response:	Wrapping a thread...
context: Wrapping a thread...\Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait!\Wrapping a thread...\S-Stop it!\Wrapping a thread... response:	Small fry.
context: Wrapping a thread...\Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait!\Wrapping a thread...\S-Stop it!\Wrapping a thread...\Small fry. response:	Revenge Kick!
context: Pull, and pull, and tap tap tap.\Hey, hey, wait...\Wait!\Wrapping a thread...\S-Stop it!\Wrapping a thread...\Small fry.\Revenge Kick! response:	Together with Onee-sama!
context: Hey, hey, wait...\Wait!\Wrapping a thread...\S-Stop it!\Wrapping a thread...\Small fry.\Revenge Kick!\Together with Onee-sama! response:	Together!
context: Wait!\Wrapping a thread...\S-Stop it!\Wrapping a thread...\Small fry.\Revenge Kick!\Together with Onee-sama!\Together! response:	Together till death!
context: Wrapping a thread...\S-Stop it!\Wrapping a thread...\Small fry.\Revenge Kick!\Together with Onee-sama!\Together!\Together till death! response:	If you like spider thread so much, you should stay buried in there the rest of your life.
context: S-Stop it!\Wrapping a thread...\Small fry.\Revenge Kick!\Together with Onee-sama!\Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life. response:	Yes, buried...
context: Wrapping a thread...\Small fry.\Revenge Kick!\Together with Onee-sama!\Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried... response:	This match, including the singing, was decided in 117 seconds!
context: Small fry.\Revenge Kick!\Together with Onee-sama!\Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds! response:	I've decided!
context: Revenge Kick!\Together with Onee-sama!\Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided! response:	This might be against Gin-senpai's wishes, but...
context: Together with Onee-sama!\Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but... response:	As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!
context: Together!\Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article! response:	Tsukune...
context: Together till death!\If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune... response:	Even if everyone is against it...
context: If you like spider thread so much, you should stay buried in there the rest of your life.\Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it... response:	We won't protest, Tsukune.
context: Yes, buried...\This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it...\We won't protest, Tsukune. response:	Let's do it!
context: This match, including the singing, was decided in 117 seconds!\I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it...\We won't protest, Tsukune.\Let's do it! response:	I also approve.
context: I've decided!\This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it...\We won't protest, Tsukune.\Let's do it!\I also approve. response:	Let's show them how the Newspaper Club fights!
context: This might be against Gin-senpai's wishes, but...\As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it...\We won't protest, Tsukune.\Let's do it!\I also approve.\Let's show them how the Newspaper Club fights! response:	Keito was defeated?
context: As part of the Newspaper Club, I want to reveal every evil action of the Public Safety Commission in an article!\Tsukune...\Even if everyone is against it...\We won't protest, Tsukune.\Let's do it!\I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated? response:	Yes. In a mere 117 seconds.
context: Tsukune...\Even if everyone is against it...\We won't protest, Tsukune.\Let's do it!\I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds. response:	As expected of the powers from a vampire, huh?
context: Even if everyone is against it...\We won't protest, Tsukune.\Let's do it!\I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh? response:	How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...
context: We won't protest, Tsukune.\Let's do it!\I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year... response:	And also...
context: Let's do it!\I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also... response:	About Aono Tsukune?
context: I also approve.\Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune? response:	It looks like I'll be able to enjoy a good show for a change.
context: Let's show them how the Newspaper Club fights!\Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change. response:	Everyone! It's time to show our powers as the Newspaper Club!
context: Keito was defeated?\Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club! response:	Yeah!
context: Yes. In a mere 117 seconds.\As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah! response:	Wait, this is bad, Tsukune is...!
context: As expected of the powers from a vampire, huh?\How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...! response:	What's wrong?
context: How foolish, Newspaper Club. Don't tell me that they don't remember what happened last year...\And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...!\What's wrong? response:	He got all dried out from having his blood sucked.
context: And also...\About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...!\What's wrong?\He got all dried out from having his blood sucked. response:	Phew, *burp*.
context: About Aono Tsukune?\It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...!\What's wrong?\He got all dried out from having his blood sucked.\Phew, *burp*. response:	Next time, Public Safety Commission and A Vampire
context: It looks like I'll be able to enjoy a good show for a change.\Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...!\What's wrong?\He got all dried out from having his blood sucked.\Phew, *burp*.\Next time, Public Safety Commission and A Vampire response:	And a kappuchu for you!
context: Everyone! It's time to show our powers as the Newspaper Club!\Yeah!\Wait, this is bad, Tsukune is...!\What's wrong?\He got all dried out from having his blood sucked.\Phew, *burp*.\Next time, Public Safety Commission and A Vampire\And a kappuchu for you! response:	Let me suck on you next week too desu
