context: Okay! response:	I'm off!
context: Brother...\Giuvigiubaro!\Madoka!\Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault! response:	You...
context: Giuvigiubaro!\Madoka!\Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault!\You... response:	stupid girl!
context: Madoka!\Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault!\You...\stupid girl! response:	Are you still defending him after what he said to you?!
context: Stop, Madoka!\It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault!\You...\stupid girl!\Are you still defending him after what he said to you?! response:	You should forget about someone like him.
context: It's my fault for acting on my own\without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault!\You...\stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him. response:	You have no right to say that!
context: without ever thinking about Brother's feelings!\Brother isn't to blame!\This is all my fault!\You...\stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that! response:	You don't know anything about me!
context: Brother isn't to blame!\This is all my fault!\You...\stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that!\You don't know anything about me! response:	You haven't considered my feelings one bit!
context: This is all my fault!\You...\stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit! response:	No one asked you to get my revenge!
context: You...\stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge! response:	You talk big about wanting to help other people,
context: stupid girl!\Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people, response:	but the Sweats Club and everything you do...
context: Are you still defending him after what he said to you?!\You should forget about someone like him.\You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do... response:	You're only doing it for your own selfish reasons!
context: You should forget about someone like him.\You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons! response:	So that's what you think about me?
context: You have no right to say that!\You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me? response:	Until today...
context: You don't know anything about me!\You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today... response:	This whole time?
context: You haven't considered my feelings one bit!\No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today...\This whole time? response:	Hey, what is that?
context: No one asked you to get my revenge!\You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today...\This whole time?\Hey, what is that? response:	It can't be...
context: You talk big about wanting to help other people,\but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today...\This whole time?\Hey, what is that?\It can't be... response:	Yes, that's it.
context: but the Sweats Club and everything you do...\You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today...\This whole time?\Hey, what is that?\It can't be...\Yes, that's it. response:	Hey, what's...?
context: You're only doing it for your own selfish reasons!\So that's what you think about me?\Until today...\This whole time?\Hey, what is that?\It can't be...\Yes, that's it.\Hey, what's...? response:	Madoka!
context: So that's what you think about me?\Until today...\This whole time?\Hey, what is that?\It can't be...\Yes, that's it.\Hey, what's...?\Madoka! response:	Is this what Villagiulio was really after?
context: Until today...\This whole time?\Hey, what is that?\It can't be...\Yes, that's it.\Hey, what's...?\Madoka!\Is this what Villagiulio was really after? response:	Impossible! But for what purpose?
context: This whole time?\Hey, what is that?\It can't be...\Yes, that's it.\Hey, what's...?\Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose? response:	Or... is this just a coincidence?
context: Hey, what is that?\It can't be...\Yes, that's it.\Hey, what's...?\Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence? response:	The Rin-Ne has blossomed!
context: It can't be...\Yes, that's it.\Hey, what's...?\Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed! response:	My sweats are gone!
context: Yes, that's it.\Hey, what's...?\Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone! response:	Look in your bag.
context: Hey, what's...?\Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag. response:	It's not there!
context: Madoka!\Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag.\It's not there! response:	What about the washing machine?
context: Is this what Villagiulio was really after?\Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag.\It's not there!\What about the washing machine? response:	It's not there. Maybe someone stole them?
context: Impossible! But for what purpose?\Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag.\It's not there!\What about the washing machine?\It's not there. Maybe someone stole them? response:	Muginami?
context: Or... is this just a coincidence?\The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag.\It's not there!\What about the washing machine?\It's not there. Maybe someone stole them?\Muginami? response:	Did you...?
context: The Rin-Ne has blossomed!\My sweats are gone!\Look in your bag.\It's not there!\What about the washing machine?\It's not there. Maybe someone stole them?\Muginami?\Did you...? response:	I didn't steal it.
context: My sweats are gone!\Look in your bag.\It's not there!\What about the washing machine?\It's not there. Maybe someone stole them?\Muginami?\Did you...?\I didn't steal it. response:	Return it.
context: Look in your bag.\It's not there!\What about the washing machine?\It's not there. Maybe someone stole them?\Muginami?\Did you...?\I didn't steal it.\Return it. response:	Now, now, Lan.
context: It's not there!\What about the washing machine?\It's not there. Maybe someone stole them?\Muginami?\Did you...?\I didn't steal it.\Return it.\Now, now, Lan. response:	I didn't take it. I just tried it on, that's all.
context: What about the washing machine?\It's not there. Maybe someone stole them?\Muginami?\Did you...?\I didn't steal it.\Return it.\Now, now, Lan.\I didn't take it. I just tried it on, that's all. response:	But it was really tight around my chest...
context: It's not there. Maybe someone stole them?\Muginami?\Did you...?\I didn't steal it.\Return it.\Now, now, Lan.\I didn't take it. I just tried it on, that's all.\But it was really tight around my chest... response:	Cloudy Skies, Followed by Kamogawa
context: Muginami?\Did you...?\I didn't steal it.\Return it.\Now, now, Lan.\I didn't take it. I just tried it on, that's all.\But it was really tight around my chest...\Cloudy Skies, Followed by Kamogawa response:	Cloudy Skies, Followed by Kamogawa
