context: Miyazawa Yukino's mornings begin early. response:	And are just as methodical as the novitiates of Mt. Kouya.
context: There was always a\peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student.\All of the teachers\enjoy teaching you. response:	Sorry I'm late!
context: peaceful atmosphere around me.\Arima,\have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student.\All of the teachers\enjoy teaching you.\Sorry I'm late! response:	I'll get ready right away!
context: Arima,\have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student.\All of the teachers\enjoy teaching you.\Sorry I'm late!\I'll get ready right away! response:	Well, don't stress yourself too much.
context: have you gotten used to high school classes yet?\Yes, more or less.\You're a very smart student.\All of the teachers\enjoy teaching you.\Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much. response:	Captain! You're going easy on Arima again!
context: Yes, more or less.\You're a very smart student.\All of the teachers\enjoy teaching you.\Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again! response:	You never give us a break!
context: You're a very smart student.\All of the teachers\enjoy teaching you.\Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break! response:	Shut up! Arima is on the Academic Committee!
context: All of the teachers\enjoy teaching you.\Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee! response:	Arima, could you help me with this?
context: enjoy teaching you.\Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this? response:	Let's play soccer!
context: Sorry I'm late!\I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer! response:	Every day was fun,
context: I'll get ready right away!\Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer!\Every day was fun, response:	and I always thought I was happy.
context: Well, don't stress yourself too much.\Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer!\Every day was fun,\and I always thought I was happy. response:	But...every so often, there was a fleeting voice.
context: Captain! You're going easy on Arima again!\You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer!\Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice. response:	Are you really having fun? ...it said.
context: You never give us a break!\Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer!\Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said. response:	That was inside me...
context: Shut up! Arima is on the Academic Committee!\Arima, could you help me with this?\Let's play soccer!\Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me... response:	Almost like ice that never melts.
context: Arima, could you help me with this?\Let's play soccer!\Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts. response:	But the days passed by.
context: Let's play soccer!\Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts.\But the days passed by. response:	The same quiet, peaceful days.
context: Every day was fun,\and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days. response:	I'm sorry.
context: and I always thought I was happy.\But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days.\I'm sorry. response:	Um, are you going out with anyone?
context: But...every so often, there was a fleeting voice.\Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone? response:	Um, I...
context: Are you really having fun? ...it said.\That was inside me...\Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone?\Um, I... response:	Do you have someone you like?
context: That was inside me...\Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone?\Um, I...\Do you have someone you like? response:	She likes you.
context: Almost like ice that never melts.\But the days passed by.\The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone?\Um, I...\Do you have someone you like?\She likes you. response:	I love you.
context: But the days passed by.\The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone?\Um, I...\Do you have someone you like?\She likes you.\I love you. response:	Arima!
context: The same quiet, peaceful days.\I'm sorry.\Um, are you going out with anyone?\Um, I...\Do you have someone you like?\She likes you.\I love you.\Arima! response:	I love...
context: I'm sorry.\Um, are you going out with anyone?\Um, I...\Do you have someone you like?\She likes you.\I love you.\Arima!\I love... response:	Why is it? I felt like something was wrong.
context: Um, are you going out with anyone?\Um, I...\Do you have someone you like?\She likes you.\I love you.\Arima!\I love...\Why is it? I felt like something was wrong. response:	I felt like this tranquility was somehow artificial.
context: Um, I...\Do you have someone you like?\She likes you.\I love you.\Arima!\I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial. response:	Surrounded by laughing classmates...
context: Do you have someone you like?\She likes you.\I love you.\Arima!\I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates... response:	On those days, I felt afraid.
context: She likes you.\I love you.\Arima!\I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid. response:	Because I thought I might not actually be feeling anything.
context: I love you.\Arima!\I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything. response:	Even when I was laughing or having fun with my friends...
context: Arima!\I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends... response:	Even when girls told me they liked me,
context: I love...\Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me, response:	my heart was totally unmoved.
context: Why is it? I felt like something was wrong.\I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved. response:	There was an indelible suspicion in my heart -
context: I felt like this tranquility was somehow artificial.\Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart - response:	That I'm always alone.
context: Surrounded by laughing classmates...\On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone. response:	That there wasn't anyone I could actually call a friend.
context: On those days, I felt afraid.\Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend. response:	I'm actually always alone.
context: Because I thought I might not actually be feeling anything.\Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone. response:	That uncertainty was always within me.
context: Even when I was laughing or having fun with my friends...\Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me. response:	Why did I come to think like that?
context: Even when girls told me they liked me,\my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that? response:	I'm blessed by many more things than other people.
context: my heart was totally unmoved.\There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people. response:	But...the days flowed past...
context: There was an indelible suspicion in my heart -\That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past... response:	The same quiet, peaceful days
context: That I'm always alone.\That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days response:	that felt like there was
context: That there wasn't anyone I could actually call a friend.\I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days\that felt like there was response:	nothing there at all.
context: I'm actually always alone.\That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days\that felt like there was\nothing there at all. response:	So, give twenty copies to each section, okay?
context: That uncertainty was always within me.\Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days\that felt like there was\nothing there at all.\So, give twenty copies to each section, okay? response:	I'm so tired.
context: Why did I come to think like that?\I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days\that felt like there was\nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired. response:	You've got a lot taxing your stamina, so it must be hard.
context: I'm blessed by many more things than other people.\But...the days flowed past...\The same quiet, peaceful days\that felt like there was\nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard. response:	You must be busy, too,
context: But...the days flowed past...\The same quiet, peaceful days\that felt like there was\nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too, response:	with studying and the committee.
context: The same quiet, peaceful days\that felt like there was\nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee. response:	I guess. But I figured that this is the norm.
context: that felt like there was\nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm. response:	I've been doing this stuff for a long time, so I'm used to it.
context: nothing there at all.\So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it. response:	So you're predisposed to committee work, too?
context: So, give twenty copies to each section, okay?\I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too? response:	I don't know how everyone knows,
context: I'm so tired.\You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows, response:	but I always get picked
context: You've got a lot taxing your stamina, so it must be hard.\You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked response:	for this kind of thing.
context: You must be busy, too,\with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked\for this kind of thing. response:	Miyazawa, was Hokuei your first choice?
context: with studying and the committee.\I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice? response:	Yeah. Why?
context: I guess. But I figured that this is the norm.\I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why? response:	You're so smart.
context: I've been doing this stuff for a long time, so I'm used to it.\So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart. response:	I was wondering if you applied to any private schools.
context: So you're predisposed to committee work, too?\I don't know how everyone knows,\but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools. response:	Yeah, but I have two younger sisters.
context: I don't know how everyone knows,\but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters. response:	Besides, I decided not to spend any money on studying.
context: but I always get picked\for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying. response:	I want to place the absolute minimum financial burden on my parents...
context: for this kind of thing.\Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents... response:	Having that sort of objective in mind while studying gets me going.
context: Miyazawa, was Hokuei your first choice?\Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going. response:	Studying's really fun when you have a goal.
context: Yeah. Why?\You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal. response:	You're really mature.
context: You're so smart.\I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature. response:	Well, I just think that way because my family isn't that well off.
context: I was wondering if you applied to any private schools.\Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off. response:	If we had more money,
context: Yeah, but I have two younger sisters.\Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money, response:	I would have wanted to go to a private school.
context: Besides, I decided not to spend any money on studying.\I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school. response:	Some of the classes not in the public curriculum look pretty interesting.
context: I want to place the absolute minimum financial burden on my parents...\Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting. response:	How about you?
context: Having that sort of objective in mind while studying gets me going.\Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you? response:	What?
context: Studying's really fun when you have a goal.\You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you?\What? response:	Your family runs a hospital, right?
context: You're really mature.\Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you?\What?\Your family runs a hospital, right? response:	I'd think it's pretty rare for someone like you to come to a public school.
context: Well, I just think that way because my family isn't that well off.\If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you?\What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school. response:	Yeah, I guess I have the same reason as you.
context: If we had more money,\I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you?\What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you. response:	I guess we're both stingy.
context: I would have wanted to go to a private school.\Some of the classes not in the public curriculum look pretty interesting.\How about you?\What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy. response:	That gave me a shock.
context: Some of the classes not in the public curriculum look pretty interesting.\How about you?\What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock. response:	I just realized for the first time how the girl next to me is standing straight...
context: How about you?\What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight... response:	That she decides everything by herself, chooses everything by herself. That she has her own way of living.
context: What?\Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living. response:	She left a strong impression on me
context: Your family runs a hospital, right?\I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me response:	because she was so different from me.
context: I'd think it's pretty rare for someone like you to come to a public school.\Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me. response:	I want to know about her.
context: Yeah, I guess I have the same reason as you.\I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me.\I want to know about her. response:	I want to know what she's thinking.
context: I guess we're both stingy.\That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me.\I want to know about her.\I want to know what she's thinking. response:	I want to ask about so many things.
context: That gave me a shock.\I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me.\I want to know about her.\I want to know what she's thinking.\I want to ask about so many things. response:	I want to know if she ever has doubts or anxieties.
context: I just realized for the first time how the girl next to me is standing straight...\That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me.\I want to know about her.\I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties. response:	If she ever feels
context: That she decides everything by herself, chooses everything by herself. That she has her own way of living.\She left a strong impression on me\because she was so different from me.\I want to know about her.\I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels response:	the same loneliness I do.
context: She left a strong impression on me\because she was so different from me.\I want to know about her.\I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do. response:	I want to know more.
context: because she was so different from me.\I want to know about her.\I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do.\I want to know more. response:	After school, at the row of cherry trees...
context: I want to know about her.\I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do.\I want to know more.\After school, at the row of cherry trees... response:	A quiet spring day. How should I turn her down?
context: I want to know what she's thinking.\I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do.\I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down? response:	Something was trying to change within me.
context: I want to ask about so many things.\I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do.\I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me. response:	Um...What?
context: I want to know if she ever has doubts or anxieties.\If she ever feels\the same loneliness I do.\I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What? response:	Miyazawa...called me out?!
context: If she ever feels\the same loneliness I do.\I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What?\Miyazawa...called me out?! response:	I'm so happy!
context: the same loneliness I do.\I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What?\Miyazawa...called me out?!\I'm so happy! response:	I'm so happy!
context: I want to know more.\After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What?\Miyazawa...called me out?!\I'm so happy!\I'm so happy! response:	Sorry I kept you waiting.
context: After school, at the row of cherry trees...\A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What?\Miyazawa...called me out?!\I'm so happy!\I'm so happy!\Sorry I kept you waiting. response:	Oh, were you meeting here?
context: A quiet spring day. How should I turn her down?\Something was trying to change within me.\Um...What?\Miyazawa...called me out?!\I'm so happy!\I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here? response:	I was just watching the cherry blossoms for a bit.
context: Something was trying to change within me.\Um...What?\Miyazawa...called me out?!\I'm so happy!\I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit. response:	What?!
context: Um...What?\Miyazawa...called me out?!\I'm so happy!\I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?! response:	I misunderstood
context: Miyazawa...called me out?!\I'm so happy!\I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?!\I misunderstood response:	At that moment, I realized I liked her.
context: I'm so happy!\I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?!\I misunderstood\At that moment, I realized I liked her. response:	I want to catch her.
context: I'm so happy!\Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?!\I misunderstood\At that moment, I realized I liked her.\I want to catch her. response:	I want that girl with such clear eyes to notice me.
context: Sorry I kept you waiting.\Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?!\I misunderstood\At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me. response:	My feelings began to overflow.
context: Oh, were you meeting here?\I was just watching the cherry blossoms for a bit.\What?!\I misunderstood\At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow. response:	This is the first time I've ever wanted something so clearly.
context: I was just watching the cherry blossoms for a bit.\What?!\I misunderstood\At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly. response:	The April breeze bore the cherry petals aloft into the sky.
context: What?!\I misunderstood\At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky. response:	Under the cherry trees in full bloom...
context: I misunderstood\At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom... response:	After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person
context: At that moment, I realized I liked her.\I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person response:	Well, I guess that's how life goes.
context: I want to catch her.\I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes. response:	I don't regret any of it. I think it's a good thing.
context: I want that girl with such clear eyes to notice me.\My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing. response:	What'll happen next!
context: My feelings began to overflow.\This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next! response:	Sis and Arima are totally in love
context: This is the first time I've ever wanted something so clearly.\The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love response:	and have achieved their second kiss!
context: The April breeze bore the cherry petals aloft into the sky.\Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love\and have achieved their second kiss! response:	But a state of emergency
context: Under the cherry trees in full bloom...\After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love\and have achieved their second kiss!\But a state of emergency response:	is awaiting her!
context: After that, I came upon the surprising true nature of the girl who seemed to be a bright beautiful person\Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love\and have achieved their second kiss!\But a state of emergency\is awaiting her! response:	It's finally time
context: Well, I guess that's how life goes.\I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love\and have achieved their second kiss!\But a state of emergency\is awaiting her!\It's finally time response:	to pay the price for what she's done!
context: I don't regret any of it. I think it's a good thing.\What'll happen next!\Sis and Arima are totally in love\and have achieved their second kiss!\But a state of emergency\is awaiting her!\It's finally time\to pay the price for what she's done! response:	Atonement by Moratorium.
